identifier,id,generation,source
stench,1,3,both
drizzle,2,3,both
speed-boost,3,3,both
battle-armor,4,3,both
sturdy,5,3,both
damp,6,3,both
limber,7,3,both
sand-veil,8,3,both
static,9,3,both
volt-absorb,10,3,both
water-absorb,11,3,both
oblivious,12,3,both
cloud-nine,13,3,both
compound-eyes,14,3,both
insomnia,15,3,both
color-change,16,3,both
immunity,17,3,both
flash-fire,18,3,both
shield-dust,19,3,both
own-tempo,20,3,both
suction-cups,21,3,both
intimidate,22,3,both
shadow-tag,23,3,both
rough-skin,24,3,both
wonder-guard,25,3,both
levitate,26,3,both
effect-spore,27,3,both
synchronize,28,3,both
clear-body,29,3,both
natural-cure,30,3,both
lightning-rod,31,3,both
serene-grace,32,3,both
swift-swim,33,3,both
chlorophyll,34,3,both
illuminate,35,3,both
trace,36,3,both
huge-power,37,3,both
poison-point,38,3,both
inner-focus,39,3,both
magma-armor,40,3,both
water-veil,41,3,both
magnet-pull,42,3,both
soundproof,43,3,both
rain-dish,44,3,both
sand-stream,45,3,both
pressure,46,3,both
thick-fat,47,3,both
early-bird,48,3,both
flame-body,49,3,both
run-away,50,3,both
keen-eye,51,3,both
hyper-cutter,52,3,both
pickup,53,3,both
truant,54,3,both
hustle,55,3,both
cute-charm,56,3,both
plus,57,3,both
minus,58,3,both
forecast,59,3,both
sticky-hold,60,3,both
shed-skin,61,3,both
guts,62,3,both
marvel-scale,63,3,both
liquid-ooze,64,3,both
overgrow,65,3,both
blaze,66,3,both
torrent,67,3,both
swarm,68,3,both
rock-head,69,3,both
drought,70,3,both
arena-trap,71,3,both
vital-spirit,72,3,both
white-smoke,73,3,both
pure-power,74,3,both
shell-armor,75,3,both
air-lock,76,3,both
tangled-feet,77,4,both
motor-drive,78,4,both
rivalry,79,4,both
steadfast,80,4,both
snow-cloak,81,4,both
gluttony,82,4,both
anger-point,83,4,both
unburden,84,4,both
heatproof,85,4,both
simple,86,4,both
dry-skin,87,4,both
download,88,4,both
iron-fist,89,4,both
poison-heal,90,4,both
adaptability,91,4,both
skill-link,92,4,both
hydration,93,4,both
solar-power,94,4,both
quick-feet,95,4,both
normalize,96,4,both
sniper,97,4,both
magic-guard,98,4,both
no-guard,99,4,both
stall,100,4,both
technician,101,4,both
leaf-guard,102,4,both
klutz,103,4,both
mold-breaker,104,4,both
super-luck,105,4,both
aftermath,106,4,both
anticipation,107,4,both
forewarn,108,4,both
unaware,109,4,both
tinted-lens,110,4,both
filter,111,4,both
slow-start,112,4,both
scrappy,113,4,both
storm-drain,114,4,both
ice-body,115,4,both
solid-rock,116,4,both
snow-warning,117,4,both
honey-gather,118,4,both
frisk,119,4,both
reckless,120,4,both
multitype,121,4,both
flower-gift,122,4,both
bad-dreams,123,4,both
pickpocket,124,5,both
sheer-force,125,5,both
contrary,126,5,both
unnerve,127,5,both
defiant,128,5,both
defeatist,129,5,both
cursed-body,130,5,both
healer,131,5,both
friend-guard,132,5,both
weak-armor,133,5,both
heavy-metal,134,5,both
light-metal,135,5,both
multiscale,136,5,both
toxic-boost,137,5,both
flare-boost,138,5,both
harvest,139,5,both
telepathy,140,5,both
moody,141,5,both
overcoat,142,5,both
poison-touch,143,5,both
regenerator,144,5,both
big-pecks,145,5,both
sand-rush,146,5,both
wonder-skin,147,5,both
analytic,148,5,both
illusion,149,5,both
imposter,150,5,both
infiltrator,151,5,both
mummy,152,5,both
moxie,153,5,both
justified,154,5,both
