region,area,name,poi_name,page,source
kanto,Route 1,Professor Oak,,Kanto Route 1,bulbapedia
kanto,Route 2,Professor's assistant,,Kanto Route 2,bulbapedia
kanto,Route 4,Magikarp salesman,,Kanto Route 4,bulbapedia
kanto,Route 5,Mr. Hyper,,Kanto Route 5,bulbapedia
kanto,Route 10,Lorelei,,Kanto Route 10,bulbapedia
kanto,Route 11,Professor Oak,,Kanto Route 11,bulbapedia
kanto,Route 11,Professor's assistant,,Kanto Route 11,bulbapedia
kanto,Route 12,Fishing Brothers,,Kanto Route 12,bulbapedia
kanto,Route 12,Move Deleter,,Kanto Route 12,bulbapedia
kanto,Route 15,Professor's assistant,,Kanto Route 15,bulbapedia
kanto,Route 15,Professor Oak,,Kanto Route 15,bulbapedia
kanto,Route 16,Professor Oak,,Kanto Route 16,bulbapedia
kanto,Route 16,Professor's assistant,,Kanto Route 16,bulbapedia
kanto,Route 22,Blue,,Kanto Route 22,bulbapedia
kanto,Route 22,Trace,,Kanto Route 22,bulbapedia
kanto,Route 22,Silver,,Kanto Route 22,bulbapedia
kanto,Route 22,Giovanni,,Kanto Route 22,bulbapedia
kanto,Route 24,Damian,,Kanto Route 24,bulbapedia
kanto,Route 25,Bill,,Kanto Route 25,bulbapedia
kanto,Pewter City,Brock,Pewter Gym,Pewter City,bulbapedia
kanto,Cerulean City,Misty,Cerulean Gym,Cerulean City,bulbapedia
kanto,Cerulean City,Melanie,Dontae's house,Cerulean City,bulbapedia
kanto,Cerulean City,Officer Jenny,Burglarized house,Cerulean City,bulbapedia
kanto,Cerulean City,Bill,Burglarized house,Cerulean City,bulbapedia
kanto,Celadon City,Brock,Celadon Condominiums,Celadon City,bulbapedia
kanto,Celadon City,Erika,Celadon Gym,Celadon City,bulbapedia
kanto,Saffron City,Sabrina,Fighting Dojo,Saffron City,bulbapedia
kanto,Saffron City,Koichi,Fighting Dojo,Saffron City,bulbapedia
kanto,Saffron City,Kiyo,Fighting Dojo,Saffron City,bulbapedia
kanto,Saffron City,Copycat,Magnet Train station,Saffron City,bulbapedia
kanto,Saffron City,Red,Magnet Train station,Saffron City,bulbapedia
kanto,Saffron City,Lt. Surge,Magnet Train station,Saffron City,bulbapedia
kanto,Lavender Town,Mr. Fuji,Pokémon Tower,Lavender Town,bulbapedia
kanto,Viridian City,Blue,Viridian Gym,Viridian City,bulbapedia
kanto,Viridian City,Giovanni,Viridian Gym,Viridian City,bulbapedia
kanto,Viridian City,Cal,Trainer House,Viridian City,bulbapedia
kanto,Viridian City,Professor Oak,Old Man,Viridian City,bulbapedia
kanto,Viridian City,Jessie,Old Man,Viridian City,bulbapedia
kanto,Viridian City,James,Old Man,Viridian City,bulbapedia
kanto,Vermilion City,Lt. Surge,,Vermilion City,bulbapedia
kanto,Vermilion City,Officer Jenny,,Vermilion City,bulbapedia
kanto,Vermilion City,Fishing Brothers,Fishing Brother,Vermilion City,bulbapedia
kanto,Pallet Town,Blue,Professor Oak's Lab,Pallet Town,bulbapedia
kanto,Pallet Town,Trace,Professor Oak's Lab,Pallet Town,bulbapedia
kanto,Pallet Town,Professor Oak,Professor Oak's Lab,Pallet Town,bulbapedia
kanto,Pallet Town,Red,Player's house,Pallet Town,bulbapedia
kanto,Pallet Town,Mom,Player's house,Pallet Town,bulbapedia
kanto,Pallet Town,Daisy Oak,Rival's house,Pallet Town,bulbapedia
kanto,Fuchsia City,Baoba,Safari Zone,Fuchsia City,bulbapedia
kanto,Fuchsia City,Koga,Safari Zone Warden,Fuchsia City,bulbapedia
kanto,Fuchsia City,Janine,Safari Zone Warden,Fuchsia City,bulbapedia
kanto,Fuchsia City,Move Deleter,Move Deleter,Fuchsia City,bulbapedia
kanto,Fuchsia City,Fishing Brothers,Move Deleter,Fuchsia City,bulbapedia
kanto,Cinnabar Island,Blaine,Cinnabar Gym,Cinnabar Island,bulbapedia
kanto,Cinnabar Island,Mr. Fuji,Cinnabar Lab,Cinnabar Island,bulbapedia
kanto,Cinnabar Island,Giovanni,Blue,Cinnabar Island,bulbapedia
