region,area,gym,sub_area,group,role,trainer_class,name,game,version_group,canonical,tier,tier_note,prize,prize_note,team_size,slot,species,ndex,level,gender,type1,type2,ability,moves,held_item,page,source
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,FRLG,firered-leafgreen,1,base,,1400,,2,1,Geodude,74,12,male,Rock,Ground,Rock Head,Tackle (Normal); Defense Curl (Normal),,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,FRLG,firered-leafgreen,1,base,,1400,,2,2,Onix,95,14,male,Rock,Ground,Rock Head,Tackle (Normal); Bind (Normal); Rock Tomb (Rock),,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,base,,1920,,2,1,Geodude,74,11,male,Rock,Ground,,"Tackle (Normal, Physical)",,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,base,,1920,,2,2,Onix,95,12,male,Rock,Ground,,"Headbutt (Normal, Physical); Bind (Normal, Physical); Rock Throw (Rock, Physical)",,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Onix,95,56,male,Rock,Ground,,"Stealth Rock (Rock, Status); Iron Tail (Steel, Physical); Rock Slide (Rock, Physical); Earthquake (Ground, Physical)",,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,2,Kabutops,141,56,female,Rock,Water,,"X-Scissor (Bug, Physical); Rock Slide (Rock, Physical); Aqua Jet (Water, Physical); Brick Break (Fighting, Physical)",,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,3,Omastar,139,56,male,Rock,Water,,"Blizzard (Ice, Special); Hydro Pump (Water, Special); Seismic Toss (Fighting, Physical); Reflect (Psychic, Status)",,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,4,Aerodactyl,142,56,male,Rock,Flying,,"Crunch (Dark, Physical); Rock Slide (Rock, Physical); Earthquake (Ground, Physical); Iron Tail (Steel, Physical)",,Pewter Gym,bulbapedia
kanto,Pewter City,Pewter Gym,,,leader,Gym Leader,Brock,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,5,Golem,76,57,male,Rock,Ground,,"Earthquake (Ground, Physical); Rock Slide (Rock, Physical); Fire Punch (Fire, Physical); Thunder Punch (Electric, Physical)",,Pewter Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,FRLG,firered-leafgreen,1,base,,2100,,2,1,Staryu,120,18,none,Water,,Natural Cure,Tackle (Normal); Harden (Normal); Recover (Normal); Water Pulse (Water),,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,FRLG,firered-leafgreen,1,base,,2100,,2,2,Starmie,121,21,none,Water,Psychic,Natural Cure,Rapid Spin (Normal); Swift (Normal); Recover (Normal); Water Pulse (Water),,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,base,,3040,,2,1,Psyduck,54,18,male,Water,,,"Confusion (Psychic, Special); Water Gun (Water, Special)",,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,base,,3040,,2,2,Starmie,121,19,none,Water,Psychic,,"Scald (Water, Special); Swift (Normal, Special); Psywave (Psychic, Special)",,Cerulean Gym,bulbapedia
kanto,Cerulean City,Cerulean Gym,,,leader,Gym Leader,Misty,PE,lets-go-pikachu-lets-go-eevee,0,rematch,,13680,,5,1,Golduck,55,56,male,Water,,,"Scald (Water, Special); Psychic (Psychic, Special); Ice Beam (Ice, Special); Light Screen (Psychic, Status)",,Cerulean Gym,bulbapedia
