pokemon,base_experience
bulbasaur,64
ivysaur,142
venusaur,236
charmander,62
charmeleon,142
charizard,240
squirtle,63
wartortle,142
blastoise,239
caterpie,39
metapod,72
butterfree,178
weedle,39
kakuna,72
beedrill,178
pidgey,50
pidgeotto,122
pidgeot,216
rattata,51
raticate,145
spearow,52
fearow,155
ekans,58
arbok,157
pikachu,112
raichu,218
sandshrew,60
sandslash,158
nidoran-f,55
nidorina,128
nidoqueen,227
nidoran-m,55
nidorino,128
nidoking,227
clefairy,113
clefable,217
vulpix,60
ninetales,177
jigglypuff,95
wigglytuff,196
zubat,49
golbat,159
oddish,64
gloom,138
vileplume,221
paras,57
parasect,142
venonat,61
venomoth,158
diglett,53
dugtrio,149
meowth,58
persian,154
psyduck,64
golduck,175
mankey,61
primeape,159
growlithe,70
arcanine,194
poliwag,60
poliwhirl,135
poliwrath,230
abra,62
kadabra,140
alakazam,225
machop,61
machoke,142
machamp,227
bellsprout,60
weepinbell,137
victreebel,221
tentacool,67
tentacruel,180
geodude,60
graveler,137
golem,223
ponyta,82
rapidash,175
slowpoke,63
slowbro,172
magnemite,65
magneton,163
farfetchd,132
doduo,62
dodrio,165
seel,65
dewgong,166
grimer,65
muk,175
shellder,61
cloyster,184
gastly,62
haunter,142
gengar,225
onix,77
drowzee,66
hypno,169
krabby,65
kingler,166
voltorb,66
electrode,172
exeggcute,65
exeggutor,186
cubone,64
marowak,149
hitmonlee,159
hitmonchan,159
lickitung,77
koffing,68
weezing,172
rhyhorn,69
rhydon,170
chansey,395
tangela,87
kangaskhan,172
horsea,59
seadra,154
goldeen,64
seaking,158
staryu,68
starmie,182
mr-mime,161
scyther,100
jynx,159
electabuzz,172
magmar,173
pinsir,175
tauros,172
magikarp,40
gyarados,189
lapras,187
ditto,101
eevee,65
vaporeon,184
jolteon,184
flareon,184
porygon,79
omanyte,71
omastar,173
kabuto,71
kabutops,173
aerodactyl,180
snorlax,189
articuno,261
zapdos,261
moltres,261
dratini,60
dragonair,147
dragonite,270
mewtwo,306
mew,270
chikorita,64
bayleef,142
meganium,236
cyndaquil,62
quilava,142
typhlosion,240
totodile,63
croconaw,142
feraligatr,239
sentret,43
furret,145
hoothoot,52
noctowl,158
ledyba,53
ledian,137
spinarak,50
ariados,140
crobat,241
chinchou,66
lanturn,161
pichu,41
cleffa,44
igglybuff,42
togepi,49
togetic,142
natu,64
xatu,165
mareep,56
flaaffy,128
ampharos,230
bellossom,221
marill,88
azumarill,189
sudowoodo,144
politoed,225
hoppip,50
skiploom,119
jumpluff,207
aipom,72
sunkern,36
sunflora,149
yanma,78
wooper,42
quagsire,151
espeon,184
umbreon,184
murkrow,81
slowking,172
misdreavus,87
unown,118
wobbuffet,142
girafarig,159
pineco,58
forretress,163
dunsparce,145
gligar,86
steelix,179
snubbull,60
granbull,158
qwilfish,88
scizor,175
shuckle,177
heracross,175
sneasel,86
teddiursa,66
ursaring,175
slugma,50
magcargo,151
swinub,50
piloswine,158
corsola,144
remoraid,60
octillery,168
delibird,116
mantine,170
skarmory,163
houndour,66
houndoom,175
kingdra,243
phanpy,66
donphan,175
porygon2,180
stantler,163
smeargle,88
tyrogue,42
hitmontop,159
smoochum,61
elekid,72
magby,73
miltank,172
blissey,608
raikou,261
entei,261
suicune,261
larvitar,60
pupitar,144
tyranitar,270
lugia,306
ho-oh,306
celebi,270
treecko,62
grovyle,142
sceptile,239
torchic,62
combusken,142
blaziken,239
mudkip,62
marshtomp,142
swampert,241
poochyena,56
mightyena,147
zigzagoon,56
linoone,147
wurmple,56
silcoon,72
beautifly,178
cascoon,72
dustox,173
lotad,44
lombre,119
ludicolo,216
seedot,44
nuzleaf,119
shiftry,216
taillow,54
swellow,159
wingull,54
pelipper,154
ralts,40
kirlia,97
gardevoir,233
surskit,54
masquerain,159
shroomish,59
breloom,161
slakoth,56
vigoroth,154
slaking,252
nincada,53
ninjask,160
shedinja,83
whismur,48
loudred,126
exploud,221
makuhita,47
hariyama,166
azurill,38
nosepass,75
skitty,52
delcatty,140
sableye,133
mawile,133
aron,66
lairon,151
aggron,239
meditite,56
medicham,144
electrike,59
manectric,166
plusle,142
minun,142
volbeat,151
illumise,151
roselia,140
gulpin,60
swalot,163
carvanha,61
sharpedo,161
wailmer,80
wailord,175
numel,61
camerupt,161
torkoal,165
spoink,66
grumpig,165
spinda,126
trapinch,58
vibrava,119
flygon,234
cacnea,67
cacturne,166
swablu,62
altaria,172
zangoose,160
seviper,160
lunatone,161
solrock,161
barboach,58
whiscash,164
corphish,62
crawdaunt,164
baltoy,60
claydol,175
lileep,71
cradily,173
anorith,71
armaldo,173
feebas,40
milotic,189
castform,147
kecleon,154
shuppet,59
banette,159
duskull,59
dusclops,159
tropius,161
chimecho,159
absol,163
wynaut,52
snorunt,60
glalie,168
spheal,58
sealeo,144
walrein,239
clamperl,69
