pokemon,base_experience,source
bulbasaur,64,pokedb
ivysaur,142,pokedb
venusaur,236,pokedb
charmander,62,pokedb
charmeleon,142,pokedb
charizard,267,pokedb
squirtle,63,pokedb
wartortle,142,pokedb
blastoise,265,pokedb
caterpie,39,pokedb
metapod,72,pokedb
butterfree,198,pokedb
weedle,39,pokedb
kakuna,72,pokedb
beedrill,178,pokedb
pidgey,50,pokedb
pidgeotto,122,pokedb
pidgeot,216,pokedb
rattata,51,pokedb
raticate,145,pokedb
spearow,52,pokedb
fearow,155,pokedb
ekans,58,pokedb
arbok,157,pokedb
pikachu,112,pokedb
raichu,243,pokedb
sandshrew,60,pokedb
sandslash,158,pokedb
nidoran-f,55,pokedb
nidorina,128,pokedb
nidoqueen,253,pokedb
nidoran-m,55,pokedb
nidorino,128,pokedb
nidoking,253,pokedb
clefairy,113,pokedb
clefable,242,pokedb
vulpix,60,pokedb
ninetales,177,pokedb
jigglypuff,95,pokedb
wigglytuff,218,pokedb
zubat,49,pokedb
golbat,159,pokedb
oddish,64,pokedb
gloom,138,pokedb
vileplume,245,pokedb
paras,57,pokedb
parasect,142,pokedb
venonat,61,pokedb
venomoth,158,pokedb
diglett,53,pokedb
dugtrio,149,pokedb
meowth,58,pokedb
persian,154,pokedb
psyduck,64,pokedb
golduck,175,pokedb
mankey,61,pokedb
primeape,159,pokedb
growlithe,70,pokedb
arcanine,194,pokedb
poliwag,60,pokedb
poliwhirl,135,pokedb
poliwrath,255,pokedb
abra,62,pokedb
kadabra,140,pokedb
alakazam,250,pokedb
machop,61,pokedb
machoke,142,pokedb
machamp,253,pokedb
bellsprout,60,pokedb
weepinbell,137,pokedb
victreebel,221,pokedb
tentacool,67,pokedb
tentacruel,180,pokedb
geodude,60,pokedb
graveler,137,pokedb
golem,223,pokedb
ponyta,82,pokedb
rapidash,175,pokedb
slowpoke,63,pokedb
slowbro,172,pokedb
magnemite,65,pokedb
magneton,163,pokedb
farfetchd,132,pokedb
doduo,62,pokedb
dodrio,165,pokedb
seel,65,pokedb
dewgong,166,pokedb
grimer,65,pokedb
muk,175,pokedb
shellder,61,pokedb
cloyster,184,pokedb
gastly,62,pokedb
haunter,142,pokedb
gengar,250,pokedb
onix,77,pokedb
drowzee,66,pokedb
hypno,169,pokedb
krabby,65,pokedb
kingler,166,pokedb
voltorb,66,pokedb
electrode,172,pokedb
exeggcute,65,pokedb
exeggutor,186,pokedb
cubone,64,pokedb
marowak,149,pokedb
hitmonlee,159,pokedb
hitmonchan,159,pokedb
lickitung,77,pokedb
koffing,68,pokedb
weezing,172,pokedb
rhyhorn,69,pokedb
rhydon,170,pokedb
chansey,395,pokedb
tangela,87,pokedb
kangaskhan,172,pokedb
horsea,59,pokedb
