item,berry_id,firmness,natural_gift_power,natural_gift_type,size,max_harvest,growth_time,soil_dryness,smoothness
cheri-berry,1,soft,60,fire,20,5,3,15,25
chesto-berry,2,super-hard,60,water,80,5,3,15,25
pecha-berry,3,very-soft,60,electric,40,5,3,15,25
rawst-berry,4,hard,60,grass,32,5,3,15,25
aspear-berry,5,super-hard,60,ice,50,5,3,15,25
leppa-berry,6,very-hard,60,fighting,28,5,4,15,20
oran-berry,7,super-hard,60,poison,35,5,4,15,20
persim-berry,8,hard,60,ground,47,5,4,15,20
lum-berry,9,super-hard,60,flying,34,5,12,8,20
sitrus-berry,10,very-hard,60,psychic,95,5,8,7,20
figy-berry,11,soft,60,bug,100,5,5,10,25
wiki-berry,12,hard,60,rock,115,5,5,10,25
mago-berry,13,hard,60,ghost,126,5,5,10,25
aguav-berry,14,super-hard,60,dragon,64,5,5,10,25
iapapa-berry,15,soft,60,dark,223,5,5,10,25
razz-berry,16,very-hard,60,steel,120,10,2,35,20
bluk-berry,17,soft,70,fire,108,10,2,35,20
nanab-berry,18,very-hard,70,water,77,10,2,35,20
wepear-berry,19,super-hard,70,electric,74,10,2,35,20
pinap-berry,20,hard,70,grass,80,10,2,35,20
pomeg-berry,21,very-hard,70,ice,135,5,8,8,20
kelpsy-berry,22,hard,70,fighting,150,5,8,8,20
qualot-berry,23,hard,70,poison,110,5,8,8,20
hondew-berry,24,hard,70,ground,162,5,8,8,20
grepa-berry,25,soft,70,flying,149,5,8,8,20
tamato-berry,26,soft,70,psychic,200,5,8,8,30
cornn-berry,27,hard,70,bug,75,10,6,10,30
magost-berry,28,hard,70,rock,140,10,6,10,30
rabuta-berry,29,soft,70,ghost,226,10,6,10,30
nomel-berry,30,super-hard,70,dragon,285,10,6,10,30
spelon-berry,31,soft,70,dark,133,15,15,8,35
pamtre-berry,32,very-soft,70,steel,244,15,15,8,35
watmel-berry,33,soft,80,fire,250,15,15,8,35
durin-berry,34,hard,80,water,280,15,15,8,35
belue-berry,35,very-soft,80,electric,300,15,15,8,35
occa-berry,36,super-hard,60,fire,90,5,18,6,30
passho-berry,37,soft,60,water,33,5,18,6,30
wacan-berry,38,very-soft,60,electric,250,5,18,6,30
rindo-berry,39,soft,60,grass,156,5,18,6,30
yache-berry,40,very-hard,60,ice,135,5,18,6,30
chople-berry,41,soft,60,fighting,77,5,18,6,30
kebia-berry,42,hard,60,poison,90,5,18,6,30
shuca-berry,43,soft,60,ground,42,5,18,6,30
coba-berry,44,very-hard,60,flying,278,5,18,6,30
payapa-berry,45,soft,60,psychic,252,5,18,6,30
tanga-berry,46,very-soft,60,bug,42,5,18,6,35
charti-berry,47,very-soft,60,rock,28,5,18,6,35
kasib-berry,48,hard,60,ghost,144,5,18,6,35
haban-berry,49,soft,60,dragon,23,5,18,6,35
colbur-berry,50,super-hard,60,dark,39,5,18,6,35
babiri-berry,51,super-hard,60,steel,265,5,18,6,35
chilan-berry,52,very-soft,60,normal,34,5,18,6,35
liechi-berry,53,very-hard,80,grass,111,5,24,4,40
ganlon-berry,54,very-hard,80,ice,33,5,24,4,40
salac-berry,55,very-hard,80,fighting,95,5,24,4,40
petaya-berry,56,very-hard,80,poison,237,5,24,4,40
apicot-berry,57,hard,80,ground,75,5,24,4,40
lansat-berry,58,soft,80,flying,97,5,24,4,50
starf-berry,59,super-hard,80,psychic,153,5,24,4,50
enigma-berry,60,hard,80,bug,155,5,24,7,60
micle-berry,61,soft,80,rock,41,5,24,7,60
custap-berry,62,super-hard,80,ghost,267,5,24,7,60
jaboca-berry,63,soft,80,dragon,33,5,24,7,60
rowap-berry,64,very-soft,80,dark,52,5,24,7,60
kee-berry,65,,100,fairy,,8,72,,
maranga-berry,66,,100,dark,,8,72,,
hopo-berry,67,,17,,,,,,
roseli-berry,68,,,,,,,,
