item,contest_type,flavor
cheri-berry,cool,10
cheri-berry,beauty,0
cheri-berry,cute,0
cheri-berry,smart,0
cheri-berry,tough,0
chesto-berry,cool,0
chesto-berry,beauty,10
chesto-berry,cute,0
chesto-berry,smart,0
chesto-berry,tough,0
pecha-berry,cool,0
pecha-berry,beauty,0
pecha-berry,cute,10
pecha-berry,smart,0
pecha-berry,tough,0
rawst-berry,cool,0
rawst-berry,beauty,0
rawst-berry,cute,0
rawst-berry,smart,10
rawst-berry,tough,0
aspear-berry,cool,0
aspear-berry,beauty,0
aspear-berry,cute,0
aspear-berry,smart,0
aspear-berry,tough,10
leppa-berry,cool,10
leppa-berry,beauty,0
leppa-berry,cute,10
leppa-berry,smart,10
leppa-berry,tough,10
oran-berry,cool,10
oran-berry,beauty,10
oran-berry,cute,0
oran-berry,smart,10
oran-berry,tough,10
persim-berry,cool,10
persim-berry,beauty,10
persim-berry,cute,10
persim-berry,smart,0
persim-berry,tough,10
lum-berry,cool,10
lum-berry,beauty,10
lum-berry,cute,10
lum-berry,smart,10
lum-berry,tough,0
sitrus-berry,cool,0
sitrus-berry,beauty,10
sitrus-berry,cute,10
sitrus-berry,smart,10
sitrus-berry,tough,10
figy-berry,cool,15
figy-berry,beauty,0
figy-berry,cute,0
figy-berry,smart,0
figy-berry,tough,0
wiki-berry,cool,0
wiki-berry,beauty,15
wiki-berry,cute,0
wiki-berry,smart,0
wiki-berry,tough,0
mago-berry,cool,0
mago-berry,beauty,0
mago-berry,cute,15
mago-berry,smart,0
mago-berry,tough,0
aguav-berry,cool,0
aguav-berry,beauty,0
aguav-berry,cute,0
aguav-berry,smart,15
aguav-berry,tough,0
iapapa-berry,cool,0
iapapa-berry,beauty,0
iapapa-berry,cute,0
iapapa-berry,smart,0
iapapa-berry,tough,15
razz-berry,cool,10
razz-berry,beauty,10
razz-berry,cute,0
razz-berry,smart,0
razz-berry,tough,0
bluk-berry,cool,0
bluk-berry,beauty,10
bluk-berry,cute,10
bluk-berry,smart,0
bluk-berry,tough,0
nanab-berry,cool,0
nanab-berry,beauty,0
nanab-berry,cute,10
nanab-berry,smart,10
nanab-berry,tough,0
wepear-berry,cool,0
wepear-berry,beauty,0
wepear-berry,cute,0
wepear-berry,smart,10
wepear-berry,tough,10
pinap-berry,cool,10
pinap-berry,beauty,0
pinap-berry,cute,0
pinap-berry,smart,0
pinap-berry,tough,10
pomeg-berry,cool,10
pomeg-berry,beauty,0
pomeg-berry,cute,10
pomeg-berry,smart,10
pomeg-berry,tough,0
kelpsy-berry,cool,0
kelpsy-berry,beauty,10
kelpsy-berry,cute,0
kelpsy-berry,smart,10
kelpsy-berry,tough,10
qualot-berry,cool,10
qualot-berry,beauty,0
qualot-berry,cute,10
qualot-berry,smart,0
qualot-berry,tough,10
hondew-berry,cool,10
hondew-berry,beauty,10
hondew-berry,cute,0
hondew-berry,smart,10
hondew-berry,tough,0
grepa-berry,cool,0
grepa-berry,beauty,10
grepa-berry,cute,10
grepa-berry,smart,0
grepa-berry,tough,10
tamato-berry,cool,20
tamato-berry,beauty,10
tamato-berry,cute,0
tamato-berry,smart,0
tamato-berry,tough,0
cornn-berry,cool,0
cornn-berry,beauty,20
cornn-berry,cute,10
cornn-berry,smart,0
cornn-berry,tough,0
magost-berry,cool,0
magost-berry,beauty,0
magost-berry,cute,20
magost-berry,smart,10
magost-berry,tough,0
rabuta-berry,cool,0
rabuta-berry,beauty,0
rabuta-berry,cute,0
rabuta-berry,smart,20
rabuta-berry,tough,10
nomel-berry,cool,10
nomel-berry,beauty,0
nomel-berry,cute,0
nomel-berry,smart,0
nomel-berry,tough,20
spelon-berry,cool,30
spelon-berry,beauty,10
spelon-berry,cute,0
spelon-berry,smart,0
spelon-berry,tough,0
pamtre-berry,cool,0
pamtre-berry,beauty,30
pamtre-berry,cute,10
pamtre-berry,smart,0
pamtre-berry,tough,0
watmel-berry,cool,0
watmel-berry,beauty,0
watmel-berry,cute,30
watmel-berry,smart,10
watmel-berry,tough,0
durin-berry,cool,0
durin-berry,beauty,0
durin-berry,cute,0
durin-berry,smart,30
durin-berry,tough,10
belue-berry,cool,10
belue-berry,beauty,0
belue-berry,cute,0
belue-berry,smart,0
belue-berry,tough,30
occa-berry,cool,15
occa-berry,beauty,0
occa-berry,cute,10
occa-berry,smart,0
occa-berry,tough,0
passho-berry,cool,0
passho-berry,beauty,15
passho-berry,cute,0
passho-berry,smart,10
passho-berry,tough,0
wacan-berry,cool,0
