first_move,second_move
pound,double-slap
pound,slam
pound,feint-attack
fire-punch,ice-punch
fire-punch,thunder-punch
ice-punch,fire-punch
ice-punch,thunder-punch
thunder-punch,fire-punch
thunder-punch,ice-punch
scratch,fury-swipes
scratch,slash
vice-grip,guillotine
vice-grip,bind
swords-dance,cut
swords-dance,crabhammer
swords-dance,slash
swords-dance,false-swipe
swords-dance,fury-cutter
swords-dance,crush-claw
sand-attack,mud-slap
horn-attack,fury-attack
horn-attack,horn-drill
leer,scratch
leer,stomp
leer,horn-attack
leer,tackle
leer,bite
leer,glare
leer,scary-face
leer,feint-attack
sing,perish-song
sing,refresh
surf,dive
peck,fury-attack
peck,drill-peck
growth,vine-whip
growth,absorb
growth,mega-drain
growth,razor-leaf
growth,solar-beam
growth,petal-dance
growth,giga-drain
growth,bullet-seed
growth,frenzy-plant
growth,magical-leaf
string-shot,spider-web
dragon-rage,dragon-breath
dragon-rage,dragon-claw
dragon-rage,dragon-dance
rock-throw,rock-slide
rock-throw,rock-tomb
earthquake,fissure
earthquake,eruption
confusion,psychic
confusion,teleport
confusion,kinesis
confusion,future-sight
psychic,confusion
psychic,teleport
psychic,kinesis
psychic,future-sight
hypnosis,dream-eater
hypnosis,nightmare
rage,thrash
rage,leer
rage,scary-face
double-team,agility
double-team,quick-attack
double-team,teleport
harden,tackle
harden,take-down
harden,double-edge
harden,protect
harden,rollout
defense-curl,tackle
defense-curl,rollout
focus-energy,karate-chop
focus-energy,mega-punch
focus-energy,mega-kick
focus-energy,headbutt
focus-energy,take-down
focus-energy,double-edge
focus-energy,triple-kick
focus-energy,bone-rush
focus-energy,dynamic-punch
focus-energy,cross-chop
focus-energy,focus-punch
focus-energy,brick-break
focus-energy,arm-thrust
focus-energy,sky-uppercut
smog,smokescreen
sludge,sludge-bomb
bone-club,bonemerang
bone-club,bone-rush
kinesis,confusion
kinesis,psychic
kinesis,teleport
kinesis,future-sight
soft-boiled,egg-bomb
bonemerang,bone-club
bonemerang,bone-rush
rest,snore
rest,sleep-talk
mind-reader,mega-punch
mind-reader,mega-kick
mind-reader,jump-kick
mind-reader,submission
mind-reader,high-jump-kick
mind-reader,dynamic-punch
curse,spite
curse,destiny-bond
curse,mean-look
curse,grudge
powder-snow,blizzard
scary-face,leer
scary-face,bite
scary-face,super-fang
scary-face,crunch
belly-drum,rest
sludge-bomb,sludge
mud-slap,sand-attack
mud-slap,mud-sport
bone-rush,bone-club
bone-rush,bonemerang
lock-on,thunder
lock-on,tri-attack
lock-on,octazooka
lock-on,zap-cannon
lock-on,superpower
sandstorm,sand-attack
sandstorm,mud-slap
sandstorm,weather-ball
sandstorm,sand-tomb
endure,flail
endure,reversal
endure,destiny-bond
endure,pain-split
endure,endeavor
endure,eruption
charm,tail-whip
charm,growl
charm,rest
charm,sweet-kiss
charm,flatter
mean-look,destiny-bond
mean-look,perish-song
dragon-breath,dragon-rage
dragon-breath,dragon-claw
dragon-breath,dragon-dance
sweet-scent,poison-powder
sweet-scent,stun-spore
sweet-scent,sleep-powder
rain-dance,water-gun
rain-dance,hydro-pump
rain-dance,surf
rain-dance,bubble-beam
rain-dance,thunder
rain-dance,withdraw
rain-dance,waterfall
rain-dance,clamp
rain-dance,bubble
rain-dance,crabhammer
rain-dance,octazooka
rain-dance,whirlpool
rain-dance,dive
rain-dance,hydro-cannon
rain-dance,weather-ball
rain-dance,water-spout
rain-dance,muddy-water
rain-dance,water-sport
rain-dance,water-pulse
sunny-day,fire-punch
sunny-day,ember
sunny-day,flamethrower
sunny-day,solar-beam
sunny-day,fire-spin
sunny-day,fire-blast
sunny-day,flame-wheel
sunny-day,sacred-fire
sunny-day,morning-sun
sunny-day,synthesis
sunny-day,moonlight
sunny-day,heat-wave
sunny-day,will-o-wisp
sunny-day,eruption
sunny-day,blaze-kick
sunny-day,blast-burn
sunny-day,weather-ball
sunny-day,overheat
fake-out,seismic-toss
fake-out,feint-attack
fake-out,vital-throw
fake-out,knock-off
fake-out,arm-thrust
stockpile,spit-up
stockpile,swallow
hail,blizzard
hail,powder-snow
hail,weather-ball
charge,thunder-punch
charge,thunder-shock
charge,thunderbolt
charge,thunder-wave
charge,thunder
charge,spark
charge,volt-tackle
charge,shock-wave
taunt,counter
taunt,detect
taunt,mirror-coat
yawn,rest
yawn,slack-off
dive,surf
mud-sport,water-gun
mud-sport,mud-slap
mud-sport,water-sport
metal-sound,metal-claw
water-sport,water-gun
water-sport,refresh
water-sport,mud-sport
calm-mind,psybeam
calm-mind,confusion
calm-mind,psychic
calm-mind,meditate
calm-mind,light-screen
calm-mind,reflect
calm-mind,dream-eater
calm-mind,psywave
calm-mind,future-sight
calm-mind,luster-purge
calm-mind,mist-ball
calm-mind,psycho-boost
dragon-dance,dragon-rage
dragon-dance,dragon-breath
dragon-dance,dragon-claw
