identifier,id,condition,is_default,name_en,name_fr,name_de
swarm-yes,1,swarm,0,During a swarm,Pendant une tempête,Während eines Schwarms
swarm-no,2,swarm,1,Not during a swarm,Pas pendant une tempête,Außerhalb eines Schwarms
time-morning,3,time,0,In the morning,Le matin,Am Morgen
time-day,4,time,1,During the day,La journée,Am Tag
time-night,5,time,0,At night,La nuit,In der Nacht
radar-on,6,radar,0,Using PokéRadar,En utilisant le PokéRadar,Durch Benutzung des Pokéradars
radar-off,7,radar,1,Not using PokéRadar,Sans utiliser le PokéRadar,Ohne Benutzung des Pokéradars
slot2-none,8,slot2,1,No game in slot 2,Sans jeu dans le slot 2,Kein Spiel in Slot 2
slot2-ruby,9,slot2,0,Ruby in slot 2,Rubis dans le slot 2,Rubin in Slot 2
slot2-sapphire,10,slot2,0,Sapphire in slot 2,Saphir dans le slot 2,Saphir in Slot 2
slot2-emerald,11,slot2,0,Emerald in slot 2,Émeraude dans le slot 2,Smaragd in Slot 2
slot2-firered,12,slot2,0,FireRed in slot 2,Rouge Feu dans le slot 2,Feuerrot in slot 2
slot2-leafgreen,13,slot2,0,LeafGreen in slot 2,Vert Feuille dans le slot 2,Blattgrün in slot 2
radio-off,14,radio,1,Radio off,Radio éteinte,Radio aus
radio-hoenn,15,radio,0,Hoenn radio,En écoutant Radio Hoenn,Hoenn-Sound im Radio
radio-sinnoh,16,radio,0,Sinnoh radio,En écoutant Radio Sinnoh,Sinnoh-Sound im Radio
season-spring,17,season,0,During Spring,Au printemps,Im Frühling
season-summer,18,season,0,During Summer,En été,Im Sommer
season-autumn,19,season,0,During Autumn,En automne,Im Herbst
season-winter,20,season,0,During Winter,En hiver,Im Winter
starter-bulbasaur,21,starter,0,Bulbasaur as starter,Bulbizarre en starter,
starter-squirtle,22,starter,0,Squirtle as starter,Carapuce en starter,
starter-charmander,23,starter,0,Charmander as starter,Salamèche en starter,
starter-chespin,24,starter,0,Chespin as starter,Marisson en starter,
starter-fennekin,25,starter,0,Fennekin as starter,Feunnec en starter,
starter-froakie,26,starter,0,Froakie as starter,Grenousse en starter,
tv-option-blue,27,tv-option,1,Chose ‘Blue’ on the TV news report,Choisi « bleu » à la télé,
tv-option-red,28,tv-option,0,Chose ‘Red’ on the TV news report,Choisi « rouge » à la télé,
story-progress-awakened-beasts,29,story-progress,0,Awakened the legendary beasts at Burned Tower,En ayant réveillé les légendaires à la Tour Cendrée,
story-progress-beat-galactic-coronet,30,story-progress,0,Visited Lake Verity after defeating Team Galactic at Mt. Coronet,En ayant visité le Lac Vérité après avoir vaincu la Team Galaxie au Mont Couronné,
story-progress-oak-eterna-city,31,story-progress,0,Talked to Professor Oak at Eterna City,Après avoir parlé au Prof. Chen à Vestigion,
story-progress-vermilion-copycat,32,story-progress,0,Visited the Pokémon Fan Club with Copycat’s doll,Après avoir visité le Fan Club Pokémon avec la poupée de Copieuse,
story-progress-met-tornadus-thundurus,33,story-progress,0,Met Tornadus or Thundurus in a cutscene,Après avoir rencontré Boréas ou Fulguris lors d’une cinématique,
story-progress-beat-elite-four-round-two,34,story-progress,0,Beat the Elite 4 for the second time,Après deux victoires sur le Conseil 4,
story-progress-hall-of-fame,35,story-progress,0,Enter the Hall of Fame,Après l’entrée au Panthéon,
story-progress-none,36,story-progress,1,None,Aucune,
story-progress-national-dex,37,story-progress,0,Acquired National Pokédex,En ayant le Pokédex National,
other-none,38,other,1,None,Aucune,
other-snorlax-11-beat-league,39,other,0,Beat the Pokémon league after knocking out Snorlax at Route 11,"Après avoir mis Ronflex KO sur la route 11, puis avoir battu la Ligue",
other-virtual-console,40,other,0,Playing on the Virtual Console Release,En jouant sur la version Virtual Console,
story-progress-cure-eldritch-nightmares,41,story-progress,0,Cure the nightmares of Eldritch’s Son,Après avoir soigné les cauchemars du fils d’Edern,
other-talk-to-cynthias-grandmother,42,other,0,Talk to Cynthia’s grandmother,Après avoir parlé à la grand-mère de Cynthia,
item-none,43,item,1,No item requirement,Sans objet particulier,
item-adamant-orb,44,item,0,Have Adamant Orb in bag,En ayant un Orbe Adamant dans le sac,
item-lustrous-orb,45,item,0,Have Lustrous Orb in bag,En ayant un Orbe Perlé dans le sac,
