identifier,name,description
ambush-ceiling,Ambush (Ceiling),"In {XY;GAME;x-y}, some caves have shadows on the ground. If you step on a shadow, a wild Pokémon will drop from the ceiling and attack."
ambush-chase,Ambush (Chase),"In {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, some areas have walls with holes. Occasionally, a {Wimpod;POKEMON;wimpod} will come out of one hole and move to another. If the player touches the Wimpod, it will attack."
ambush-dirt-cloud,Ambush (Dirt Cloud),"In {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, some locations have walls with holes that release dirt clouds. If the player touches a dirt cloud, a wild Pokémon will appear and attack."
ambush-rustling-bush,Ambush (Rustling Bush),"In {XY;GAME;x-y}, {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, some areas have shaking bushes. If the player gets close, a wild Pokémon will rush out and chase them to attack."
ambush-rustling-grass,Ambush (Rustling Grass),"In {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, some areas have shaking patches of tall grass. If the player gets close, a wild Pokémon will rush out and chase them to attack."
ambush-rustling-tree,Ambush (Rustling Tree),"In {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, certain areas have shaking trees. If the player approaches a shaking tree, a wild Pokémon will jump out and attack."
ambush-sand-cloud,Ambush (Sand Cloud),"In {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, small shadows can appear in the sand in certain locations. Touching a shadow will trigger a battle with a wild Pokémon."
ambush-shadow,Ambush (Shadow),"In {XY;GAME;x-y}, {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, some areas have shadows of flying Pokémon moving on the ground. If the player steps on one, a wild Pokémon will swoop down from the sky to attack."
ambush-shaking-trash-cans,Ambush (Shaking Trash Cans),"In {XY;GAME;x-y}, special trash cans sometimes shake, indicating they contain either an item or a wild Pokémon. Once a Pokémon or item is found, the trash can won’t shake again for the rest of the day. The contents are generated upon interaction, allowing players to soft reset for different outcomes."
ambush-water-splash,Ambush (Water Splash),"In {SM;GAME;sun-moon} and {USUM;GAME;ultra-sun-ultra-moon}, splashes can sometimes appear in the water while surfing. If the player gets close, the splash will chase them, and a wild Pokémon will attack."
