location_area,method,version,rate
1,old-rod,diamond,25
1,old-rod,pearl,25
1,old-rod,platinum,25
1,good-rod,diamond,50
1,good-rod,pearl,50
1,good-rod,platinum,50
1,super-rod,diamond,75
1,super-rod,pearl,75
1,super-rod,platinum,75
1,surf,diamond,10
1,surf,pearl,10
1,surf,platinum,10
2,old-rod,diamond,25
2,old-rod,pearl,25
2,old-rod,platinum,25
2,good-rod,diamond,50
2,good-rod,pearl,50
2,good-rod,platinum,50
2,super-rod,diamond,75
2,super-rod,pearl,75
2,super-rod,platinum,75
2,surf,diamond,10
2,surf,pearl,10
2,surf,platinum,10
3,old-rod,diamond,25
3,old-rod,pearl,25
3,old-rod,platinum,25
3,good-rod,diamond,50
3,good-rod,pearl,50
3,good-rod,platinum,50
3,super-rod,diamond,75
3,super-rod,pearl,75
3,super-rod,platinum,75
3,surf,diamond,10
3,surf,pearl,10
3,surf,platinum,10
4,old-rod,diamond,25
4,old-rod,pearl,25
4,old-rod,platinum,25
4,good-rod,diamond,50
4,good-rod,pearl,50
4,good-rod,platinum,50
4,super-rod,diamond,75
4,super-rod,pearl,75
4,super-rod,platinum,75
4,surf,diamond,10
4,surf,pearl,10
4,surf,platinum,10
5,old-rod,diamond,25
5,old-rod,pearl,25
5,old-rod,platinum,25
5,good-rod,diamond,50
5,good-rod,pearl,50
5,good-rod,platinum,50
5,super-rod,diamond,75
5,super-rod,pearl,75
5,super-rod,platinum,75
5,surf,diamond,10
5,surf,pearl,10
5,surf,platinum,10
6,walk,diamond,10
6,walk,pearl,10
6,walk,platinum,10
7,walk,diamond,10
7,walk,pearl,10
7,walk,platinum,10
8,walk,diamond,30
8,walk,pearl,30
8,walk,platinum,30
8,old-rod,diamond,25
8,old-rod,pearl,25
8,old-rod,platinum,25
8,good-rod,diamond,50
8,good-rod,pearl,50
8,good-rod,platinum,50
8,super-rod,diamond,75
8,super-rod,pearl,75
8,super-rod,platinum,75
8,surf,diamond,10
8,surf,pearl,10
8,surf,platinum,10
9,walk,diamond,30
9,walk,pearl,30
9,walk,platinum,30
10,walk,diamond,30
10,walk,pearl,30
10,walk,platinum,30
10,old-rod,diamond,25
10,old-rod,pearl,25
10,old-rod,platinum,25
10,good-rod,diamond,50
10,good-rod,pearl,50
10,good-rod,platinum,50
10,super-rod,diamond,75
10,super-rod,pearl,75
10,super-rod,platinum,75
10,surf,diamond,10
10,surf,pearl,10
10,surf,platinum,10
11,walk,diamond,10
11,walk,pearl,10
11,walk,platinum,10
11,old-rod,diamond,25
11,old-rod,pearl,25
11,old-rod,platinum,25
11,good-rod,diamond,50
11,good-rod,pearl,50
11,good-rod,platinum,50
11,super-rod,diamond,75
11,super-rod,pearl,75
11,super-rod,platinum,75
11,surf,diamond,10
11,surf,pearl,10
11,surf,platinum,10
12,walk,diamond,10
12,walk,pearl,10
12,walk,platinum,10
13,walk,diamond,10
13,walk,pearl,10
13,walk,platinum,10
14,walk,diamond,30
14,walk,pearl,30
14,walk,platinum,30
15,walk,diamond,30
15,walk,pearl,30
15,walk,platinum,30
16,walk,diamond,10
16,walk,pearl,10
16,walk,platinum,10
16,old-rod,diamond,25
16,old-rod,pearl,25
16,old-rod,platinum,25
16,good-rod,diamond,50
16,good-rod,pearl,50
16,good-rod,platinum,50
16,super-rod,diamond,75
16,super-rod,pearl,75
16,super-rod,platinum,75
16,surf,diamond,10
16,surf,pearl,10
16,surf,platinum,10
17,walk,diamond,15
17,walk,pearl,15
17,walk,platinum,15
18,walk,diamond,15
18,walk,pearl,15
18,walk,platinum,15
19,walk,diamond,15
19,walk,pearl,15
19,walk,platinum,15
20,walk,diamond,10
20,walk,pearl,10
20,walk,platinum,10
21,walk,diamond,10
21,walk,pearl,10
21,walk,platinum,10
22,walk,diamond,10
22,walk,pearl,10
22,walk,platinum,10
23,walk,diamond,10
23,walk,pearl,10
23,walk,platinum,10
23,old-rod,diamond,25
23,old-rod,pearl,25
23,old-rod,platinum,25
23,good-rod,diamond,50
23,good-rod,pearl,50
23,good-rod,platinum,50
23,super-rod,diamond,75
23,super-rod,pearl,75
23,super-rod,platinum,75
23,surf,diamond,10
23,surf,pearl,10
23,surf,platinum,10
24,walk,diamond,35
24,walk,pearl,35
24,walk,platinum,35
24,old-rod,diamond,25
24,old-rod,pearl,25
24,old-rod,platinum,25
24,good-rod,diamond,50
24,good-rod,pearl,50
24,good-rod,platinum,50
24,super-rod,diamond,75
24,super-rod,pearl,75
24,super-rod,platinum,75
24,surf,diamond,15
24,surf,pearl,15
24,surf,platinum,15
25,walk,diamond,35
25,walk,pearl,35
25,walk,platinum,35
25,old-rod,diamond,25
25,old-rod,pearl,25
25,old-rod,platinum,25
25,good-rod,diamond,50
25,good-rod,pearl,50
25,good-rod,platinum,50
25,super-rod,diamond,75
25,super-rod,pearl,75
25,super-rod,platinum,75
25,surf,diamond,15
25,surf,pearl,15
25,surf,platinum,15
26,walk,diamond,35
26,walk,pearl,35
26,walk,platinum,35
26,old-rod,diamond,25
26,old-rod,pearl,25
26,old-rod,platinum,25
26,good-rod,diamond,50
26,good-rod,pearl,50
26,good-rod,platinum,50
26,super-rod,diamond,75
