id,version_group,version,location_area,pokemon,method,slot,rarity,min_level,max_level,conditions,min_perfect_ivs,always_shiny,never_shiny,is_alpha
1,diamond-pearl,diamond,1,tentacool,surf,1,60,20,30,,,,,
2,diamond-pearl,diamond,1,wingull,surf,2,30,20,30,,,,,
3,diamond-pearl,diamond,1,tentacruel,surf,3,5,20,40,,,,,
4,diamond-pearl,diamond,1,pelipper,surf,4,4,20,40,,,,,
5,diamond-pearl,diamond,1,pelipper,surf,5,1,20,40,,,,,
6,diamond-pearl,diamond,1,magikarp,old-rod,1,60,4,6,,,,,
7,diamond-pearl,diamond,1,magikarp,old-rod,2,30,3,7,,,,,
8,diamond-pearl,diamond,1,magikarp,old-rod,3,5,5,10,,,,,
9,diamond-pearl,diamond,1,magikarp,old-rod,4,4,5,10,,,,,
10,diamond-pearl,diamond,1,magikarp,old-rod,5,1,5,10,,,,,
11,diamond-pearl,diamond,1,magikarp,good-rod,1,40,15,20,,,,,
12,diamond-pearl,diamond,1,finneon,good-rod,2,40,15,20,,,,,
13,diamond-pearl,diamond,1,magikarp,good-rod,3,15,10,25,,,,,
14,diamond-pearl,diamond,1,finneon,good-rod,4,4,10,25,,,,,
15,diamond-pearl,diamond,1,finneon,good-rod,5,1,10,25,,,,,
16,diamond-pearl,diamond,1,gyarados,super-rod,1,40,30,40,,,,,
17,diamond-pearl,diamond,1,lumineon,super-rod,2,40,30,40,,,,,
18,diamond-pearl,diamond,1,staryu,super-rod,3,15,20,40,,,,,
19,diamond-pearl,diamond,1,lumineon,super-rod,4,4,20,50,,,,,
20,diamond-pearl,diamond,1,lumineon,super-rod,5,1,20,50,,,,,
21,diamond-pearl,diamond,2,psyduck,surf,1,60,20,30,,,,,
22,diamond-pearl,diamond,2,psyduck,surf,2,30,20,40,,,,,
23,diamond-pearl,diamond,2,golduck,surf,3,5,30,40,,,,,
24,diamond-pearl,diamond,2,golduck,surf,4,4,30,40,,,,,
25,diamond-pearl,diamond,2,golduck,surf,5,1,20,40,,,,,
26,diamond-pearl,diamond,2,magikarp,old-rod,1,60,4,6,,,,,
27,diamond-pearl,diamond,2,magikarp,old-rod,2,30,3,7,,,,,
28,diamond-pearl,diamond,2,magikarp,old-rod,3,5,5,10,,,,,
29,diamond-pearl,diamond,2,magikarp,old-rod,4,4,5,10,,,,,
30,diamond-pearl,diamond,2,magikarp,old-rod,5,1,5,10,,,,,
31,diamond-pearl,diamond,2,magikarp,good-rod,1,40,15,20,,,,,
32,diamond-pearl,diamond,2,barboach,good-rod,2,40,15,20,,,,,
33,diamond-pearl,diamond,2,magikarp,good-rod,3,15,10,25,,,,,
34,diamond-pearl,diamond,2,barboach,good-rod,4,4,10,25,,,,,
35,diamond-pearl,diamond,2,barboach,good-rod,5,1,10,25,,,,,
36,diamond-pearl,diamond,2,gyarados,super-rod,1,40,30,40,,,,,
37,diamond-pearl,diamond,2,whiscash,super-rod,2,40,30,40,,,,,
38,diamond-pearl,diamond,2,gyarados,super-rod,3,15,40,55,,,,,
39,diamond-pearl,diamond,2,whiscash,super-rod,4,4,20,50,,,,,
40,diamond-pearl,diamond,2,whiscash,super-rod,5,1,20,50,,,,,
41,diamond-pearl,diamond,3,tentacool,surf,1,60,20,30,,,,,
42,diamond-pearl,diamond,3,wingull,surf,2,30,20,30,,,,,
43,diamond-pearl,diamond,3,tentacruel,surf,3,5,20,40,,,,,
44,diamond-pearl,diamond,3,pelipper,surf,4,4,20,40,,,,,
45,diamond-pearl,diamond,3,pelipper,surf,5,1,20,40,,,,,
46,diamond-pearl,diamond,3,magikarp,old-rod,1,60,4,6,,,,,
47,diamond-pearl,diamond,3,magikarp,old-rod,2,30,3,7,,,,,
48,diamond-pearl,diamond,3,magikarp,old-rod,3,5,5,10,,,,,
49,diamond-pearl,diamond,3,magikarp,old-rod,4,4,5,10,,,,,
50,diamond-pearl,diamond,3,magikarp,old-rod,5,1,5,10,,,,,
51,diamond-pearl,diamond,3,magikarp,good-rod,1,40,15,20,,,,,
52,diamond-pearl,diamond,3,remoraid,good-rod,2,40,15,20,,,,,
53,diamond-pearl,diamond,3,magikarp,good-rod,3,15,10,25,,,,,
54,diamond-pearl,diamond,3,remoraid,good-rod,4,4,10,25,,,,,
55,diamond-pearl,diamond,3,remoraid,good-rod,5,1,10,25,,,,,
56,diamond-pearl,diamond,3,gyarados,super-rod,1,40,30,40,,,,,
57,diamond-pearl,diamond,3,octillery,super-rod,2,40,30,40,,,,,
