pokemon,form,version_group,versions,location_area,method,levels,rate_overall,trade_for,note,rate_night,rate_morning,rate_day
abomasnow,abomasnow,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-mountainside,walking-tall-grass,40,20%,,,,,
abra,abra,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,oreburgh-city,npc-trade,9,one,machop,,,,
abra,abra,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-203-sinnoh,walking-tall-grass,4 - 5,15%,,,,,
abra,abra,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-215-sinnoh,walking-tall-grass,20,10%,,,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,16 - 63,20%,,,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,5%,,,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,5%,,Added after obtaining the National PokéDex,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,20%,,,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-213-sinnoh,swarm,20,40%,,,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,5%,,Added after obtaining the National PokéDex,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,5%,,Added after obtaining the National PokéDex,,,
absol,absol,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
