pokemon,form,version_group,versions,location_area,method,levels,during_any_time,while_weather_overall,boulder_required,alpha_levels,during_morning,during_day,during_evening,note,during_night,rate_overall,while_blizzard,while_clear,while_harsh_sunlight,while_cloudy
abomasnow,abomasnow,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,49 - 52,true,true,true,64 - 67,,,,,,,,,,
abomasnow,abomasnow,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,49 - 52,true,true,true,64 - 67,,,,,,,,,,
abomasnow,abomasnow,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,49 - 52,true,true,,64 - 67,,,,,,,,,,
abomasnow,abomasnow,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,,true,true,,68,,,,,,,,,,
abomasnow,abomasnow,legends-arceus,legends-arceus,glacier-terrace,symbol-encounter,49 - 52,true,true,,64 - 67,,,,,,,,,,
abomasnow,abomasnow,legends-arceus,legends-arceus,glacier-terrace,swarm,54 - 56,true,true,,69 - 71,,,,,,,,,,
abra,abra,legends-arceus,legends-arceus,lake-acuity-hisui,symbol-encounter,12 - 15,true,true,,27 - 30,,,,,,,,,,
abra,abra,legends-arceus,legends-arceus,sandgem-flats,symbol-encounter,12 - 15,true,true,,27 - 30,,,,,,,,,,
abra,abra,legends-arceus,legends-arceus,windswept-run,symbol-encounter,9 - 12,true,true,,24 - 27,,,,,,,,,,
abra,abra,legends-arceus,legends-arceus,windswept-run,swarm,13 - 15,true,true,,28 - 30,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,aipom-hill,symbol-encounter,29 - 36,true,true,,44 - 51,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,aipom-hill,shaking-trees,30 - 32,true,true,,45 - 47,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,aipom-hill,swarm,32 - 34,true,true,,47 - 49,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,47 - 50,true,true,true,62 - 65,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,"50 - 52, 59 - 62",true,true,,"65 - 67, 74 - 77",,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,43 - 46,true,true,true,58 - 61,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,45 - 48,,true,true,60 - 63,true,true,true,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,avaluggs-legacy,swarm,22 - 24,true,true,true,37 - 39,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,43 - 46,true,true,,58 - 61,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,glacier-terrace,symbol-encounter,49 - 52,true,true,,64 - 67,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,hearts-crag,symbol-encounter,"43 - 46, 53 - 56",true,true,,"58 - 61, 68 - 71",,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,hideaway-bay,symbol-encounter,41 - 44,true,true,,56 - 59,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,47 - 50,true,true,true,62 - 65,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,pearl-settlement,symbol-encounter,49 - 52,true,true,true,64 - 67,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,ramanas-island,symbol-encounter,24 - 27,true,true,,39 - 42,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,snowfall-hot-spring,symbol-encounter,47 - 50,true,true,,62 - 65,,,,,,,,,,
aipom,aipom,legends-arceus,legends-arceus,whiteout-valley,symbol-encounter,43 - 46,true,true,,58 - 61,,,,,,,,,,
alakazam,alakazam,legends-arceus,legends-arceus,crossing-slope,contact-space-time-distortion,30 - 58,true,true,,50 - 78,,,,,,,,,,
alakazam,alakazam,legends-arceus,legends-arceus,deadwood-haunt,contact-space-time-distortion,30 - 58,true,true,,50 - 78,,,,,,,,,,
alakazam,alakazam,legends-arceus,legends-arceus,ginkgo-landing,contact-space-time-distortion,30 - 58,true,true,,50 - 78,,,,,,,,,,
alakazam,alakazam,legends-arceus,legends-arceus,sandgem-flats,symbol-encounter,,true,true,,60,,,,,,,,,,
alakazam,alakazam,legends-arceus,legends-arceus,spring-path-hisui,contact-space-time-distortion,30 - 58,true,true,,50 - 78,,,,,,,,,,
alakazam,alakazam,legends-arceus,legends-arceus,windbreak-stand,contact-space-time-distortion,30 - 58,true,true,,50 - 78,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,aipom-hill,symbol-encounter,37 - 40,true,true,,52 - 55,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,aipom-hill,swarm,47 - 49,true,true,,62 - 64,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,ancient-quarry,contact-space-time-distortion,40 - 58,true,true,true,55 - 73,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,47 - 50,true,true,true,62 - 65,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,"50 - 52, 59 - 62",true,true,,"65 - 67, 74 - 77",,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,avalanche-slopes,swarm,52 - 54,true,true,,67 - 69,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,45 - 48,,true,true,60 - 63,true,true,true,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,bolderoll-ravine,contact-space-time-distortion,40 - 58,true,true,,55 - 73,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,celestica-ruins,contact-space-time-distortion,40 - 58,true,true,,55 - 73,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,celestica-trail,contact-space-time-distortion,40 - 58,true,true,,55 - 73,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,hearts-crag,symbol-encounter,53 - 56,true,true,,68 - 71,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,hideaway-bay,symbol-encounter,,true,true,true,50,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,47 - 50,true,true,true,62 - 65,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,sacred-plaza,contact-space-time-distortion,40 - 58,true,true,,55 - 73,,,,,,,,,,
ambipom,ambipom,legends-arceus,legends-arceus,stonetooth-rows,contact-space-time-distortion,40 - 58,true,true,,55 - 73,,,,,,,,,,
arceus,arceus-normal,legends-arceus,legends-arceus,hall-of-origin,special-encounter,75,true,true,,,,,,"Can be caught while under the effects of the {Legend Plate;ITEM;legend-plate} during Mission 27: ""The Deified Pokémon"". Unlocked after completing Mission 26: ""Seeking the Remaining Plates"". Never Shiny",,,,,,
