id,version_group,version,location_area,pokemon,method,slot,rarity,min_level,max_level,conditions,min_perfect_ivs,always_shiny,never_shiny,is_alpha
70930,colosseum,colosseum,1232,espeon,gift,,100,25,25,,,,,
70931,colosseum,colosseum,1232,umbreon,gift,,100,26,26,,,,,
70932,colosseum,colosseum,1233,makuhita,snag,,100,30,30,,,,,
70933,colosseum,colosseum,1234,bayleef,snag-rematch,,100,30,30,,,,,
70934,colosseum,colosseum,1235,bayleef,snag-rematch,,100,30,30,,,,,
70935,colosseum,colosseum,1236,bayleef,snag,,100,30,30,,,,,
70936,colosseum,colosseum,1234,quilava,snag-rematch,,100,30,30,,,,,
70937,colosseum,colosseum,1235,quilava,snag-rematch,,100,30,30,,,,,
70938,colosseum,colosseum,1237,quilava,snag,,100,30,30,,,,,
70939,colosseum,colosseum,1234,croconaw,snag-rematch,,100,30,30,,,,,
70940,colosseum,colosseum,1235,croconaw,snag-rematch,,100,30,30,,,,,
70941,colosseum,colosseum,1238,croconaw,snag,,100,30,30,,,,,
70942,colosseum,colosseum,1239,misdreavus,snag,,100,30,30,,,,,
70943,colosseum,colosseum,1239,slugma,snag,,100,30,30,,,,,
70944,colosseum,colosseum,1239,noctowl,snag,,100,30,30,,,,,
70945,colosseum,colosseum,1239,flaaffy,snag,,100,30,30,,,,,
70946,colosseum,colosseum,1239,skiploom,snag,,100,30,30,,,,,
70947,colosseum,colosseum,1239,quagsire,snag,,100,30,30,,,,,
70948,colosseum,colosseum,1240,furret,snag,,100,33,33,,,,,
70949,colosseum,colosseum,1234,yanma,snag-rematch,,100,33,33,,,,,
70950,colosseum,colosseum,1241,yanma,snag,,100,33,33,,,,,
70951,colosseum,colosseum,1242,remoraid,snag-rematch,,100,20,20,,,,,
70952,colosseum,colosseum,1243,remoraid,snag,,100,20,20,,,,,
70953,colosseum,colosseum,1242,mantine,snag-rematch,,100,33,33,,,,,
70954,colosseum,colosseum,1243,mantine,snag,,100,33,33,,,,,
70955,colosseum,colosseum,1244,qwilfish,snag,,100,33,33,,,,,
70956,colosseum,colosseum,1245,dunsparce,snag,,100,33,33,,,,,
70957,colosseum,colosseum,1246,meditite,snag,,100,33,33,,,,,
70958,colosseum,colosseum,1247,swablu,snag,,100,33,33,,,,,
70959,colosseum,colosseum,1248,sudowoodo,snag-rematch,,100,35,35,,,,,
70960,colosseum,colosseum,1242,sudowoodo,snag,,100,35,35,,,,,
70961,colosseum,colosseum,1250,plusle,gift,,100,13,13,,,,,
70962,colosseum,colosseum,1234,hitmontop,snag-rematch,,100,38,38,,,,,
70963,colosseum,colosseum,1251,hitmontop,snag-rematch,,100,38,38,,,,,
70964,colosseum,colosseum,1252,hitmontop,snag,,100,38,38,,,,,
70965,colosseum,colosseum,1248,entei,snag-rematch,,100,40,40,,,,,
70966,colosseum,colosseum,1260,entei,snag-rematch,,100,40,40,,,,,
70967,colosseum,colosseum,1254,entei,snag,,100,40,40,,,,,
70968,colosseum,colosseum,1234,ledian,snag-rematch,,100,40,40,,,,,
70969,colosseum,colosseum,1255,ledian,snag,,100,40,40,,,,,
70970,colosseum,colosseum,1248,suicune,snag-rematch,,100,40,40,,,,,
70971,colosseum,colosseum,1260,suicune,snag-rematch,,100,40,40,,,,,
70972,colosseum,colosseum,1256,suicune,snag,,100,40,40,,,,,
70973,colosseum,colosseum,1234,gligar,snag-rematch,,100,43,43,,,,,
70974,colosseum,colosseum,1257,gligar,snag,,100,43,43,,,,,
70975,colosseum,colosseum,1234,sneasel,snag-rematch,,100,43,43,,,,,
70976,colosseum,colosseum,1257,sneasel,snag,,100,43,43,,,,,
70977,colosseum,colosseum,1234,piloswine,snag-rematch,,100,43,43,,,,,
70978,colosseum,colosseum,1257,piloswine,snag,,100,43,43,,,,,
70979,colosseum,colosseum,1234,stantler,snag-rematch,,100,43,43,,,,,
70980,colosseum,colosseum,1257,stantler,snag,,100,43,43,,,,,
70981,colosseum,colosseum,1235,ariados,snag,,100,43,43,,,,,
70982,colosseum,colosseum,1251,aipom,snag,,100,43,43,,,,,
70983,colosseum,colosseum,1251,murkrow,snag,,100,43,43,,,,,
70984,colosseum,colosseum,1235,forretress,snag,,100,43,43,,,,,
70985,colosseum,colosseum,1235,granbull,snag,,100,43,43,,,,,
70986,colosseum,colosseum,1251,vibrava,snag,,100,43,43,,,,,
70987,colosseum,colosseum,1248,raikou,snag-rematch,,100,40,40,,,,,
70988,colosseum,colosseum,1260,raikou,snag-rematch,,100,40,40,,,,,
70989,colosseum,colosseum,1235,raikou,snag,,100,40,40,,,,,
70990,colosseum,colosseum,1234,sunflora,snag-rematch,,100,45,45,,,,,
70991,colosseum,colosseum,1248,sunflora,snag,,100,45,45,,,,,
70992,colosseum,colosseum,1234,delibird,snag-rematch,,100,45,45,,,,,
70993,colosseum,colosseum,1248,delibird,snag,,100,45,45,,,,,
70994,colosseum,colosseum,1234,heracross,snag-rematch,,100,45,45,,,,,
70995,colosseum,colosseum,1248,heracross,snag,,100,45,45,,,,,
70996,colosseum,colosseum,1258,skarmory,snag-rematch,,100,47,47,,,,,
70997,colosseum,colosseum,1248,skarmory,snag,,100,47,47,,,,,
70998,colosseum,colosseum,1259,miltank,snag,,100,48,48,,,,,
70999,colosseum,colosseum,1259,absol,snag,,100,48,48,,,,,
71000,colosseum,colosseum,1259,houndoom,snag,,100,48,48,,,,,
71001,colosseum,colosseum,1259,tropius,snag,,100,49,49,,,,,
71002,colosseum,colosseum,1259,metagross,snag,,100,50,50,,,,,
71003,colosseum,colosseum,1259,tyranitar,snag,,100,55,55,,,,,
71004,colosseum,colosseum,1258,smeargle,snag,,100,45,45,,,,,
71005,colosseum,colosseum,1258,ursaring,snag,,100,45,45,,,,,
71006,colosseum,colosseum,1260,shuckle,snag,,100,45,45,,,,,
71007,colosseum,colosseum,1232,togetic,snag,,100,20,20,,,,,
71008,colosseum,colosseum,1261,ho-oh,gift,,100,70,70,other-complete-mt-battle;story-progress-catch-all-shadow-pokemon,,,,
71009,colosseum,colosseum,1262,togepi,snag,,100,20,20,,,,,
71010,colosseum,colosseum,1262,mareep,snag,,100,37,37,,,,,
71011,colosseum,colosseum,1262,scizor,snag,,100,50,50,,,,,
71012,colosseum,colosseum,1260,sudowoodo,snag-rematch,,100,35,35,,,,,
71013,xd,xd,1263,eevee,gift,,100,10,10,,,,,
71014,xd,xd,1264,teddiursa,snag,,100,11,11,,,,,
71015,xd,xd,1265,ledyba,snag,,100,10,10,,,,,
71016,xd,xd,1266,poochyena,snag,,100,10,10,,,,,
71017,xd,xd,1267,houndour,snag,,100,17,17,,,,,
71018,xd,xd,1267,baltoy,snag,,100,17,17,,,,,
71019,xd,xd,1267,spheal,snag,,100,17,17,,,,,
71020,xd,xd,1267,mareep,snag,,100,17,17,,,,,
71021,xd,xd,1267,gulpin,snag,,100,17,17,,,,,
71022,xd,xd,1267,seedot,snag,,100,17,17,,,,,
71023,xd,xd,1268,spinarak,snag,,100,14,14,,,,,
71024,xd,xd,1269,numel,snag,,100,14,14,,,,,
71025,xd,xd,1269,shroomish,snag,,100,15,15,,,,,
71026,xd,xd,1269,carvanha,snag,,100,15,15,,,,,
71027,xd,xd,1269,delcatty,snag,,100,18,18,,,,,
71028,xd,xd,1270,voltorb,snag,,100,19,19,,,,,
71029,xd,xd,1271,makuhita,snag,,100,18,18,,,,,
71030,xd,xd,1271,vulpix,snag,,100,18,18,,,,,
71031,xd,xd,1272,duskull,snag,,100,19,19,,,,,
71032,xd,xd,1273,ralts,snag,,100,20,20,,,,,
71033,xd,xd,1274,mawile,snag,,100,22,22,,,,,
71034,xd,xd,1233,snorunt,snag,,100,20,20,,,,,
71035,xd,xd,1233,pineco,snag,,100,20,20,,,,,
71036,xd,xd,1275,natu,snag,,100,22,22,,,,,
71037,xd,xd,1275,roselia,snag,,100,22,22,,,,,
71038,xd,xd,1275,meowth,snag,,100,22,22,,,,,
71039,xd,xd,1299,swinub,snag,,100,22,22,,,,,
71040,xd,xd,1249,spearow,snag,,100,22,22,,,,,
71041,xd,xd,1249,grimer,snag,,100,23,23,,,,,
71042,xd,xd,1249,seel,snag,,100,23,23,,,,,
71043,xd,xd,1249,lunatone,snag,,100,25,25,,,,,
71044,xd,xd,1298,nosepass,snag,,100,26,26,,,,,
71045,xd,xd,1276,zangoose,snag,,100,28,28,,,,,
71046,xd,xd,1277,paras,snag,,100,28,28,,,,,
71047,xd,xd,1277,growlithe,snag,,100,28,28,,,,,
71048,xd,xd,1278,shellder,snag,,100,29,29,,,,,
71049,xd,xd,1279,beedrill,snag,,100,30,30,,,,,
71050,xd,xd,1279,pidgeotto,snag,,100,30,30,,,,,
71051,xd,xd,1280,tangela,snag,,100,30,30,,,,,
71052,xd,xd,1280,butterfree,snag,,100,30,30,,,,,
71053,xd,xd,1280,magneton,snag,,100,30,30,,,,,
71054,xd,xd,1281,venomoth,snag,,100,32,32,,,,,
71055,xd,xd,1281,weepinbell,snag,,100,32,32,,,,,
71056,xd,xd,1281,arbok,snag,,100,33,33,,,,,
71057,xd,xd,1282,primeape,snag,,100,34,34,,,,,
71058,xd,xd,1282,hypno,snag,,100,34,34,,,,,
71059,xd,xd,1283,golduck,snag,,100,33,33,,,,,
71060,xd,xd,1283,sableye,snag,,100,33,33,,,,,
71061,xd,xd,1284,raticate,snag,,100,34,34,,,,,
71062,xd,xd,1284,dodrio,snag,,100,34,34,,,,,
71063,xd,xd,1284,farfetchd,snag,,100,36,36,,,,,
71064,xd,xd,1284,altaria,snag,,100,36,36,,,,,
71065,xd,xd,1285,kangaskhan,snag,,100,36,36,,,,,
71066,xd,xd,1285,banette,snag,,100,37,37,,,,,
71067,xd,xd,1286,magmar,snag,,100,36,36,,,,,
71068,xd,xd,1286,pinsir,snag,,100,35,35,,,,,
71069,xd,xd,1287,magcargo,snag,,100,38,38,,,,,
71070,xd,xd,1287,rapidash,snag,,100,40,40,,,,,
71071,xd,xd,1287,hitmonlee,snag,,100,38,38,,,,,
71072,xd,xd,1287,hitmonchan,snag,,100,38,38,,,,,
71073,xd,xd,1288,lickitung,snag,,100,38,38,,,,,
71074,xd,xd,1288,scyther,snag,,100,40,40,,,,,
71075,xd,xd,1288,chansey,snag,,100,39,39,,,,,
71076,xd,xd,1289,solrock,snag,,100,41,41,,,,,
71077,xd,xd,1289,starmie,snag,,100,41,41,,,,,
71078,xd,xd,1289,electabuzz,snag,,100,43,43,,,,,
71079,xd,xd,1289,swellow,snag,,100,43,43,,,,,
71080,xd,xd,1289,snorlax,snag,,100,43,43,,,,,
71081,xd,xd,1289,poliwrath,snag,,100,42,42,,,,,
71082,xd,xd,1289,mr-mime,snag,,100,42,42,,,,,
71083,xd,xd,1290,dugtrio,snag,,100,40,40,,,,,
71084,xd,xd,1291,manectric,snag,,100,44,44,,,,,
71085,xd,xd,1291,salamence,snag,,100,50,50,,,,,
71086,xd,xd,1291,marowak,snag,,100,44,44,,,,,
71087,xd,xd,1291,lapras,snag,,100,44,44,,,,,
71088,xd,xd,1292,lugia,snag,,100,50,50,,,,,
71089,xd,xd,1292,articuno,snag,,100,50,50,,,,,
71090,xd,xd,1292,zapdos,snag,,100,50,50,,,,,
71091,xd,xd,1292,moltres,snag,,100,50,50,,,,,
71092,xd,xd,1292,tauros,snag,,100,46,46,,,,,
71093,xd,xd,1292,rhydon,snag,,100,46,46,,,,,
71094,xd,xd,1292,exeggutor,snag,,100,46,46,,,,,
71095,xd,xd,1266,dragonite,snag,,100,55,55,story-progress-catch-all-shadow-pokemon,,,,
71096,xd,xd,1294,sandshrew,pokespot,1,50,10,23,,,,,
71097,xd,xd,1294,gligar,pokespot,2,35,10,20,,,,,
71098,xd,xd,1294,trapinch,pokespot,3,15,10,20,,,,,
71099,xd,xd,1295,hoppip,pokespot,1,50,10,20,,,,,
