pokemon,form,version_group,versions,location_area,method,levels,on_terrain_land,probability_overall,group_rate,group_pokemon,hidden_ability_possible,tera_raid_star_level,lvl_after_way_home,on_terrain_watersurface,on_terrain_underwater,on_terrain_overland,on_terrain_sky,note,probability_morning,probability_day,probability_evening,probability_night,trade_for
abomasnow,abomasnow,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-snowfield,symbol-encounter,40 - 41,true,20,100%,snover,,,,,,,,,,,,,
abomasnow,abomasnow,scarlet-violet,scarlet;violet,polar-biome-mountain-snowfield,symbol-encounter,62 - 71,true,120,,,,,,,,,,,,,,,
abomasnow,abomasnow,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,fellhorn-gorge-prairie,symbol-encounter,27 - 34,true,250,,,,,,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,revelers-road-prairie,symbol-encounter,13 - 17,true,300,,,,,57 - 61,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,revelers-road-bamboo-forest,symbol-encounter,13 - 17,true,100,,,,,57 - 61,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,wistful-fields-prairie,symbol-encounter,18 - 21,true,300,,,,,60 - 63,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,wistful-fields-wisteria-pond-prairie,symbol-encounter,27 - 34,true,300,,,,,65 - 72,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,wistful-fields-patchy-field-prairie,symbol-encounter,27 - 30,true,300,,,,,56 - 59,,,,,,,,,,
aipom,aipom,scarlet-violet,violet,random-around-kitakami,tera-raid-battle,35,,,,,true,3,,,,,,,,,,,
alcremie,alcremie-vanilla-cream-strawberry-sweet,scarlet-violet,scarlet;violet,random-around-terrarium,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
alcremie,alcremie-vanilla-cream-strawberry-sweet,scarlet-violet,scarlet;violet,random-around-terrarium,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,canyon-biome-riverside,symbol-encounter,59 - 70,,150,30%,alomomola,,,,true,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,canyon-biome-craggy-cliffs-riverside,symbol-encounter,59 - 70,,150,30%,alomomola,,,,true,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,canyon-biome-nature-preserve-riverside,symbol-encounter,59 - 70,,150,30%,alomomola,,,,true,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,coastal-biome-torchlit-mountain-riverside,symbol-encounter,58 - 68,,150,30%,alomomola,,,,true,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,north-paldean-sea-ocean,symbol-encounter,38 - 50,,20,,,,,,,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,north-province-area-one-ocean,symbol-encounter,50,,20,,,,,,,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,north-province-area-three-ocean,symbol-encounter,43 - 50,,20,,,,,,,true,,,,,,,,
alomomola,alomomola,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,area-zero-upper-field-riverside,symbol-encounter,52 - 60,true,30,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,area-zero-lower-field-riverside,symbol-encounter,55 - 59,true,30,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,canyon-biome-nature-preserve-prairie,symbol-encounter,59 - 70,true,140,,,,,,,,true,true,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,casseroya-lake-lake,symbol-encounter,49 - 55,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,casseroya-lake,fixed-encounter,,,,,,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,glaseado-mountain-southern-mountain-mountain,symbol-encounter,40 - 42,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,glaseado-mountain-northern-mountain-mountain,symbol-encounter,40 - 41,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,north-province-area-one-mountain,symbol-encounter,46 - 53,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,north-province-area-one-lake,symbol-encounter,47 - 53,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,north-province-area-two-lake,symbol-encounter,49 - 52,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,south-province-area-six-mountain,symbol-encounter,40 - 43,true,20,100%,swablu,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,west-province-area-one,static-encounter,,,,,,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,west-province-area-three,static-encounter,,,,,,,,,,,,,,,,,,
altaria,altaria,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
ambipom,ambipom,scarlet-violet,violet,random-around-kitakami,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
ambipom,ambipom,scarlet-violet,violet,random-around-kitakami,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
amoonguss,amoonguss,scarlet-violet,scarlet;violet,north-province-area-one-bamboo-forest,symbol-encounter,51 - 52,true,15,100%,foongus,,,,,,,,,,,,,
amoonguss,amoonguss,scarlet-violet,scarlet;violet,socarrat-trail-forest,symbol-encounter,53 - 56,true,30,100%,foongus,,,,,,,,,,,,,
amoonguss,amoonguss,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
amoonguss,amoonguss,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
ampharos,ampharos,scarlet-violet,scarlet;violet,glaseado-mountain-southern-mountain-mountain,symbol-encounter,42,true,10,100%,mareep,,,,,,,,,,,,,
ampharos,ampharos,scarlet-violet,scarlet;violet,north-province-area-one-mountain,symbol-encounter,46 - 53,true,10,100%,mareep,,,,,,,,,,,,,
ampharos,ampharos,scarlet-violet,scarlet;violet,south-province-area-six-mountain,symbol-encounter,42 - 43,true,10,100%,mareep,,,,,,,,,,,,,
ampharos,ampharos,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
annihilape,annihilape,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
annihilape,annihilape,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
appletun,appletun,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
applin,applin,scarlet-violet,scarlet;violet,apple-hills-prairie,symbol-encounter,7 - 15,true,1000,20%,applin,,,52 - 60,,,,,Only in the orchard area,,,,,
applin,applin,scarlet-violet,scarlet;violet,east-province-area-one-forest,symbol-encounter,17 - 23,true,10,,,,,,,,,,Only spawns in trees,,,,,
applin,applin,scarlet-violet,scarlet;violet,east-province-area-two-forest,symbol-encounter,19 - 23,true,10,,,,,,,,,,Only spawns in trees,,,,,
applin,applin,scarlet-violet,scarlet;violet,south-province-area-four-forest,symbol-encounter,18 - 22,true,10,,,,,,,,,,,,,,,
applin,applin,scarlet-violet,scarlet;violet,south-province-area-two-forest,symbol-encounter,10,true,10,,,,,,,,,,Only spawns on trees,,,,,
applin,applin,scarlet-violet,scarlet;violet,tagtree-thicket-forest,symbol-encounter,25 - 32,true,10,,,,,,,,,,Only spawns on trees,,,,,
applin,applin,scarlet-violet,scarlet;violet,west-province-area-three-forest,symbol-encounter,28 - 35,true,10,,,,,,,,,,Only spawns on trees,,,,,
applin,applin,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,12,,,,,,1,,,,,,,,,,,
applin,applin,scarlet-violet,scarlet;violet,random-around-kitakami,tera-raid-battle,20,,,,,,2,,,,,,,,,,,
applin,applin,scarlet-violet,scarlet;violet,random-around-kitakami,tera-raid-battle,35,,,,,true,3,,,,,,,,,,,
araquanid,araquanid,scarlet-violet,scarlet;violet,coastal-biome-torchlit-mountain-prairie,symbol-encounter,58 - 68,true,50,,,,,,true,,,,,,,,,
araquanid,araquanid,scarlet-violet,scarlet;violet,coastal-biome-torchlit-mountain-riverside,symbol-encounter,58 - 68,true,50,,,,,,true,,,,,,,,,
araquanid,araquanid,scarlet-violet,scarlet;violet,coastal-biome-torchlit-mountain-rocky-area,symbol-encounter,58 - 68,true,50,,,,,,true,,,,,,,,,
araquanid,araquanid,scarlet-violet,scarlet;violet,random-around-terrarium,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
arbok,arbok,scarlet-violet,scarlet;violet,mossfell-confluence-prairie,symbol-encounter,22 - 25,true,30,,,,,,,,,,,,,,,
arbok,arbok,scarlet-violet,scarlet;violet,mossfell-confluence-rocky-area,symbol-encounter,22 - 25,true,30,,,,,,,,,,,,,,,
arboliva,arboliva,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
arcanine,arcanine,scarlet-violet,scarlet;violet,north-province-area-two-rocky-area,symbol-encounter,49 - 52,true,2,100%,growlithe,,,,,,,,,,,,,
arcanine,arcanine,scarlet-violet,scarlet;violet,north-province-area-one-bamboo-forest,symbol-encounter,49 - 52,true,2,100%,growlithe,,,,,,,,,,,,,
arcanine,arcanine,scarlet-violet,scarlet;violet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
arctibax,arctibax,scarlet-violet,scarlet;violet,glaseado-mountain,fixed-encounter,49,,,,,,,,,,,,,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,kitakami-wilds-prairie,symbol-encounter,"30 - 39, 50 - 53",true,80,30%,spinarak,,,,,,,,,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,kitakami-wilds-rocky-area,symbol-encounter,"30 - 39, 50 - 53",true,40,30%,spinarak,,,,,,,,,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,mossfell-confluence-prairie,symbol-encounter,22 - 25,true,80,30%,spinarak,,,,,,,,,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,mossfell-confluence-rocky-area,symbol-encounter,22 - 25,true,40,30%,spinarak,,,,,,,,,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,timeless-woods,special-encounter,65,,one,,,,,,,,,,After registering at least 150 Pokémon in the Kitakami Pokédex. Never Shiny,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,random-around-kitakami,tera-raid-battle,35,,,,,true,3,,,,,,,,,,,
ariados,ariados,scarlet-violet,scarlet;violet,random-around-kitakami,tera-raid-battle,45,,,,,true,4,,,,,,,,,,,
armarouge,armarouge,scarlet-violet,scarlet,random-around-paldea,tera-raid-battle,75,,,,,true,5,,,,,,,,,,,
armarouge,armarouge,scarlet-violet,scarlet,random-around-paldea,tera-raid-battle,90,,,,,true,6,,,,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,chilling-waterhead-cave-water,symbol-encounter,24 - 34,true,400,,,,,62 - 72,true,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,crystal-pool-lake,symbol-encounter,25 - 33,,300,,,,,63 - 74,true,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-paldean-sea-ocean,symbol-encounter,14 - 30,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-province-area-one-riverside,symbol-encounter,18 - 23,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-province-area-one-ocean,symbol-encounter,18 - 23,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-province-area-three-riverside,symbol-encounter,23 - 29,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-province-area-three-ocean,symbol-encounter,22 - 26,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-province-area-two-riverside,symbol-encounter,19 - 23,,40,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,east-province-area-two-ocean,symbol-encounter,19 - 24,,60,,,,,,,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,fellhorn-gorge-lake,symbol-encounter,27 - 34,,300,,,,,,true,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,fellhorn-gorge-riverside,symbol-encounter,27 - 34,,300,,,,,,true,true,,,,,,,,
arrokuda,arrokuda,scarlet-violet,scarlet;violet,onis-maw-riverside,symbol-encounter,20 - 23,,300,,,,,58 - 61,true,true,,,,,,,,
