item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
ability-capsule,x-y,,exchange,,battle-maison,Battle Maison (200 BP),1,0,1,,,,,,,,bulbapedia
ability-capsule,omega-ruby-alpha-sapphire,,exchange,,battle-maison,Battle Maison (200 BP),1,0,1,,,,,,,,bulbapedia
ability-capsule,omega-ruby-alpha-sapphire,,overworld,,battle-maison,Battle Maison (1% chance after a rematch with Wally),1,0,0,,1,,,,,,bulbapedia
ability-capsule,sun-moon,,exchange,,battle-royal-dome,"Battle Royal Dome (100 BP), Battle Tree (win streak of 50) (SM)",1,0,1,,,,,,,,bulbapedia
ability-capsule,ultra-sun-ultra-moon,,exchange,,battle-royal-dome,"Battle Royal Dome (100 BP), Battle Tree (win streak of 50) (SM)",1,0,1,,,,,,,,bulbapedia
ability-capsule,sword-shield,,exchange,,,Battle Tower (50 BP),1,0,1,,,,,,,,bulbapedia
ability-capsule,the-isle-of-armor,,crafting,cram-o-matic,,"Cram-o-matic (Rare Candy in slots #1, #3 and #4)",1,0,1,,,,,,,,bulbapedia
ability-capsule,the-crown-tundra,,max-lair,,max-lair,Max Lair (Dynite Ore trader),1,0,1,,,,,,,,bulbapedia
ability-capsule,brilliant-diamond-shining-pearl,,exchange,,,Battle Park (50 BP),1,0,1,,,,,,,,bulbapedia
ability-capsule,scarlet-violet,,event,,,Event,0,0,1,,,,,,,,bulbapedia
ability-capsule,scarlet-violet,,tera-raid,,,"Tera Raid Battles (5★, 6★, 7★)",1,0,1,,,,,,,,bulbapedia
ability-capsule,scarlet-violet,,overworld,,,Chansey Supply,1,0,1,,,,,,after completing the main storyline,,bulbapedia
ability-capsule,the-indigo-disk,,npc-gift,,,Reward for registering 90 Pokémon in the Blueberry Pokédex,0,0,1,,,,,,,,bulbapedia
ability-capsule,the-indigo-disk,,item-printer,item-printer,,Item Printer,1,0,1,,,,,,,,bulbapedia
ability-patch,brilliant-diamond-shining-pearl,brilliant-diamond,exchange,,battle-park-sinnoh,,1,0,1,,,200,battle-point,,,,pokedb
ability-patch,scarlet-violet,scarlet,tera-raid,tera-raid-6star,,,1,0,0,,,,,,,,pokedb
ability-patch,sword-shield,shield,max-lair,dynite-ore-trader,,,1,0,1,,,,dynite-ore,,,,pokedb
ability-patch,brilliant-diamond-shining-pearl,shining-pearl,exchange,,battle-park-sinnoh,,1,0,1,,,200,battle-point,,,,pokedb
ability-patch,sword-shield,sword,max-lair,reward,,After catching and keeping Necrozma from a Dynamax Adventure,0,0,1,,,,,,,,pokedb
ability-patch,scarlet-violet,violet,tera-raid,tera-raid-7star,,,1,0,0,,,,,,,,pokedb
ability-shield,scarlet-violet,scarlet,shop,specialty-shop,mesagoza,Delibird Presents (Mesagoza Branch),1,0,1,,,20000,poke-dollar,,,,pokedb
ability-shield,scarlet-violet,violet,shop,specialty-shop,mesagoza,Delibird Presents (Mesagoza Branch),1,0,1,,,20000,poke-dollar,,,,pokedb
