item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
ultra-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
great-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
safari-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
net-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
dive-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
nest-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
repeat-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
timer-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
luxury-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
premier-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
dusk-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
heal-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
quick-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
rare-candy,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones,1,0,1,,,,,,requires Item Power: Candies to be found outside Bonus Balls,,bulbapedia
big-pearl,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Treasure,1,0,1,,,,,,,,bulbapedia
nugget,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Treasure,1,0,1,,,,,,,,bulbapedia
up-grade,mega-dimension,,overworld,,,Destroy Floating Poké Balls in hyperspace wild zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
dubious-disc,mega-dimension,,overworld,,,Destroy Floating Poké Balls in hyperspace wild zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
lure-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
level-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
moon-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
heavy-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
fast-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
friend-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
love-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
sport-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
prism-scale,mega-dimension,,overworld,,,Destroy Floating Poké Balls in 4 Star and 5 Star hyperspace wild zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
dream-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
big-nugget,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Treasure,1,0,1,,,,,,,,bulbapedia
pearl-string,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Treasure,1,0,1,,,,,,,,bulbapedia
bottle-cap,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 3 Star and higher Hyperspace Zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
gold-bottle-cap,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
beast-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
galarica-cuff,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 2 Star or higher Hyperspace Zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
galarica-wreath,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 2 Star or higher Hyperspace Zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
malicious-armor,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
auspicious-armor,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 5 Star Hyperspace Zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
lagreat-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
laultra-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
laheavy-ball,mega-dimension,,overworld,,,Destroy Floating Poké Ball in 4 Star and 5 Star Hyperspace Zones with Item Power: Poké Balls,1,0,1,,,,,,,,bulbapedia
black-augurite,mega-dimension,,overworld,,,Destroy Floating Poké Balls in 4 Star and 5 Star hyperspace wild zones with Item Power: Special,1,0,1,,,,,,,,bulbapedia
