item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
abomasite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
absolite,legends-za,,overworld,visible,,Jaune Sector 6,0,0,1,,,,,,"after defeating the Rogue Mega Absol during Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
absolite-z,legends-za,legends-za,story,,,"Hyperspace Mission 01: ""Hyperspace Lumiose Survey No. 1""",0,0,1,,,,,,Obtained upon defeating and catching the Rogue Mega Absol Z,,pokedb
aerodactylite,legends-za,,overworld,visible,,Quasartico Inc. (240 Mega Shards),0,0,1,,,,,,,,bulbapedia
altarianite,legends-za,,overworld,visible,,Magenta Sector 4,0,0,1,,,,,,"after defeating the Rogue Mega Altaria during Main Mission 28: ""A Rogue Mega Altaria""",,bulbapedia
amazing-butter,legends-za,legends-za,story,,hyperspace-sushi-paradise,"After defeating the Rogue Mega Tatsugiri during Hyperspace Mission 06: ""Hyperspace Lumiose Survey No. 2""",0,0,1,,,,,,,,pokedb
ampharosite,legends-za,,overworld,visible,,Rouge Sector 6,0,0,1,,,,,,"after defeating the Rogue Mega Ampharos during Main Mission 23: ""A Rogue Mega Ampharos""",,bulbapedia
arboliva-oil,legends-za,legends-za,story,,hotel-z,"Obtained from Corbeau during Hyperspace Mission 12: ""The Greatest Gift""",0,0,1,,,,,,,,pokedb
audinite,legends-za,,overworld,visible,,Quasartico Inc. (180 Mega Shards),0,0,1,,,,,,,,bulbapedia
auspicious-armor,mega-dimension,,request,,,"Given by Adver in Side Mission 132: ""Bitter Blue Flames vs. Blazing Crimson""",0,0,1,,,,,,if chosen over Malicious Armor,,bulbapedia
autographed-plush,legends-za,legends-za,npc-gift,,racine-construction,"Obtained during Main Mission 14: ""Reaching Rank E"" from Canari",0,0,1,,,,,,After battling and defeating Canari in the Z-A Royale,,pokedb
banettite,legends-za,,overworld,visible,,Jaune Sector 9,0,0,1,,,,,,"after defeating the Rogue Mega Banette during Main Mission 18: ""A Rogue Mega Banette""",,bulbapedia
barbaracite,legends-za,legends-za,npc-defeat,,,"Rogue Mega Barbaracle (Main Mission 22: ""A Rogue Mega Barbaracle"")",0,0,1,,,,,,During Main Mission 22,,pokedb
baxcalibrite,legends-za,legends-za,tournament,,,Ranked Battles Season 4,0,0,1,,,,,,"Reach Rank S in Ranked Battles Season 4 (December 18, 2025 – January 8, 2026)",,pokedb
beedrillite,legends-za,,overworld,visible,,Vert Sector 5,0,0,1,,,,,,"after defeating the Rogue Mega Beedrill during Main Mission 16: ""A Rogue Mega Beedrill""",,bulbapedia
black-augurite,legends-za,legends-za,dropped,,hyperspace-zone-4-star,Destroy Floating Poké Ball in 4★ and 5★ Hyperspace Zones with Item Power: Special,1,0,0,,,,,,,,pokedb
black-augurite,legends-za,legends-za,dropped,,hyperspace-zone-5-star,Destroy Floating Poké Ball in 4★ and 5★ Hyperspace Zones with Item Power: Special,1,0,0,,,,,,,,pokedb
blastoisinite,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
blue-canari-plush-lv-1,legends-za,legends-za,exchange,craftworks,racine-construction,Colorful Screw Exchange,1,0,1,,,3,colorful-screws,,,Requires Colorful Screws,pokedb
blue-canari-plush-lv-2,legends-za,legends-za,exchange,craftworks,racine-construction,Colorful Screw Exchange,1,0,1,,,5,colorful-screws,,,Requires Colorful Screws,pokedb
blue-canari-plush-lv-3,legends-za,legends-za,exchange,craftworks,racine-construction,Colorful Screw Exchange,1,0,1,,,8,colorful-screws,,,Requires Colorful Screws,pokedb
burn-drive,mega-dimension,,request,,vert-sector-7,"Vert Sector 7 (540 Mega Shards, after initiating Side Mission 191: Collecting Four Drives)",1,0,1,,,,,,,,bulbapedia
cameruptite,legends-za,,overworld,visible,,Jaune Sector 3,0,0,1,,,,,,"after defeating the Rogue Mega Camerupt during Main Mission 12: ""A Rogue Mega Camerupt""",,bulbapedia
canari-bread,legends-za,legends-za,shop,vendor,racine-construction,Racine Construction,1,0,1,1,,,,,,Available once per day.,pokedb
chandelurite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,360,,,"After completing Main Mission 19: ""Reaching Rank D""",Requires Mega Shards,pokedb
charizardite-x,legends-za,,shop,specialty-shop,stone-emporium,Stone Emporium,0,0,1,,,,,,"after completing Main Mission 09: ""Chase That Mysterious Pokémon!""",,bulbapedia
cherished-ring-first,legends-za,legends-za,npc-defeat,,,Side Mission 003: Sableye in the Cemetery,0,0,1,,,,,,After fighting Sableye,,pokedb
cherished-ring-second,legends-za,legends-za,npc-defeat,,,Side Mission 140: A Message from Across Dimensions,0,0,1,,,,,,After fighting Tarragon,,pokedb
chesnaughtite,legends-za,legends-za,event,,,Ranked Battles Season 3 reward,0,0,1,,,,,,"Reach Rank S in Ranked Battles Season 3 (November 27 – December 18, 2025)",,pokedb
chimechite,legends-za,legends-za,story,,,Calming down Rogue Mega Chimecho in a 2-star unknown hyperspace distortion,0,0,1,,,,,,,,pokedb
clefablite,legends-za,legends-za,exchange,,quasartico-inc-building,Quasartico Inc. headquarters,0,0,1,,,240,,,"After completing Main Mission 30: ""Reaching Rank B""",Costs 240 Mega Shards,pokedb
colorful-screw,legends-za,legends-za,overworld,visible,lumiose-city,Rooftops and scaffolding obstacle courses,1,0,1,,,,,,,There are 100 Colorful Screws scattered around the city.,pokedb
crabominite,legends-za,legends-za,story,,,Side Mission 141: Rogue Mega Showdown,0,0,1,,,,,,Upon completing Side Mission 141,,pokedb
darkranite,legends-za,legends-za,story,,,"Defeat and catch the Rogue Mega Darkrai in Hyperspace Mission 11: ""Hyperspace Lumiose Survey No. 6""",0,0,1,,,,,,,,pokedb
delphoxite,legends-za,legends-za,achievement,,,Ranked Battles Season 2,0,0,1,,,,,,"Reach Rank S in Ranked Battles Season 2 (November 6–26, 2025)",,pokedb
