item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
master-ball,colosseum,colosseum,npc-gift,,,Agate Village (from Eagun after reading his incomplete email inside Realgam Tower),0,0,1,,,,,,,,bulbapedia
master-ball,colosseum,colosseum,overworld,visible,,Pokémon Colosseum Bonus Disc JP,0,0,1,,,,,,,,bulbapedia
master-ball,xd,xd,npc-gift,,,Pokémon HQ Lab (from Professor Krane after clearing the Cipher Key Lair),0,0,1,,,,,,,,bulbapedia
ultra-ball,colosseum,colosseum,overworld,visible,,"Pyrite Cave, Agate Village, The Under Subway, Snagem Hideout",0,0,1,,,,,,,,bulbapedia
ultra-ball,colosseum,colosseum,shop,,,Outskirt Stand,1,0,1,,,,,,after Duking's first email,,bulbapedia
ultra-ball,colosseum,colosseum,pickup,,,Pickup,1,0,1,,,,,,,,bulbapedia
ultra-ball,xd,xd,overworld,visible,,"Phenac City, Realgam Tower, Snagem Hideout, Cipher Key Lair, Citadark Isle",0,0,1,,,,,,,,bulbapedia
ultra-ball,xd,xd,trainer-reward,visible,,"Realgam Tower (Battle CD 13, 26, and 30 completion prizes)",0,0,1,,,,,,,,bulbapedia
ultra-ball,xd,xd,shop,poke-mart,,"Gateon, Agate, Pyrite, and Phenac Poké Marts, Outskirt Stand",1,0,1,,,,,,,,bulbapedia
ultra-ball,xd,xd,pickup,,,Pickup (Lv. 1-90),1,0,1,,,,,,,,bulbapedia
great-ball,colosseum,colosseum,overworld,visible,,Pyrite Bldg,0,0,1,,,,,,,,bulbapedia
great-ball,colosseum,colosseum,shop,,,Outskirt Stand,1,0,1,,,,,,,,bulbapedia
great-ball,xd,xd,overworld,visible,,"Cipher Lab, Pyrite Town",0,0,1,,,,,,,,bulbapedia
great-ball,xd,xd,trainer-reward,visible,,Realgam Tower (Battle CD 03 and 07 completion prizes),0,0,1,,,,,,,,bulbapedia
great-ball,xd,xd,shop,poke-mart,,"Gateon, Agate, Pyrite, and Phenac Poké Marts, Outskirt Stand",1,0,1,,,,,,,,bulbapedia
great-ball,xd,xd,pickup,,,Pickup (Lv. 1-40),1,0,1,,,,,,,,bulbapedia
net-ball,colosseum,colosseum,shop,,,Outskirt Stand,1,0,1,,,,,,,,bulbapedia
net-ball,xd,xd,shop,,,Outskirt Stand,1,0,1,,,,,,,,bulbapedia
dive-ball,colosseum,colosseum,trade,trade,,Trade,1,0,1,,,,,,,,bulbapedia
dive-ball,xd,xd,trade,trade,,Trade,1,0,1,,,,,,,,bulbapedia
nest-ball,colosseum,colosseum,shop,,,Outskirt Stand,1,0,1,,,,,,,,bulbapedia
nest-ball,xd,xd,shop,,,Outskirt Stand,1,0,1,,,,,,,,bulbapedia
repeat-ball,colosseum,colosseum,trade,trade,,Trade,1,0,1,,,,,,,,bulbapedia
repeat-ball,xd,xd,trade,trade,,Trade,1,0,1,,,,,,,,bulbapedia
timer-ball,colosseum,colosseum,overworld,visible,,The Under Subway,0,0,1,,,,,,,,bulbapedia
timer-ball,colosseum,colosseum,shop,,,Outskirt Stand,1,0,1,,,,,,after Duking's first email,,bulbapedia
timer-ball,xd,xd,overworld,visible,,Citadark Isle,0,0,1,,,,,,,,bulbapedia
timer-ball,xd,xd,trainer-reward,visible,,Realgam Tower (Battle CD 27 and 28 completion prizes),0,0,1,,,,,,,,bulbapedia
timer-ball,xd,xd,shop,,,Outskirt Stand,1,0,1,,,,,,,,bulbapedia
luxury-ball,colosseum,colosseum,trade,trade,,Trade,1,0,1,,,,,,,,bulbapedia
luxury-ball,xd,xd,overworld,visible,,S.S. Libra,0,0,1,,,,,,,,bulbapedia
premier-ball,colosseum,colosseum,shop,,,Outskirt Stand (buy 10 or more Poké Balls at once),1,0,1,,,,,,,,bulbapedia
premier-ball,xd,xd,shop,poke-mart,,Any Poké Mart (buy 10 or more Poké Balls at once),1,0,1,,,,,,,,bulbapedia
potion,colosseum,colosseum,starting-item,,,In the 's Bag at the start of the game,0,0,1,,,,,,,,bulbapedia
potion,colosseum,colosseum,shop,poke-mart,,Phenac Poké Mart,1,0,1,,,,,,,,bulbapedia
potion,xd,xd,overworld,visible,,"Pokémon HQ Lab, Agate Village, Gateon Port",0,0,1,,,,,,,,bulbapedia
potion,xd,xd,shop,poke-mart,,Gateon and Agate Poké Marts,1,0,1,,,,,,,,bulbapedia
potion,xd,xd,pickup,,,Pickup (Lv. 1-10),1,0,1,,,,,,,,bulbapedia
antidote,colosseum,colosseum,starting-item,,,In the 's Bag at the start of the game,0,0,1,,,,,,,,bulbapedia
antidote,colosseum,colosseum,shop,poke-mart,,"Phenac, Pyrite Poké Marts; Outskirt Stand",1,0,1,,,,,,,,bulbapedia
antidote,xd,xd,trainer-reward,visible,,"Pokémon HQ Lab, Realgam Tower (Battle CD 04 completion prize)",0,0,1,,,,,,,,bulbapedia
antidote,xd,xd,shop,poke-mart,,"Phenac, Agate, Gateon Poké Marts",1,0,1,,,,,,,,bulbapedia
antidote,xd,xd,pickup,,,Pickup (Lv. 1-20),1,0,1,,,,,,,,bulbapedia
burn-heal,colosseum,colosseum,starting-item,,,In the 's Bag at the start of the game,0,0,1,,,,,,,,bulbapedia
burn-heal,colosseum,colosseum,shop,poke-mart,,"Phenac, Pyrite Poké Marts; Outskirt Stand",1,0,1,,,,,,,,bulbapedia
burn-heal,xd,xd,trainer-reward,visible,,"Relic Cave, Realgam Tower (Battle CD 19 completion prize)",0,0,1,,,,,,,,bulbapedia
burn-heal,xd,xd,shop,poke-mart,,"Phenac, Agate, Gateon Poké Marts",1,0,1,,,,,,,,bulbapedia
burn-heal,xd,xd,pickup,,,Pickup (Lv. 1-60),1,0,1,,,,,,,,bulbapedia
ice-heal,colosseum,colosseum,starting-item,,,In the 's Bag at the start of the game,0,0,1,,,,,,,,bulbapedia
