item,event_name,distribution_method,start_date,end_date,region,notes
ability-capsule,After School Pokémon Research Club Ability Capsule,Serial Code,19/01/2023,28/02/2023,All,
ability-capsule,Pokémon Global Link Ability Capsule,Wi-Fi,13/05/2014,01/07/2014,Japan,
ability-patch,The Hidden Treasure of Area Zero guide book's Nurturing Support Set,,15/03/2024,30/04/2026,All,
abomasite,2017 International Challenge May Mega Stones,,06/06/2017,30/07/2017,All,
abomasite,Fourth Mega Stone Gift,,21/07/2017,31/10/2017,All,
adamant-orb,Alamos Dialga,,26/08/2022,30/09/2022,Japan,
adamant-orb,Dahara City Dialga,,20/06/2015,31/08/2015,Japan,
adamant-orb,Dahara City Dialga,,20/11/2015,31/01/2016,Korea,
aggronite,2014 Korean World Championship Series Pokémon,,06/07/2014,06/07/2014,Korea,As a held item
aggronite,Fourth Mega Stone Gift,,21/07/2017,31/10/2017,All,
aguav-berry,Melvin Keh's Gyarados,,12/05/2024,30/06/2024,All,Held item distribution in Pokémon Scarlet and Violet
air-balloon,Fula City Zeraora,,01/10/2018,24/01/2019,PAL,
air-balloon,Landmark Tower Pikachu,,09/08/2014,17/08/2014,Japan,
air-balloon,Pokémon Center 15th Anniversary Pokémon,,15/05/2013,21/05/2013,Japan,
air-balloon,Pokémon General Election 720 Simisear,,25/06/2016,15/07/2016,Japan,
altarianite,Mega Campaign Altaria,,,,Japan,Distributed as a held item
altarianite,Sixth Mega Stone Gift,,08/09/2017,31/10/2017,All,
altarianite,Weakness Cup Mega Stones,,08/08/2017,29/09/2017,All,
ampharosite,National Pokédex Mareep,,15/09/2015,31/08/2016,Korean,As a held item
ampharosite,Sixth Mega Stone Gift,,08/09/2017,31/10/2017,All,
ampharosite,Weakness Cup Mega Stones,,08/08/2017,29/09/2017,All,
amulet-coin,Pokémon Center Meowth,,20/03/2009,12/04/2009,japan,Distributed as a held item
antidote,Healing Set,,18/11/2022,07/03/2023,United Kingdom,
apicot-berry,2004 Tanabata Jirachi,,01/07/2004,15/08/2004,Japan,Held item
apicot-berry,2005 Tanabata Jirachi,,17/07/2005,21/08/2005,Japan,Held item
apicot-berry,Pokémon Box Ruby & Sapphire Promotion Seviper,,10/07/2004,16/07/2004,United States,Held item
