identifier,name,description
ability-activation,Ability Activation,Activates or triggers a Pokémon's Ability under specific conditions
ability-change,Ability Change,Changes or modifies a Pokémon's Ability
access,Access,Grants access to locations or features
access-unlock,Access Unlock,Unlocks access to new areas or game content
accuracy-boost,Accuracy Boost,Increases the accuracy of moves
accuracy-modifier,Accuracy Modifier,Modifies accuracy of moves targeting the holder
accuracy-reduction,Accuracy Reduction,Reduces accuracy of incoming moves
audio-change,Audio Change,Changes in-game music or sound effects
bait,Bait,Attracts wild Pokémon when thrown
berry-growth,Berry Growth,Affects Berry planting and growth mechanics
berry-mutation,Berry Mutation,Increases chance of Berry mutations
berry-yield-boost,Berry Yield Boost,Increases the number of Berries harvested
breeding,Breeding,Affects Pokémon breeding mechanics or Egg production
breeding-boost,Breeding Boost,Increases chances of finding Eggs
breeding-modifier,Breeding Modifier,Modifies breeding outcomes
breeding-nature,Breeding Nature,Affects Nature inheritance during breeding
calming,Calming,Calms wild Pokémon during capture
capture,Capture,Affects Pokémon capture mechanics
capture-assist,Capture Assist,Assists in capturing Pokémon
capture-boost,Capture Boost,Boosts capture success rate
capture-modifier,Capture Modifier,Modifies capture mechanics based on ball type or conditions
capture-rate,Capture Rate,Modifies the base capture rate
capture-rate-boost,Capture Rate Boost,Increases the catch rate multiplier
capture-rate-modifier,Capture Rate Modifier,Modifies catch rate based on conditions
catch-rate,Catch Rate,Sets or modifies catch rate values
catch-rate-boost,Catch Rate Boost,Boosts the chance of catching Pokémon
catch-rate-modifier,Catch Rate Modifier,Modifies catch rate under specific conditions
catch-reward-boost,Catch Reward Boost,Increases rewards from catching Pokémon
catching-aid,Catching Aid,Aids in the catching process
charge-skip,Charge Skip,Skips charging turns for certain moves
collection,Collection,Allows collection of specific resources
communication,Communication,Enables communication features
consumable-effect,Consumable Effect,One-time effect when consumed
contest-boost,Contest Boost,Boosts performance in Pokémon Contests
contest-condition-boost,Contest Condition Boost,Raises Contest condition stats
contest-effect,Contest Effect,Enables special Contest mechanics
cosmetic,Cosmetic,Provides visual customization with no gameplay effect
crafting,Crafting,Used as an ingredient in crafting
crafting-ingredient,Crafting Ingredient,Material used to craft other items
crafting-material,Crafting Material,Raw material for item creation
currency,Currency,Functions as or tracks in-game currency
currency-tracking,Currency Tracking,Tracks accumulated currency or points
damage,Damage,Deals damage under specific conditions
damage-boost,Damage Boost,Increases damage dealt by moves
damage-reduction,Damage Reduction,Reduces damage from specific attack types
damage-reflection,Damage Reflection,Reflects damage back to the attacker
decoration,Decoration,Decorative item with no gameplay effect
decoration-unlock,Decoration Unlock,Unlocks decorative items
decorative,Decorative,Purely cosmetic with no functional effect
detection,Detection,Reveals hidden Pokémon or objects
duration-boost,Duration Boost,Extends the duration of move effects
encounter,Encounter,Enables encounters with wild Pokémon
encounter-modifier,Encounter Modifier,Modifies wild encounter properties
encounter-prevention,Encounter Prevention,Prevents wild Pokémon encounters
encounter-rate,Encounter Rate,Modifies wild encounter frequency
encounter-rate-boost,Encounter Rate Boost,Increases encounter rates
encounter-trigger,Encounter Trigger,Triggers specific Pokémon encounters
escape,Escape,Guarantees escape from wild battles
ev-boost,EV Boost,Increases Effort Values gained
ev-gain,EV Gain,Provides additional EV gains
evasion-boost,Evasion Boost,Increases evasion in battle
event-trigger,Event Trigger,Triggers special in-game events
