item,context,effect_type,effect,generation_start,generation_end,notes
ability-capsule,field,ability-change,Switches between a Pokémon's two standard Abilities,6,,Cannot affect Hidden Abilities or certain special forms.
ability-patch,field,ability-change,Can remove a Hidden Ability and set the first Ability slot.,9,,
ability-patch,field,ability-change,Changes a Pokémon’s regular Ability to its Hidden Ability.,8,,
ability-patch,held,fling-block,Fling fails.,8,,
ability-shield,held,passive,"Prevents the holder's Ability from being changed, suppressed, or ignored by effects.",9,,
ability-urge,battle,special,Activates entry Ability,5,,"Works with: Anticipation, Download, Drizzle, Drought, Forecast, Forewarn, Frisk, Intimidate, Sand Stream, Slow Start, Snow Warning, Trace"
abomasite,held,evolution-trigger,Enables Mega Evolution of Abomasnow,6,,
absolite,held,evolution-trigger,Allows Absol to Mega Evolve into Mega Absol,6,,Unaffected by item-negating effects
absolite-z,battle,evolution-trigger,Allows Absol to Mega Evolve into Mega Absol Z if the Trainer has a Key Stone,9,,
absorb-bulb,held,stat-boost,+1 Special Attack stage when hit by a damaging Water-type move,5,,
academy-ball,field,passive,Can be used during picnics to play by kicking it around.,9,,
academy-bottle,passive,decorative,Decorates the player's picnic with no gameplay effect.,9,,
academy-chairs,passive,cosmetic,Decorates the player's picnic with academy-themed chairs.,9,,
academy-cup,field,passive,Decorates the player's picnic with a standard academy cup.,9,,
academy-tablecloth,passive,cosmetic,Decorates the player's picnic with an academy-themed tablecloth.,9,,
acro-bike,field,movement,Allows tricks such as wheelies and bunny hops to access special terrain.,3,,
adamant-crystal,field,form-change,Switches Dialga between its normal form and Origin Forme when used,8,8,Used directly from the satchel in Pokémon Legends: Arceus
adamant-crystal,held,type-boost,Boosts Dragon- and Steel-type moves by 20%,9,,
adamant-crystal,held,form-change,Changes Dialga to its Origin Forme,9,,Applies when held in Pokémon Scarlet and Violet
adamant-mint,field,stat-modifier,"Changes Nature effect to Adamant (Attack up, Special Attack down)",8,,
adamant-orb,held,type-boost,Boosts Dialga's Dragon- and Steel-type moves by 20%,4,,
adrenaline-orb,battle,passive,Increases likelihood of wild Pokémon calling allies in SOS Battles when used,7,7,Bag use only
adrenaline-orb,battle,stat-boost,+1 Speed stage when affected by Intimidate,7,,Consumed on activation
adventure-rules,field,information,Allows the player to read or review tutorial information and gameplay tips.,6,,
aerodactylite,battle,evolution-trigger,Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.,6,,Requires a Key Stone.
aggronite,held,evolution-trigger,Allows Aggron to Mega Evolve into Mega Aggron,6,,Requires Key Stone
aguav-berry,field,healing,Restores HP when used from the Bag.,3,,
aguav-berry,held,healing,Restores HP when the holder's HP is low; may cause confusion if the Pokémon dislikes bitter flavor.,3,,
air-balloon,held,immunity,Grants immunity to Ground-type moves until the holder is hit,5,,
air-mail,held,passive,Allows a Pokémon to hold a written message that can be read when traded to another Generation IV game.,4,4,"Cannot be stolen by Thief or Covet; causes Fling, Trick, and Switcheroo to fail."
alakazite,held,evolution-trigger,Allows Alakazam to Mega Evolve,6,,Requires a Key Stone
aloraichium-z--held,held,z-move,Upgrades Alolan Raichu's Thunderbolt into the Z-Move Stoked Sparksurfer.,7,,Unaffected by Embargo or Klutz; cannot be removed by Trick or Fling.
altarianite,battle,evolution-trigger,Allows Altaria to Mega Evolve into Mega Altaria,6,,Requires a Key Stone
altarianite,held,immunity,Unaffected by item-negating or item-manipulating effects,6,,
amaze-mulch,field,berry-growth,"Soil dries faster, final harvest increases by 2 Berries, and Berry mutations are more likely.",6,6,Only effective in Pokémon X and Y.
amaze-mulch,field,none,No practical effect other than being sold.,6,,From Omega Ruby and Alpha Sapphire onward.
amazing-butter,field,passive,Allows up to six berries to be used when making donuts.,9,,Used by Ansha
ampharosite,held,evolution-trigger,Allows Ampharos to Mega Evolve into Mega Ampharos,6,,Requires a Key Stone
amulet-coin,held,money-boost,Doubles prize money earned after battle,2,,Stacks with Happy Hour and similar effects
antidote,field,status-healing,Cures poison,1,,
apicot-berry,battle,stat-boost,Raises Special Defense by 1 stage when consumed via Fling or similar effects,4,,
apicot-berry,held,stat-boost,Raises Special Defense by 1 stage when HP is 1/4 or less (2 stages with Ripen),3,,Activates at 1/2 HP with Gluttony
apple,field,crafting,Used as an ingredient when making sandwiches.,9,,
apricorn,passive,crafting-material,Used to craft various Poké Balls,8,,
apricorn-box,field,storage,Allows storage of up to 99 of each type of Apricorn and access to the Apriblender once obtained.,4,,
aqua-suit,field,story,Allows access to Kyogre's chamber and is used to ride Mega Rayquaza into space during the Delta Episode.,6,,Only usable in Pokémon Alpha Sapphire story events.
arboliva-oil,field,crafting,Used to make the Delta Old-Fashioned Donut.,9,,
armor-fossil,passive,evolution-trigger,Can be regenerated into Shieldon,4,,
armor-pass,field,access-unlock,Allows access to the Isle of Armor via Wedgehurst Station.,8,,
armorite-ore,field,exchange,"Trade 5 pieces to learn new moves, 7 pieces for Watts digging, or 10 pieces to reset a Pokémon's EVs.",8,,
articuno-treat,field,encounter-trigger,Allows the player to encounter and battle Articuno at Glaseado Mountain.,9,,Showing it to Snacksworth provides a hint to Articuno's location.
aspear-berry,field,status-cure,Cures freeze when used from the Bag,3,,
aspear-berry,held,status-cure,Cures freeze,3,,
assault-vest,held,stat-boost,Special Defense ×1.5; prevents use of status moves,6,,
audinite,held,evolution-trigger,Allows Audino to Mega Evolve into Mega Audino.,6,,Requires a Key Stone; unaffected by item-negating effects.
aurora-ticket,field,story,Allows travel to Birth Island to encounter Deoxys.,3,3,
auspicious-armor,field,evolution-trigger,Evolves Charcadet into Armarouge,9,,Item is consumed on use
autograph,passive,none,Serves no practical purpose.,7,,
aux-evasion,battle,evasion-boost,Moves are less likely to strike the Pokémon until it leaves battle,8,,
aux-guard,battle,stat-boost,Sharply raises the target Pokémon’s defensive stats until it leaves battle.,8,,
aux-power,battle,stat-boost,Sharply raises the user's offensive stats until it leaves battle,8,,
aux-powerguard,battle,stat-boost,Sharply raises the Pokémon’s offensive and defensive stats until it leaves battle,8,,
avocado,passive,ingredient,Used as an ingredient when making sandwiches.,9,,
awakening,field,status-cure,Cures sleep or drowsy status.,1,,
azelfs-fang,passive,crafting-material,Required to forge the Red Chain,8,,
azure-flute,field,story-access,Allows access to the Hall of Origin to encounter Arceus when used under specific story conditions.,4,,
babiri-berry,held,type-resist,Halves damage from a super effective Steel-type attack (quartered if the holder has Ripen).,4,,
bachs-food-tin,field,crafting,Used as an ingredient when cooking curry,8,,
bacon,passive,crafting,Used as an ingredient when making sandwiches.,9,,
ball-of-mud,field,status,Temporarily stuns a Pokémon when thrown,8,,
ball-of-mud,passive,crafting-material,Required to craft a Sticky Glob,8,,
balm-mushroom,passive,sell-only,No effect other than being sold,5,,
banana,field,crafting,Used as an ingredient when making sandwiches.,9,,
band-autograph,passive,none,Serves no practical purpose.,8,,
banettite,held,evolution-trigger,Allows Mega Evolution into Mega Banette,6,,Unaffected by item-negating effects
barbaracite,battle,evolution-trigger,Allows Barbaracle to Mega Evolve into Mega Barbaracle while held,9,,
barred-cup,field,decorative,No functional effect; used only to decorate picnics.,9,,
basculegion-food,field,unlock,Allows the player to befriend Basculegion and unlock it as a Ride Pokémon.,8,,
basement-key-hoenn,field,unlock,Opens the door to New Mauville.,3,,
basement-key-johto,field,unlock,Permanently unlocks the basement door in the Goldenrod Tunnel.,2,,Automatically activates when interacting with the locked door.
basil,field,crafting,Used as an ingredient when making sandwiches.,9,,
battle-chairs,passive,decorative,Decorates the player's picnic with battle-themed chairs.,9,,
battle-tablecloth,field,cosmetic,Decorates the player's picnic table with no gameplay effect.,9,,
baxcalibrite,battle,evolution-trigger,Allows Baxcalibur to Mega Evolve into Mega Baxcalibur.,9,,Requires the Trainer to have a Key Stone. Only one Mega Evolution per battle.
beach-glass,passive,sell-only,No effect other than being sold,7,,
bead-mail,held,passive,Stores a written message using Easy Chat phrases and displays it while held by a Pokémon.,3,3,"Cannot be stolen by Covet or Thief, but can be removed by Knock Off."
bean-cake,field,lure,"Attracts nearby Pokémon, especially fish and bird Pokémon",8,,
beast-ball,battle,catch-rate-modifier,"5× against Ultra Beasts, ~0.1× against other Pokémon",7,,
beast-ball,held,fling,Fails when used with Fling,7,,
beedrillite,held,evolution-trigger,Allows Beedrill to Mega Evolve,6,,
belue-berry,held,move-modifier,Changes Natural Gift to Electric type with variable power,4,,
berry-gen2,field,healing,Restores 10 HP when used from the Bag,2,2,
berry-gen2,held,healing,Restores 10 HP when HP falls below 50%,2,2,
berry-juice,field,healing,Restores 20 HP,2,,
berry-juice,held,healing,Restores 20 HP when holder's HP falls below 50%,2,,
berry-pots,field,passive,"Allows planting, watering, and growing up to four Berry plants while traveling.",4,,
berry-pouch,passive,storage,Allows the player to store collected Berries in a dedicated pouch.,3,,
berry-sweet,held,evolution-trigger,Evolves Milcery into Alcremie when the player spins,8,,Item is consumed upon evolution.
berserk-gene,held,stat-boost,Raises Attack by two stages when entering battle,2,2,
berserk-gene,held,status-infliction,Inflicts confusion on the holder,2,2,
bicycle,field,movement,Increases player movement speed and allows access to Cycling Roads.,1,,
big-bamboo-shoot,passive,sell-only,No practical use other than being sold.,9,,
big-malasada,field,healing,Cures all non-volatile status conditions and confusion,7,,
big-mushroom,field,exchange,Can be given to the Move Reminder to relearn a move (FireRed and LeafGreen).,3,3,
big-nugget,passive,sell-only,No effect other than being sold for money,5,,
big-pearl,passive,sell-only,No effect other than being sold for money,2,,
big-root,held,healing,Restores 30% more HP from draining moves and effects,4,,Also increases damage taken from Liquid Ooze
bike-voucher,field,exchange,Can be exchanged for a free Bicycle at the Bike Shop in Cerulean City.,1,,
binding-band,held,move-modifier,Binding damage becomes 1/6 of target's max HP,6,,
binding-band,held,move-modifier,Binding damage becomes 1/8 of target's max HP,5,5,
bitter-berry,field,status-healing,Cures confusion when used from the Bag.,2,2,
bitter-berry,held,status-healing,Cures confusion when the holder becomes confused.,2,2,
bitter-herba-mystica,field,crafting,Used as an ingredient when making sandwiches.,9,,
black-apricorn,field,crafting,Can be turned into a Heavy Ball by Kurt or blended into Aprijuice.,2,,
black-augurite,field,evolution-trigger,Evolves Scyther into Kleavor,8,,Item is consumed on use
black-belt,held,type-boost,+10% Fighting-type move power,2,3,
black-belt,held,type-boost,+20% Fighting-type move power,4,,
black-flute,field,level-modifier,Increases wild Pokémon levels by 1 to 4,6,6,Omega Ruby and Alpha Sapphire only
black-flute,field,encounter-rate,Reduces wild Pokémon encounter rate by 50%,3,4,Effect ends on map transition
black-glasses,held,type-boost,Boosts Dark-type move power by 20%,4,,
black-glasses,held,type-boost,Boosts Dark-type move power by 10%,2,3,
black-mane-hair,field,crafting,Used together with a Radiant Petal to create the Reins of Unity.,8,,
black-sludge,held,damage,Damages holder by 1/8 max HP each turn if not Poison-type,4,,Magic Guard prevents damage
black-sludge,held,healing,Restores 1/16 max HP each turn if holder is Poison-type,4,,
black-tumblestone,passive,crafting-material,"Used to craft Heavy Ball, Leaden Ball (1), and Gigaton Ball (2).",8,,
blank-plate,field,type-change,Changes Arceus to the Normal type when used from the satchel.,8,,
blastoisinite,held,evolution-trigger,Allows Blastoise to Mega Evolve into Mega Blastoise,6,,
blazikenite,held,evolution-trigger,Allows Blaziken to Mega Evolve into Mega Blaziken,6,,
bloom-mail,held,passive,Allows the holder to carry a written message that can be read when the Pokémon is traded.,4,4,Cannot be transferred to Generation V; prevents PC storage while held.
blue-apricorn,field,crafting,Used by Kurt to make a Lure Ball.,2,,
blue-apricorn,field,stat-boost,Produces Aprijuice that boosts the Skill Performance stat when used in the Apriblender.,7,7,
blue-bottle,passive,cosmetic,Decorates the player's picnic with no gameplay effect.,9,,
blue-canari-plush-lv-1,passive,capture-rate-boost,x1.1 catch rate,9,,
blue-canari-plush-lv-2,passive,capture-rate-boost,x1.2 catch rate,9,,
blue-canari-plush-lv-3,passive,capture-rate-boost,x1.35 catch rate,9,,
blue-card,passive,currency,Allows earning and storing Blue Points by answering Buena's Password questions correctly.,2,,Maximum of 30 points can be stored.
blue-chairs,passive,cosmetic,Decorates the player's picnic without providing gameplay effects.,9,,
blue-cup,passive,cosmetic,Decorates the player's picnic with a blue cup.,9,,
blue-dish,passive,decorative,No effect other than decorating the player's picnic.,9,,
blue-flag-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
blue-flute,battle,status-healing,Wakes a sleeping Pokémon,3,4,
blue-flute,battle,status-healing,Wakes a sleeping Pokémon,6,7,"Omega Ruby, Alpha Sapphire and later"
blue-flute,battle,none,No effect,5,6,No practical purpose in Generation V and Pokémon X and Y
blue-flute,field,status-healing,Wakes a sleeping Pokémon,3,3,
blue-orb,held,evolution-trigger,Allows Kyogre to undergo Primal Reversion upon entering battle.,6,,Only functions when held by Kyogre.
blue-petal,passive,story-progress,One of seven petals required for Mina to create the Rainbow Flower.,7,,
blue-poke-ball-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
blue-scarf,held,contest-condition-boost,Raises Beauty,3,,"In Generation III, raises Beauty by 20 points up to 255."
blue-shard,passive,exchange,Used as currency for move tutors and item exchanges.,3,,
blue-sky-flower-pick,field,passive,Used to complete a sandwich made during a picnic.,9,,
blue-tablecloth,passive,cosmetic,Decorates the player's picnic.,9,,
blueberry-chairs,passive,cosmetic,Decorates the player's picnic with themed chairs.,9,,
blueberry-tablecloth,passive,cosmetic,Decorates the player's picnic.,9,,
bluesky-mail,held,passive,Allows the holder to carry a written message that can be traded to other games of the same generation.,2,2,Cannot be stolen by Thief; Pokémon holding Mail cannot be deposited in the PC or Day Care.
bluk-berry,battle,natural-gift,"Fire-type; power 70 (Gen IV–V), 90 (Gen VI+)",4,,
bluk-berry,held,fling,Power 10; no additional effect,4,,
blunder-policy,held,stat-boost,Raises Speed by two stages when a move misses due to accuracy or evasion; item is consumed.,8,,
bobs-food-tin,field,crafting,Used as an ingredient when making curry,8,,
boiled-egg,field,crafting,Used as an ingredient when making curry,8,,
bold-mint,field,nature-change,"Changes the Pokémon’s Nature effect to Bold: Defense increases, Attack decreases.",8,,
