item,version_group,language,flavor_text
abomasite,legends-za,en,One of a variety of mysterious Mega Stones. An Abomasnow holding this stone will be able to Mega Evolve during battle.
absolite,legends-za,en,One of a variety of mysterious Mega Stones. An Absol holding this stone will be able to Mega Evolve during battle.
absolite-z,legends-za,en,One of a variety of mysterious Mega Stones. An Absol holding this stone will be able to Mega Evolve during battle.
aerodactylite,legends-za,en,One of a variety of mysterious Mega Stones. An Aerodactyl holding this stone will be able to Mega Evolve during battle.
aggronite,legends-za,en,One of a variety of mysterious Mega Stones. An Aggron holding this stone will be able to Mega Evolve during battle.
alakazite,legends-za,en,One of a variety of mysterious Mega Stones. An Alakazam holding this stone will be able to Mega Evolve during battle.
altarianite,legends-za,en,One of a variety of mysterious Mega Stones. An Altaria holding this stone will be able to Mega Evolve during battle.
amazing-butter,legends-za,en,"An amazing pack of butter found in Hyperspace Lumiose. With it, you should be able to make even higher quality donuts than before."
ampharosite,legends-za,en,One of a variety of mysterious Mega Stones. An Ampharos holding this stone will be able to Mega Evolve during battle.
antidote,legends-za,en,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a Pokémon.
arboliva-oil,legends-za,en,The oil produced by Paldea's Arboliva is said to be so delicious you'll feel as if you've gone to heaven after tasting it. How Corbeau got some is best left a mystery.
audinite,legends-za,en,One of a variety of mysterious Mega Stones. An Audino holding this stone will be able to Mega Evolve during battle.
auspicious-armor,legends-za,en,A peculiar set of armor that can make a certain species of Pokémon evolve. Auspicious wishes live within it.
autographed-plush,legends-za,en,A plush doll that has been autographed by Canari. Just having one puts you in a good mood.
awakening,legends-za,en,A spray-type medicine to wake the sleeping. It can be used to rouse a Pokémon that is feeling drowsy.
banettite,legends-za,en,One of a variety of mysterious Mega Stones. A Banette holding this stone will be able to Mega Evolve during battle.
barbaracite,legends-za,en,One of a variety of mysterious Mega Stones. A Barbaracle holding this stone will be able to Mega Evolve during battle.
beast-ball,legends-za,en,A somewhat different Poké Ball that is not very effective when catching Pokémon.
beedrillite,legends-za,en,One of a variety of mysterious Mega Stones. A Beedrill holding this stone will be able to Mega Evolve during battle.
big-pearl,legends-za,en,A rather large pearl that has a nice silvery sheen to it. It can be sold at a high price to shops.
black-augurite,legends-za,en,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
blastoisinite,legends-za,en,One of a variety of mysterious Mega Stones. A Blastoise holding this stone will be able to Mega Evolve during battle.
blazikenite,legends-za,en,One of a variety of mysterious Mega Stones. A Blaziken holding this stone will be able to Mega Evolve during battle.
blue-canari-plush-lv-1,legends-za,en,A plush doll of Canari that holds a blue charm. Having one of these makes it a little more likely that you'll succeed at catching Pokémon.
blue-canari-plush-lv-2,legends-za,en,A plush doll of Canari that holds a blue charm. Having one of these makes it more likely that you'll succeed at catching Pokémon.
blue-canari-plush-lv-3,legends-za,en,A plush doll of Canari that holds a blue charm. Having one of these makes it a lot more likely that you'll succeed at catching Pokémon.
blue-orb,legends-za,en,A shiny blue orb that is said to have a deep connection to a legend of the Hoenn region.
burn-drive,legends-za,en,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Fire type.
burn-heal,legends-za,en,A spray-type medicine for treating burns. It can be used to cure a Pokémon suffering from a burn.
cameruptite,legends-za,en,One of a variety of mysterious Mega Stones. A Camerupt holding this stone will be able to Mega Evolve during battle.
canari-bread,legends-za,en,A bun made to look like Canari's face. It can be used to restore 100 HP to a Pokémon.
chandelurite,legends-za,en,One of a variety of mysterious Mega Stones. A Chandelure holding this stone will be able to Mega Evolve during battle.
charizardite-x,legends-za,en,One of a variety of mysterious Mega Stones. A Charizard holding this stone will be able to Mega Evolve during battle.
charizardite-y,legends-za,en,One of a variety of mysterious Mega Stones. A Charizard holding this stone will be able to Mega Evolve during battle.
cherish-ball,legends-za,en,A quite rare Poké Ball made to commemorate a special occasion of some sort.
cherished-ring-first,legends-za,en,A ring that an old woman asked you to retrieve. It seems to hold some value to her.
cherished-ring-second,legends-za,en,A ring that was entrusted to Tarragon so that he could mend it. It seems to hold many special memories.
chesnaughtite,legends-za,en,One of a variety of mysterious Mega Stones. A Chesnaught holding this stone will be able to Mega Evolve during battle.
chimechite,legends-za,en,One of a variety of mysterious Mega Stones. A Chimecho holding this stone will be able to Mega Evolve during battle.
clefablite,legends-za,en,One of a variety of mysterious Mega Stones. A Clefable holding this stone will be able to Mega Evolve during battle.
colorful-screw,legends-za,en,"A colorful screw. These screws have been left here and there around Lumiose City, and the staff at Racine Construction will trade you goods in exchange for them."
crabominite,legends-za,en,One of a variety of mysterious Mega Stones. A Crabominable holding this stone will be able to Mega Evolve during battle.
darkranite,legends-za,en,One of a variety of mysterious Mega Stones. A Darkrai holding this stone will be able to Mega Evolve during battle.
delphoxite,legends-za,en,One of a variety of mysterious Mega Stones. A Delphox holding this stone will be able to Mega Evolve during battle.
diancite,legends-za,en,One of a variety of mysterious Mega Stones. A Diancie holding this stone will be able to Mega Evolve during battle.
douse-drive,legends-za,en,A cassette to be held by Genesect. It changes Genesect's Techno Blast move so it becomes Water type.
dragalgite,legends-za,en,One of a variety of mysterious Mega Stones. A Dragalge holding this stone will be able to Mega Evolve during battle.
dragoninite,legends-za,en,One of a variety of mysterious Mega Stones. A Dragonite holding this stone will be able to Mega Evolve during battle.
drampanite,legends-za,en,One of a variety of mysterious Mega Stones. A Drampa holding this stone will be able to Mega Evolve during battle.
dream-ball,legends-za,en,A somewhat different Poké Ball that is more effective when catching Pokémon that are drowsy.
dusk-ball,legends-za,en,A somewhat different Poké Ball that is more effective when catching Pokémon at night.
dusk-stone,legends-za,en,A peculiar stone that can make certain species of Pokémon evolve. It holds dark shadows within it.
eelektrossite,legends-za,en,One of a variety of mysterious Mega Stones. A Eelektross holding this stone will be able to Mega Evolve during battle.
elevator-key,legends-za,en,A key card that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
emboarite,legends-za,en,One of a variety of mysterious Mega Stones. An Emboar holding this stone will be able to Mega Evolve during battle.
epice-noire,legends-za,en,A mysterious spice that is highly valued among members of the Rust Syndicate. A sprinkle of it elevates the flavor of any dish so sublimely you'll feel as if you're dreaming.
excadrite,legends-za,en,One of a variety of mysterious Mega Stones. An Excadrill holding this stone will be able to Mega Evolve during battle.
exp-candy-l,legends-za,en,"A candy that is packed with energy. If consumed, it grants a Pokémon a large number of Exp. Points."
exp-candy-m,legends-za,en,"A candy that is packed with energy. If consumed, it grants a Pokémon a moderate number of Exp. Points."
exp-candy-s,legends-za,en,"A candy that is packed with energy. If consumed, it grants a Pokémon a small number of Exp. Points."
exp-candy-xl,legends-za,en,"A candy that is packed with energy. If consumed, it grants a Pokémon a very large number of Exp. Points."
exp-candy-xs,legends-za,en,"A candy that is packed with energy. If consumed, it grants a Pokémon a very small number of Exp. Points."
fairy-feather,legends-za,en,"An item to be held by a Pokémon. This feather, which gleams faintly when hit by light, boosts the power of the holder's Fairy-type moves."
falinksite,legends-za,en,One of a variety of mysterious Mega Stones. A Falinks holding this stone will be able to Mega Evolve during battle.
fast-ball,legends-za,en,A somewhat different Poké Ball that is more effective when catching Pokémon that are usually very quick to run away.
feraligite,legends-za,en,One of a variety of mysterious Mega Stones. A Feraligatr holding this stone will be able to Mega Evolve during battle.
floettite,legends-za,en,One of a variety of mysterious Mega Stones. A special Floette holding this stone will be able to Mega Evolve during battle.
froslassite,legends-za,en,One of a variety of mysterious Mega Stones. A Froslass holding this stone will be able to Mega Evolve during battle.
full-heal,legends-za,en,A spray-type medicine that is broadly effective. It can be used to cure any status condition a Pokémon may have.
galarica-cuff,legends-za,en,A cuff made from woven-together Galarica Twigs. Giving it to a Galarian Slowpoke makes the Pokémon very happy.
galarica-wreath,legends-za,en,A wreath made from woven-together Galarica Twigs. Placing it on the head of a Galarian Slowpoke makes the Pokémon very happy.
galladite,legends-za,en,One of a variety of mysterious Mega Stones. A Gallade holding this stone will be able to Mega Evolve during battle.
garchompite,legends-za,en,One of a variety of mysterious Mega Stones. A Garchomp holding this stone will be able to Mega Evolve during battle.
garchompite-z,legends-za,en,One of a variety of mysterious Mega Stones. A Garchomp holding this stone will be able to Mega Evolve during battle.
gardevoirite,legends-za,en,One of a variety of mysterious Mega Stones. A Gardevoir holding this stone will be able to Mega Evolve during battle.
gengarite,legends-za,en,One of a variety of mysterious Mega Stones. A Gengar holding this stone will be able to Mega Evolve during battle.
glalitite,legends-za,en,One of a variety of mysterious Mega Stones. A Glalie holding this stone will be able to Mega Evolve during battle.
glimmoranite,legends-za,en,One of a variety of mysterious Mega Stones. A Glimmora holding this stone will be able to Mega Evolve during battle.
gold-bottle-cap,legends-za,en,"A lovely gold bottle cap, which is even rarer than a regular silver one. Certain people are delighted to be given one of these."
gold-canari-plush-lv-1,legends-za,en,A plush doll of Canari that holds a gold charm. Having one of these increases the prize money you receive from battles by a little.
gold-canari-plush-lv-2,legends-za,en,A plush doll of Canari that holds a gold charm. Having one of these increases the prize money you receive from battles.
gold-canari-plush-lv-3,legends-za,en,A plush doll of Canari that holds a gold charm. Having one of these increases the prize money you receive from battles by a lot.
golisopite,legends-za,en,One of a variety of mysterious Mega Stones. A Golisopod holding this stone will be able to Mega Evolve during battle.
golurkite,legends-za,en,One of a variety of mysterious Mega Stones. A Golurk holding this stone will be able to Mega Evolve during battle.
great-butter,legends-za,en,"A great pack of butter found in Hyperspace Lumiose. With it, you should be able to make even higher quality donuts than before."
green-canari-plush-lv-1,legends-za,en,A plush doll of Canari that holds a green charm. Having one of these makes you a little less likely to black out from taking damage.
green-canari-plush-lv-2,legends-za,en,A plush doll of Canari that holds a green charm. Having one of these makes you less likely to black out from taking damage.
green-canari-plush-lv-3,legends-za,en,A plush doll of Canari that holds a green charm. Having one of these makes you a lot less likely to black out from taking damage.
greninjite,legends-za,en,One of a variety of mysterious Mega Stones. A Greninja holding this stone will be able to Mega Evolve during battle.
gyaradosite,legends-za,en,One of a variety of mysterious Mega Stones. A Gyarados holding this stone will be able to Mega Evolve during battle.
hawluchanite,legends-za,en,One of a variety of mysterious Mega Stones. A Hawlucha holding this stone will be able to Mega Evolve during battle.
heal-ball,legends-za,en,A remedial Poké Ball that restores HP and eliminates status conditions for a Pokémon caught with it.
heatranite,legends-za,en,One of a variety of mysterious Mega Stones. A Heatran holding this stone will be able to Mega Evolve during battle.
heavy-ball,legends-za,en,A somewhat different Poké Ball that becomes more effective the heavier the Pokémon is.
heracronite,legends-za,en,One of a variety of mysterious Mega Stones. A Heracross holding this stone will be able to Mega Evolve during battle.
hoennian-salt,legends-za,en,A coarse salt that can only be harvested in small amounts in the Hoenn region. A tiny pinch will impart a wondrous depth of flavor.
houndoominite,legends-za,en,One of a variety of mysterious Mega Stones. A Houndoom holding this stone will be able to Mega Evolve during battle.
hyper-aspear-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. Its sour bite makes it perfect for stewing into a confiture.
hyper-babiri-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in chocolate and confitures.
hyper-charti-berry,legends-za,en,A mysterious Berry found in Hyperspace Lumiose that's ideal for making donuts. It goes well in chocolate.
