item,generation,game_index
master-ball,1,1
master-ball,2,1
master-ball,3,1
master-ball,4,1
master-ball,5,1
master-ball,6,1
master-ball,7,1
master-ball,8,1
master-ball,9,1
ultra-ball,1,2
ultra-ball,2,2
ultra-ball,3,2
ultra-ball,4,2
ultra-ball,5,2
ultra-ball,6,2
ultra-ball,7,2
ultra-ball,8,2
ultra-ball,9,2
great-ball,1,3
great-ball,2,4
great-ball,3,3
great-ball,4,3
great-ball,5,3
great-ball,6,3
great-ball,7,3
great-ball,8,3
great-ball,9,2
poke-ball,1,4
poke-ball,2,5
poke-ball,3,4
poke-ball,4,4
poke-ball,5,4
poke-ball,6,4
poke-ball,7,4
poke-ball,8,4
poke-ball,9,4
safari-ball,1,8
safari-ball,3,5
safari-ball,4,5
safari-ball,5,5
safari-ball,6,5
safari-ball,7,5
safari-ball,8,5
safari-ball,9,5
net-ball,3,6
net-ball,4,6
net-ball,5,6
net-ball,6,6
net-ball,7,6
net-ball,8,6
net-ball,9,6
dive-ball,3,7
dive-ball,4,7
dive-ball,5,7
dive-ball,6,7
dive-ball,7,7
dive-ball,8,7
dive-ball,9,7
nest-ball,3,8
nest-ball,4,8
nest-ball,5,8
nest-ball,6,8
nest-ball,7,8
nest-ball,8,8
nest-ball,9,8
repeat-ball,3,9
repeat-ball,4,9
repeat-ball,5,9
repeat-ball,6,9
repeat-ball,7,9
repeat-ball,8,9
repeat-ball,9,9
timer-ball,3,10
timer-ball,4,10
timer-ball,5,10
timer-ball,6,10
timer-ball,7,10
timer-ball,8,10
timer-ball,9,10
luxury-ball,3,11
luxury-ball,4,11
luxury-ball,5,11
luxury-ball,6,11
luxury-ball,7,11
luxury-ball,8,11
luxury-ball,9,11
premier-ball,3,12
premier-ball,4,12
premier-ball,5,12
premier-ball,6,12
premier-ball,7,12
premier-ball,8,12
premier-ball,9,12
dusk-ball,4,13
dusk-ball,5,13
dusk-ball,6,13
dusk-ball,7,13
dusk-ball,8,13
dusk-ball,9,13
heal-ball,4,14
heal-ball,5,14
heal-ball,6,14
heal-ball,7,14
heal-ball,8,14
heal-ball,9,14
quick-ball,4,15
quick-ball,5,15
quick-ball,6,15
quick-ball,7,15
quick-ball,8,15
quick-ball,9,15
cherish-ball,4,16
cherish-ball,5,16
cherish-ball,6,16
cherish-ball,7,16
cherish-ball,8,16
cherish-ball,9,16
potion,1,20
potion,2,18
potion,3,13
potion,4,17
potion,5,17
potion,6,17
potion,7,17
potion,8,17
potion,9,17
antidote,1,11
antidote,2,9
antidote,3,14
antidote,4,18
antidote,5,18
antidote,6,18
antidote,7,18
antidote,8,18
antidote,9,18
burn-heal,1,12
burn-heal,2,10
burn-heal,3,15
burn-heal,4,19
burn-heal,5,19
burn-heal,6,19
burn-heal,7,19
burn-heal,8,19
burn-heal,9,19
ice-heal,1,13
ice-heal,2,11
ice-heal,3,16
ice-heal,4,20
ice-heal,5,20
ice-heal,6,20
ice-heal,7,20
ice-heal,8,20
ice-heal,9,20
awakening,1,14
awakening,2,12
awakening,3,17
awakening,4,21
awakening,5,21
awakening,6,21
awakening,7,21
awakening,8,21
awakening,9,21
paralyze-heal,1,15
paralyze-heal,2,13
paralyze-heal,3,18
paralyze-heal,4,22
paralyze-heal,5,22
paralyze-heal,6,22
paralyze-heal,7,22
paralyze-heal,8,22
paralyze-heal,9,22
full-restore,1,16
full-restore,2,14
full-restore,3,19
full-restore,4,23
full-restore,5,23
full-restore,6,23
full-restore,7,23
full-restore,8,23
full-restore,9,23
max-potion,1,17
max-potion,2,15
max-potion,3,20
max-potion,4,24
max-potion,5,24
max-potion,6,24
max-potion,7,24
max-potion,8,24
max-potion,9,24
hyper-potion,1,18
hyper-potion,2,16
hyper-potion,3,21
hyper-potion,4,25
hyper-potion,5,25
hyper-potion,6,25
hyper-potion,7,25
hyper-potion,8,25
hyper-potion,9,25
super-potion,1,19
super-potion,2,17
super-potion,3,22
super-potion,4,26
super-potion,5,26
super-potion,6,26
super-potion,7,26
super-potion,8,26
super-potion,9,26
full-heal,1,52
full-heal,2,38
full-heal,3,23
full-heal,4,27
full-heal,5,27
full-heal,6,27
full-heal,7,27
full-heal,8,27
full-heal,9,27
revive,1,53
revive,2,39
revive,3,24
revive,4,28
revive,5,28
revive,6,28
revive,7,28
revive,8,28
revive,9,28
max-revive,1,54
max-revive,2,40
max-revive,3,25
max-revive,4,29
max-revive,5,29
max-revive,6,29
max-revive,7,29
max-revive,8,29
max-revive,9,29
fresh-water,1,60
fresh-water,2,46
fresh-water,3,26
fresh-water,4,30
fresh-water,5,30
fresh-water,6,30
fresh-water,7,30
fresh-water,8,30
fresh-water,9,30
soda-pop,1,61
soda-pop,2,47
soda-pop,3,27
soda-pop,4,31
soda-pop,5,31
soda-pop,6,31
soda-pop,7,31
soda-pop,8,31
soda-pop,9,31
lemonade,1,62
lemonade,2,48
lemonade,3,28
lemonade,4,32
lemonade,5,32
lemonade,6,32
lemonade,7,32
lemonade,8,32
lemonade,9,32
