item,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_fr_fr,name_de,name_es,name_es_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_cs,name_pt_br,name_pt_pt,name_ca,name_da,name_fi,name_fr_ca,name_he,name_he_latn,name_hi,name_hi_latn,name_hu,name_id,name_ms,name_nl,name_no,name_pl,name_ru,name_ru_latn,name_sv,name_ta,name_ta_latn,name_te,name_te_latn,name_th,name_th_latn,name_tr,name_vi,name_zh_cmn_latn,name_zh_yue_latn
master-ball,Master Ball,マスターボール,マスターボール,Masutā Bōru,Master Ball,,Meisterball,Master Ball,,Master Ball,Master Ball,마스터볼,,大師球,大师球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultra-ball,Ultra Ball,ハイパーボール,ハイパーボール,Haipā Bōru,Hyper Ball,,Hyperball,Ultra Ball,,Ultra Ball,Ultra Ball,하이퍼볼,,高級球,高级球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great-ball,Great Ball,スーパーボール,スーパーボール,Sūpā Bōru,Super Ball,,Superball,Super Ball,,Super Ball,Mega Ball,슈퍼볼,,超級球,超级球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poke-ball,Poké Ball,モンスターボール,モンスターボール,Monster Ball,Poké Ball,,Pokéball,Poké Ball,,Poké Ball,Poké Ball,몬스터볼,,精靈球,精灵球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safari-ball,Safari Ball,サファリボール,サファリボール,Safari Bōru,Safari Ball,,Safariball,Safari Ball,,Safari Ball,Safari Ball,사파리볼,Safari Bol,狩獵球,狩猎球,狩獵球,狩獵球,,Bola Safári,Bola de Safari,,,,,,,,,,,,,,,Сафари-Болл,Safari-Boll,,,,,,,,,,Shòuliè Qiú,Sáulihp Kàuh
net-ball,Net Ball,ネットボール,ネットボール,Netto Bōru,Filet Ball,,Netzball,Malla Ball,,Malla Ball,Rete Ball,네트볼,Net Teu Bol,捕網球,捕网球,捕网球,捕網球,,Bola Tela,Bola Rede,,,Verkkopallo,,,,,,,,,,,Siecioball,,,,,,,,เน็ตบอล,Net Bon,,Bóng Net,Bǔwǎng Qiú,Bouhmóhng Kàuh
dive-ball,Dive Ball,ダイブボール,ダイブボール,Daibu Bōru,Scuba Ball,,Tauchball,Buceo Ball,Buceo Ball,Buceo Ball,Sub Ball,다이브볼,Dive Bol,潛水球,潜水球,潛水球,潛水球,,Bola Mergulho,,,,,,,,,,,,,,,,Дайв-Болл,Daiv-Boll,,,,,,,,,Bóng Drive,Qiánshuǐ Qiú,Chìhmséui Kàuh
nest-ball,Nest Ball,ネストボール,ネストボール,Nest Ball,Faiblo Ball,,Nestball,Nido Ball,Nido Ball,Nido Ball,Minor Ball,네스트볼,Nest Ball,巢穴球,巢穴球,巢穴球,巢穴球,,Bola de Ninho,Bola Ninho,,,,,,,,,,,,,,,Гнездо-Болл,Gnezdo-Boll,,,,,,,,,,Cháoxuè Qiú / Cháoxué Qiú,Chàauhyuht Kàuh
repeat-ball,Repeat Ball,リピートボール,リピートボール,Ripīto Bōru,Bis Ball,,Wiederball,Acopio Ball,Acopio Ball,Acopio Ball,Bis Ball,리피트볼,Ripideu-bol,重複球,重复球,重复球,重複球,,Bola de Repetição,Repeat Bola,,,,,,,,,,,,,,,Повтор-Болл,Povtor-Boll,Uppreningsboll,,,,,,,,Bóng Repeat,Chóngfù Qiú,Chùhngfūk Kàuh
timer-ball,Timer Ball,タイマーボール,タイマーボール,Timer Ball,Chrono Ball,,Timerball,Turno Ball,Turno Ball,Turno Ball,Timer Ball,타이머볼,Timer Ball,計時球,计时球,計時球 / 计时球,計時球,,Bola Tempo,Bola Tempo,,,,,,,,,,,,,,,Хроно-Болл,Khrono-Boll,,,,,,,,,,Jìshí Qiú,Gaisìh Kàuh
