item,generation,pocket,version_group,version
ability-capsule,6,medicine,,
ability-capsule,7,medicine,,
ability-capsule,8,items,,
ability-capsule,9,items,,
ability-patch,8,items,sword-shield,
ability-patch,9,items,scarlet-violet,
ability-shield,9,items,scarlet-violet,
ability-urge,5,items,black-white,
ability-urge,5,items,black-2-white-2,
abomasite,6,items,,
abomasite,7,items,,
abra-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
absolite,6,items,,
absolite,7,items,,
absolite-z,9,mega-stones,sword-shield,
absolite-z,9,mega-stones,brilliant-diamond-shining-pearl,
absorb-bulb,5,held-items,,
absorb-bulb,6,items,,
absorb-bulb,7,items,,
absorb-bulb,8,items,,
absorb-bulb,9,items,,
academy-ball,9,picnic-items,scarlet-violet,
academy-bottle,9,picnic-items,,
academy-chairs,9,picnic-items,scarlet-violet,
academy-cup,9,picnic-items,scarlet-violet,
academy-tablecloth,9,picnic-items,scarlet-violet,
acro-bike,3,key-items,,
acro-bike,6,key-items,omega-ruby-alpha-sapphire,
acro-bike,7,key-items,,
adamant-crystal,9,items,scarlet-violet,
adamant-mint,8,items,sword-shield,
adamant-mint,9,items,scarlet-violet,
adamant-orb,4,items,,
adamant-orb,5,items,,
adamant-orb,6,items,,
adamant-orb,7,items,,
adamant-orb,8,items,,
adamant-orb,9,items,,
adrenaline-orb,7,items,,
adrenaline-orb,8,items,,
adrenaline-orb,9,items,,
adventure-rules,6,key-items,x-y,
adventure-rules,7,key-items,,
adventure-rules,8,key-items,sword-shield,
adventure-rules,9,key-items,,
aerodactyl-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
aerodactylite,6,items,,
aerodactylite,7,items,,
aggronite,6,items,x-y,
aggronite,7,items,sun-moon,
aguav-berry,3,berries,ruby-sapphire,
aguav-berry,3,berries,emerald,emerald
aguav-berry,4,berries,,
aguav-berry,5,berries,,
aguav-berry,6,berries,,
aguav-berry,7,berries,,
aguav-berry,8,berries,sword-shield,
aguav-berry,9,berries,,
air-balloon,5,items,,
air-balloon,6,items,,
air-balloon,7,items,,
air-balloon,8,items,,
air-balloon,9,items,,
air-mail,4,mail,,
alakazite,6,items,,
alakazite,7,items,,
aloraichium-z--held,7,z-crystals,,
altarianite,6,items,omega-ruby-alpha-sapphire,
altarianite,7,items,,
amaze-mulch,6,items,,
amaze-mulch,7,items,,
ampharosite,6,items,,
ampharosite,7,items,,
amulet-coin,2,items,,
amulet-coin,3,items,,
amulet-coin,4,items,,
amulet-coin,5,items,,
amulet-coin,6,items,,
amulet-coin,7,items,,
amulet-coin,8,items,,
amulet-coin,9,items,,
antidote,1,items,,
antidote,2,items,,
antidote,3,items,,
antidote,4,medicine,,
antidote,5,medicine,,
antidote,6,medicine,,
antidote,7,medicine,,
antidote,8,medicine,,
antidote,9,medicine,,
apicot-berry,3,berries,ruby-sapphire,
apicot-berry,3,berry-pouch,firered-leafgreen,
apicot-berry,4,berries,,
apicot-berry,5,berries,,
apicot-berry,6,berries,,
apicot-berry,7,berries,,
apicot-berry,8,berries,,
apicot-berry,9,berries,,
apple,9,picnic-items,scarlet-violet,
apricorn,8,items,,
apricorn-box,4,key-items,heartgold-soulsilver,
apricorn-box,5,key-items,,
apricorn-box,6,key-items,,
apricorn-box,7,key-items,,
aqua-suit,6,key-items,omega-ruby-alpha-sapphire,
aqua-suit,7,key-items,,
armor-fossil,4,items,,
armor-fossil,5,items,,
armor-fossil,6,items,,
armor-fossil,7,items,,
armor-fossil,8,treasures,brilliant-diamond-shining-pearl,
armor-pass,8,key-items,sword-shield,
armorite-ore,8,items,sword-shield,
articuno-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
articuno-treat,9,key-items,scarlet-violet,
aspear-berry,3,berries,ruby-sapphire,
aspear-berry,3,berries,emerald,emerald
aspear-berry,4,berries,,
assault-vest,6,items,,
assault-vest,7,items,,
assault-vest,8,items,,
assault-vest,9,items,,
audinite,6,items,omega-ruby-alpha-sapphire,
audinite,7,items,,
aurora-ticket,3,key-items,,
auspicious-armor,9,items,scarlet-violet,
autograph,7,items,,
aux-evasion,8,battle-items,,
aux-guard,8,battle-items,,
avocado,9,picnic-items,scarlet-violet,
awakening,1,items,,
awakening,2,items,,
awakening,3,items,,
awakening,4,medicine,,
awakening,5,medicine,,
awakening,6,medicine,,
awakening,7,medicine,,
awakening,8,medicine,,
awakening,9,medicine,,
azure-flute,4,key-items,,
azure-flute,5,key-items,,
azure-flute,6,key-items,,
azure-flute,7,key-items,,
azure-flute,8,key-items,brilliant-diamond-shining-pearl,
babiri-berry,4,berries,,
babiri-berry,5,berries,,
babiri-berry,6,berries,,
babiri-berry,7,berries,,
babiri-berry,8,berries,,
babiri-berry,9,berries,,
bachs-food-tin,8,ingredients,sword-shield,
bacon,9,picnic-items,scarlet-violet,
baguette,9,picnic-items,scarlet-violet,
balm-mushroom,5,items,,
balm-mushroom,6,items,,
balm-mushroom,7,items,,
balm-mushroom,8,treasures,,
balm-mushroom,9,treasures,,
banana,9,picnic-items,scarlet-violet,
band-autograph,8,key-items,sword-shield,
banettite,6,items,,
banettite,7,items,,
barred-cup,9,picnic-items,scarlet-violet,
basculegion-food,8,key-items,,
basement-key-hoenn,3,key-items,,
basement-key-hoenn,6,key-items,omega-ruby-alpha-sapphire,
basement-key-hoenn,7,key-items,,
basement-key-johto,2,key-items,,
basement-key-johto,4,key-items,heartgold-soulsilver,
basement-key-johto,5,key-items,,
basement-key-johto,6,key-items,,
basement-key-johto,7,key-items,,
basil,9,picnic-items,scarlet-violet,
battle-chairs,9,picnic-items,scarlet-violet,
battle-tablecloth,9,picnic-items,scarlet-violet,
beach-glass,7,items,,
bead-mail,3,items,,
bean-cake,8,medicine,,
beast-ball,7,items,,
beast-ball,8,poke-balls,,
beast-ball,9,poke-balls,,
beedrillite,6,items,omega-ruby-alpha-sapphire,
beedrillite,7,items,,
bellsprout-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
belue-berry,3,berries,ruby-sapphire,
belue-berry,3,berries,emerald,emerald
belue-berry,4,berries,,
belue-berry,5,berries,,
belue-berry,6,berries,,
belue-berry,7,berries,,
belue-berry,8,berries,,
berry-gen2,2,items,,
berry-juice,2,items,,
berry-juice,3,items,,
berry-juice,4,medicine,,
berry-juice,5,medicine,,
berry-juice,6,medicine,,
berry-juice,7,medicine,,
berry-juice,8,medicine,,
berry-pots,4,key-items,heartgold-soulsilver,
berry-pots,5,key-items,,
berry-pots,6,key-items,,
berry-pots,7,key-items,,
berry-pouch,3,key-items,firered-leafgreen,
berry-pouch,3,key-items,emerald,emerald
berry-sweet,8,items,sword-shield,
berserk-gene,2,items,,
bicycle,1,key-items,,
bicycle,2,key-items,,
bicycle,3,key-items,firered-leafgreen,
bicycle,4,key-items,,
bicycle,5,key-items,,
bicycle,6,key-items,,
bicycle,7,key-items,,
bicycle,8,key-items,brilliant-diamond-shining-pearl,
big-bamboo-shoot,9,treasures,scarlet-violet,
big-malasada,7,medicine,,
big-malasada,8,medicine,,
big-mushroom,2,items,,
big-mushroom,3,items,,
big-mushroom,4,items,,
big-mushroom,5,items,,
big-mushroom,6,items,,
big-mushroom,7,items,,
big-mushroom,8,treasures,sword-shield,
big-mushroom,9,treasures,scarlet-violet,
big-nugget,5,items,,
big-nugget,6,items,,
big-nugget,7,items,,
big-nugget,8,treasures,,
big-nugget,9,treasures,,
big-pearl,2,items,,
big-pearl,3,items,,
big-pearl,4,items,,
big-pearl,5,items,,
big-pearl,6,items,,
big-pearl,7,items,,
big-pearl,8,treasures,sword-shield,
big-pearl,9,treasures,scarlet-violet,
big-root,4,items,,
big-root,5,items,,
big-root,6,items,,
big-root,7,items,,
big-root,8,items,,
big-root,9,items,,
bike-voucher,1,key-items,,
bike-voucher,3,key-items,firered-leafgreen,
bike-voucher,3,key-items,emerald,emerald
binding-band,5,held-items,,
binding-band,6,items,,
binding-band,7,items,,
binding-band,8,items,,
binding-band,9,items,,
bitter-berry,2,items,,
bitter-herba-mystica,9,picnic-items,scarlet-violet,
black-apricorn,2,items,,
black-apricorn,4,items,heartgold-soulsilver,
black-apricorn,5,items,,
black-apricorn,6,items,,
black-apricorn,7,items,,
black-apricorn,8,items,sword-shield,
black-apricorn,9,items,scarlet-violet,
black-augurite,8,items,,
black-belt,2,items,,
black-belt,3,items,,
black-belt,4,items,,
black-belt,5,items,,
black-belt,6,items,,
black-belt,7,items,,
black-belt,8,items,,
black-belt,9,items,,
black-flute,3,items,,
black-flute,4,items,,
black-flute,5,items,,
black-flute,6,items,,
black-flute,7,items,,
black-glasses,2,items,,
black-glasses,3,items,,
black-glasses,4,items,,
black-glasses,5,items,,
black-glasses,6,items,,
black-glasses,7,items,,
black-glasses,8,items,,
black-glasses,9,items,,
black-mane-hair,8,key-items,,
black-sludge,4,items,,
black-sludge,5,held-items,,
black-sludge,6,items,,
black-sludge,7,items,,
black-sludge,8,items,,
black-sludge,9,items,,
black-tumblestone,8,items,,
blastoisinite,6,items,,
blastoisinite,7,items,,
blazikenite,6,items,,
blazikenite,7,items,,
bloom-mail,4,mail,,
blue-apricorn,2,items,,
blue-apricorn,4,apricorn-box,heartgold-soulsilver,
blue-apricorn,8,items,sword-shield,
blue-apricorn,9,items,scarlet-violet,
blue-bottle,9,picnic-items,scarlet-violet,
blue-card,2,key-items,crystal,crystal
blue-card,4,key-items,heartgold-soulsilver,
blue-card,5,key-items,,
blue-card,6,key-items,,
blue-card,7,key-items,,
blue-chairs,9,picnic-items,scarlet-violet,
blue-cup,9,picnic-items,scarlet-violet,
blue-dish,9,picnic-items,scarlet-violet,
blue-flag-pick,9,picnic-items,scarlet-violet,
blue-flute,3,items,,
blue-flute,4,battle-items,,
blue-flute,5,items,,
blue-flute,6,items,x-y,
blue-flute,6,medicine,omega-ruby-alpha-sapphire,
blue-flute,7,medicine,,
blue-orb,3,key-items,,
blue-orb,4,key-items,heartgold-soulsilver,
blue-orb,5,key-items,,
blue-orb,6,items,,
blue-orb,7,items,,
blue-petal,7,key-items,ultra-sun-ultra-moon,
blue-poke-ball-pick,9,picnic-items,,
blue-scarf,3,items,,
blue-scarf,4,items,,
blue-scarf,5,items,,
blue-scarf,6,items,,
blue-scarf,7,items,,
blue-scarf,8,items,sword-shield,
blue-shard,3,items,,
blue-shard,4,items,,
blue-shard,5,items,,
blue-shard,6,items,,
blue-shard,7,items,,
blue-shard,8,items,sword-shield,
blue-sky-flower-pick,9,picnic-items,scarlet-violet,
blue-tablecloth,9,picnic-items,scarlet-violet,
blueberry-chairs,9,picnic-items,scarlet-violet,
blueberry-tablecloth,9,picnic-items,scarlet-violet,
bluesky-mail,2,items,,
bluk-berry,3,berries,ruby-sapphire,
bluk-berry,3,berries,emerald,emerald
bluk-berry,3,berry-pouch,firered-leafgreen,
bluk-berry,4,berries,,
bluk-berry,5,berries,,
bluk-berry,6,berries,,
