item,generation,pocket,version_group,version
adamant-crystal,8,key-items,legends-arceus,legends-arceus
aguav-berry,8,items,legends-arceus,legends-arceus
aspear-berry,8,items,legends-arceus,legends-arceus
aux-power,8,battle-items,legends-arceus,legends-arceus
aux-powerguard,8,battle-items,legends-arceus,legends-arceus
azelfs-fang,8,key-items,legends-arceus,legends-arceus
ball-of-mud,8,items,legends-arceus,legends-arceus
blank-plate,8,key-items,legends-arceus,legends-arceus
bugwort,8,items,legends-arceus,legends-arceus
cake-lure-base,8,medicine,legends-arceus,legends-arceus
candy-truffle,8,items,legends-arceus,legends-arceus
caster-fern,8,items,legends-arceus,legends-arceus
celestica-flute,8,key-items,legends-arceus,legends-arceus
cheri-berry,8,items,legends-arceus,legends-arceus
chesto-berry,8,items,legends-arceus,legends-arceus
choice-dumpling,8,items,legends-arceus,legends-arceus
crafting-kit,8,key-items,legends-arceus,legends-arceus
dazzling-honey,8,items,legends-arceus,legends-arceus
draco-plate,8,key-items,legends-arceus,legends-arceus
dread-plate,8,key-items,legends-arceus,legends-arceus
earth-plate,8,key-items,legends-arceus,legends-arceus
eternal-ice,8,key-items,legends-arceus,legends-arceus
lafeather-ball,8,poke-balls,legends-arceus,legends-arceus
figy-berry,8,items,legends-arceus,legends-arceus
fine-remedy,8,medicine,legends-arceus,legends-arceus
fist-plate,8,key-items,legends-arceus,legends-arceus
flame-plate,8,key-items,legends-arceus,legends-arceus
forest-balm,8,key-items,legends-arceus,legends-arceus
lagigaton-ball,8,poke-balls,legends-arceus,legends-arceus
grain-cake,8,medicine,legends-arceus,legends-arceus
great-ball-hisuian,8,poke-balls,legends-arceus,legends-arceus
griseous-core,8,key-items,legends-arceus,legends-arceus
grit-gravel,8,items,legends-arceus,legends-arceus
grit-pebble,8,items,legends-arceus,legends-arceus
grit-rock,8,items,legends-arceus,legends-arceus
hearty-grains,8,items,legends-arceus,legends-arceus
hometown-muffin,8,items,legends-arceus,legends-arceus
iapapa-berry,8,items,legends-arceus,legends-arceus
icicle-plate,8,key-items,legends-arceus,legends-arceus
