item,generation,pocket,version_group,version
abomasite,9,mega-stones,legends-za,legends-za
absolite,9,mega-stones,legends-za,legends-za
aerodactylite,9,mega-stones,legends-za,legends-za
aggronite,9,mega-stones,legends-za,legends-za
alakazite,9,mega-stones,legends-za,legends-za
altarianite,9,mega-stones,legends-za,legends-za
amazing-butter,9,key-items,legends-za,legends-za
ampharosite,9,mega-stones,legends-za,legends-za
arboliva-oil,9,key-items,legends-za,legends-za
audinite,9,mega-stones,legends-za,legends-za
autographed-plush,9,key-items,legends-za,legends-za
banettite,9,mega-stones,legends-za,legends-za
barbaracite,9,mega-stones,legends-za,legends-za
baxcalibrite,9,mega-stones,legends-za,legends-za
beedrillite,9,mega-stones,legends-za,legends-za
blastoisinite,9,mega-stones,legends-za,legends-za
blazikenite,9,mega-stones,legends-za,legends-za
blue-canari-plush-lv-1,9,key-items,legends-za,legends-za
blue-canari-plush-lv-2,9,key-items,legends-za,legends-za
blue-canari-plush-lv-3,9,key-items,legends-za,legends-za
cameruptite,9,mega-stones,legends-za,legends-za
canari-bread,9,medicine,legends-za,legends-za
chandelurite,9,mega-stones,legends-za,legends-za
charizardite-x,9,mega-stones,legends-za,legends-za
charizardite-y,9,mega-stones,legends-za,legends-za
cherished-ring-first,9,key-items,legends-za,legends-za
cherished-ring-second,9,key-items,legends-za,legends-za
chesnaughtite,9,mega-stones,legends-za,legends-za
chimechite,9,mega-stones,legends-za,legends-za
clefablite,9,mega-stones,legends-za,legends-za
colorful-screw,9,items,legends-za,legends-za
crabominite,9,mega-stones,legends-za,legends-za
darkranite,9,mega-stones,legends-za,legends-za
delphoxite,9,mega-stones,legends-za,legends-za
diancite,9,mega-stones,legends-za,legends-za
dragalgite,9,mega-stones,legends-za,legends-za
dragoninite,9,mega-stones,legends-za,legends-za
drampanite,9,mega-stones,legends-za,legends-za
eelektrossite,9,mega-stones,legends-za,legends-za
elevator-key,9,key-items,legends-za,legends-za
emboarite,9,mega-stones,legends-za,legends-za
epice-noire,9,key-items,legends-za,legends-za
excadrite,9,mega-stones,legends-za,legends-za
falinksite,9,mega-stones,legends-za,legends-za
feraligite,9,mega-stones,legends-za,legends-za
floettite,9,mega-stones,legends-za,legends-za
froslassite,9,mega-stones,legends-za,legends-za
galladite,9,mega-stones,legends-za,legends-za
garchompite,9,mega-stones,legends-za,legends-za
garchompite-z,9,mega-stones,legends-za,legends-za
gardevoirite,9,mega-stones,legends-za,legends-za
gengarite,9,mega-stones,legends-za,legends-za
glalitite,9,mega-stones,legends-za,legends-za
glimmoranite,9,mega-stones,legends-za,legends-za
gold-canari-plush-lv-1,9,key-items,legends-za,legends-za
gold-canari-plush-lv-2,9,key-items,legends-za,legends-za
gold-canari-plush-lv-3,9,key-items,legends-za,legends-za
golisopite,9,mega-stones,legends-za,legends-za
golurkite,9,mega-stones,legends-za,legends-za
great-butter,9,key-items,legends-za,legends-za
green-canari-plush-lv-1,9,key-items,legends-za,legends-za
green-canari-plush-lv-2,9,key-items,legends-za,legends-za
green-canari-plush-lv-3,9,key-items,legends-za,legends-za
greninjite,9,mega-stones,legends-za,legends-za
gyaradosite,9,mega-stones,legends-za,legends-za
hawluchanite,9,mega-stones,legends-za,legends-za
heatranite,9,mega-stones,legends-za,legends-za
heracronite,9,mega-stones,legends-za,legends-za
hoennian-salt,9,key-items,legends-za,legends-za
houndoominite,9,mega-stones,legends-za,legends-za
hyper-aspear-berry,9,berries,legends-za,legends-za
hyper-babiri-berry,9,berries,legends-za,legends-za
hyper-charti-berry,9,berries,legends-za,legends-za
hyper-cheri-berry,9,berries,legends-za,legends-za
hyper-chesto-berry,9,berries,legends-za,legends-za
hyper-chilan-berry,9,berries,legends-za,legends-za
hyper-chople-berry,9,berries,legends-za,legends-za
hyper-coba-berry,9,berries,legends-za,legends-za
hyper-colbur-berry,9,berries,legends-za,legends-za
hyper-haban-berry,9,berries,legends-za,legends-za
hyper-hondew-berry,9,berries,legends-za,legends-za
hyper-kasib-berry,9,berries,legends-za,legends-za
hyper-kebia-berry,9,berries,legends-za,legends-za
hyper-occa-berry,9,berries,legends-za,legends-za
hyper-passho-berry,9,berries,legends-za,legends-za
hyper-payapa-berry,9,berries,legends-za,legends-za
hyper-pecha-berry,9,berries,legends-za,legends-za
