item,version_group,version,price_type,amount,currency,note,source
master-ball,red-blue,,sell,0,poke-dollar,,bulbapedia
master-ball,yellow,,sell,0,poke-dollar,,bulbapedia
master-ball,gold-silver,,sell,0,poke-dollar,,bulbapedia
master-ball,crystal,,sell,0,poke-dollar,,bulbapedia
ultra-ball,red-blue,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,yellow,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,gold-silver,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,crystal,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,ruby-sapphire,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,emerald,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,firered-leafgreen,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,diamond-pearl,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,platinum,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,heartgold-soulsilver,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,black-white,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,black-2-white-2,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,x-y,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,omega-ruby-alpha-sapphire,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,brilliant-diamond-shining-pearl,,buy,1200,poke-dollar,,bulbapedia
ultra-ball,red-blue,,sell,600,poke-dollar,,bulbapedia
ultra-ball,yellow,,sell,600,poke-dollar,,bulbapedia
ultra-ball,gold-silver,,sell,600,poke-dollar,,bulbapedia
ultra-ball,crystal,,sell,600,poke-dollar,,bulbapedia
ultra-ball,ruby-sapphire,,sell,600,poke-dollar,,bulbapedia
ultra-ball,emerald,,sell,600,poke-dollar,,bulbapedia
ultra-ball,firered-leafgreen,,sell,600,poke-dollar,,bulbapedia
ultra-ball,diamond-pearl,,sell,600,poke-dollar,,bulbapedia
ultra-ball,platinum,,sell,600,poke-dollar,,bulbapedia
ultra-ball,heartgold-soulsilver,,sell,600,poke-dollar,,bulbapedia
ultra-ball,black-white,,sell,600,poke-dollar,,bulbapedia
ultra-ball,black-2-white-2,,sell,600,poke-dollar,,bulbapedia
ultra-ball,x-y,,sell,600,poke-dollar,,bulbapedia
ultra-ball,omega-ruby-alpha-sapphire,,sell,600,poke-dollar,,bulbapedia
ultra-ball,brilliant-diamond-shining-pearl,,sell,600,poke-dollar,,bulbapedia
ultra-ball,sun-moon,,buy,800,poke-dollar,,bulbapedia
ultra-ball,ultra-sun-ultra-moon,,buy,800,poke-dollar,,bulbapedia
ultra-ball,sword-shield,,buy,800,poke-dollar,,bulbapedia
ultra-ball,sun-moon,,sell,400,poke-dollar,,bulbapedia
ultra-ball,ultra-sun-ultra-moon,,sell,400,poke-dollar,,bulbapedia
ultra-ball,sword-shield,,sell,400,poke-dollar,,bulbapedia
ultra-ball,lets-go-pikachu-lets-go-eevee,,buy,500,poke-dollar,,bulbapedia
ultra-ball,lets-go-pikachu-lets-go-eevee,,sell,250,poke-dollar,,bulbapedia
ultra-ball,scarlet-violet,,buy,800,poke-dollar,,bulbapedia
ultra-ball,scarlet-violet,,sell,200,poke-dollar,,bulbapedia
great-ball,red-blue,,buy,600,poke-dollar,,bulbapedia
great-ball,yellow,,buy,600,poke-dollar,,bulbapedia
great-ball,gold-silver,,buy,600,poke-dollar,,bulbapedia
great-ball,crystal,,buy,600,poke-dollar,,bulbapedia
great-ball,ruby-sapphire,,buy,600,poke-dollar,,bulbapedia
great-ball,emerald,,buy,600,poke-dollar,,bulbapedia
great-ball,firered-leafgreen,,buy,600,poke-dollar,,bulbapedia
great-ball,diamond-pearl,,buy,600,poke-dollar,,bulbapedia
great-ball,platinum,,buy,600,poke-dollar,,bulbapedia
great-ball,heartgold-soulsilver,,buy,600,poke-dollar,,bulbapedia
great-ball,black-white,,buy,600,poke-dollar,,bulbapedia
great-ball,black-2-white-2,,buy,600,poke-dollar,,bulbapedia
great-ball,x-y,,buy,600,poke-dollar,,bulbapedia
great-ball,omega-ruby-alpha-sapphire,,buy,600,poke-dollar,,bulbapedia
great-ball,sun-moon,,buy,600,poke-dollar,,bulbapedia
