item,version_group,version,price_type,amount,currency,note,source
ultra-ball,legends-za,,buy,600,poke-dollar,,bulbapedia
ultra-ball,legends-za,,sell,150,poke-dollar,,bulbapedia
great-ball,legends-za,,buy,300,poke-dollar,,bulbapedia
great-ball,legends-za,,sell,75,poke-dollar,,bulbapedia
net-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
net-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
dive-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
dive-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
nest-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
nest-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
repeat-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
repeat-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
timer-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
timer-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
luxury-ball,legends-za,,buy,3000,poke-dollar,,bulbapedia
luxury-ball,legends-za,,sell,750,poke-dollar,,bulbapedia
premier-ball,legends-za,,buy,200,poke-dollar,,bulbapedia
premier-ball,legends-za,,sell,50,poke-dollar,,bulbapedia
dusk-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
dusk-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
heal-ball,legends-za,,buy,300,poke-dollar,,bulbapedia
heal-ball,legends-za,,sell,75,poke-dollar,,bulbapedia
quick-ball,legends-za,,buy,1000,poke-dollar,,bulbapedia
quick-ball,legends-za,,sell,250,poke-dollar,,bulbapedia
abomasite,legends-za,,buy,50000,poke-dollar,,bulbapedia
antidote,legends-za,,buy,100,poke-dollar,,bulbapedia
antidote,legends-za,,sell,25,poke-dollar,,bulbapedia
awakening,legends-za,,buy,100,poke-dollar,,bulbapedia
awakening,legends-za,,sell,25,poke-dollar,,bulbapedia
big-pearl,legends-za,,sell,4000,poke-dollar,,bulbapedia
blastoisinite,legends-za,,buy,100000,poke-dollar,,bulbapedia
blue-canari-plush-lv-1,legends-za,legends-za,buy,3,colorful-screws,,pokedb
blue-canari-plush-lv-2,legends-za,legends-za,buy,5,colorful-screws,,pokedb
blue-canari-plush-lv-3,legends-za,legends-za,buy,8,colorful-screws,,pokedb
bottle-cap,legends-za,,sell,5000,poke-dollar,,bulbapedia
burn-heal,legends-za,,buy,100,poke-dollar,,bulbapedia
burn-heal,legends-za,,sell,25,poke-dollar,,bulbapedia
canari-bread,legends-za,legends-za,sell,325,poke-dollar,,pokedb
canari-bread,legends-za,legends-za,buy,1300,poke-dollar,,pokedb
charizardite-x,legends-za,,buy,100000,poke-dollar,,bulbapedia
charizardite-y,legends-za,,buy,100000,poke-dollar,,bulbapedia
exp-candy-xs,legends-za,legends-za,sell,5,poke-dollar,,pokedb
fairy-feather,legends-za,legends-za,buy,4980,poke-dollar,,pokedb
fairy-feather,legends-za,legends-za,sell,750,poke-dollar,,pokedb
focus-band,legends-za,,buy,4980,poke-dollar,,bulbapedia
focus-band,legends-za,,sell,750,poke-dollar,,bulbapedia
full-heal,legends-za,,buy,200,poke-dollar,,bulbapedia
full-heal,legends-za,,sell,50,poke-dollar,,bulbapedia
full-restore,legends-za,,buy,1500,poke-dollar,,bulbapedia
