item,version_group,version,price_type,amount,currency,note,source
tm02,colosseum,,buy,,poke-dollar,,pokeapi
tm02,colosseum,,sell,1500,poke-dollar,,pokeapi
tm02,xd,,buy,,poke-dollar,,pokeapi
tm02,xd,,sell,1500,poke-dollar,,pokeapi
magnet,colosseum,,sell,50,poke-dollar,,bulbapedia
magnet,xd,,sell,50,poke-dollar,,bulbapedia
sharp-beak,colosseum,,sell,50,poke-dollar,,bulbapedia
sharp-beak,xd,,sell,50,poke-dollar,,bulbapedia
fresh-water,colosseum,,buy,200,poke-dollar,,bulbapedia
fresh-water,xd,,buy,200,poke-dollar,,bulbapedia
fresh-water,colosseum,,sell,100,poke-dollar,,bulbapedia
fresh-water,xd,,sell,100,poke-dollar,,bulbapedia
soda-pop,colosseum,,buy,300,poke-dollar,,bulbapedia
soda-pop,xd,,buy,300,poke-dollar,,bulbapedia
soda-pop,colosseum,,sell,150,poke-dollar,,bulbapedia
soda-pop,xd,,sell,150,poke-dollar,,bulbapedia
lemonade,colosseum,,buy,350,poke-dollar,,bulbapedia
lemonade,xd,,buy,350,poke-dollar,,bulbapedia
lemonade,colosseum,,sell,175,poke-dollar,,bulbapedia
lemonade,xd,,sell,175,poke-dollar,,bulbapedia
moomoo-milk,xd,xd,buy,500,poke-dollar,,bulbapedia
moomoo-milk,xd,xd,sell,250,poke-dollar,,bulbapedia
moomoo-milk,colosseum,colosseum,sell,250,poke-dollar,,bulbapedia
berry-juice,colosseum,,sell,50,poke-dollar,,bulbapedia
berry-juice,xd,,sell,50,poke-dollar,,bulbapedia
hp-up,colosseum,,buy,9800,poke-dollar,,bulbapedia
hp-up,xd,,buy,9800,poke-dollar,,bulbapedia
hp-up,colosseum,,sell,4900,poke-dollar,,bulbapedia
hp-up,xd,,sell,4900,poke-dollar,,bulbapedia
protein,colosseum,,buy,9800,poke-dollar,,bulbapedia
protein,xd,,buy,9800,poke-dollar,,bulbapedia
protein,colosseum,,sell,4900,poke-dollar,,bulbapedia
protein,xd,,sell,4900,poke-dollar,,bulbapedia
iron,colosseum,,buy,9800,poke-dollar,,bulbapedia
iron,xd,,buy,9800,poke-dollar,,bulbapedia
iron,colosseum,,sell,4900,poke-dollar,,bulbapedia
iron,xd,,sell,4900,poke-dollar,,bulbapedia
carbos,colosseum,,buy,9800,poke-dollar,,bulbapedia
carbos,xd,,buy,9800,poke-dollar,,bulbapedia
carbos,colosseum,,sell,4900,poke-dollar,,bulbapedia
carbos,xd,,sell,4900,poke-dollar,,bulbapedia
calcium,colosseum,,buy,9800,poke-dollar,,bulbapedia
calcium,xd,,buy,9800,poke-dollar,,bulbapedia
calcium,colosseum,,sell,4900,poke-dollar,,bulbapedia
calcium,xd,,sell,4900,poke-dollar,,bulbapedia
pp-up,colosseum,,sell,4900,poke-dollar,,bulbapedia
pp-up,xd,,sell,4900,poke-dollar,,bulbapedia
zinc,colosseum,,buy,9800,poke-dollar,,bulbapedia
zinc,xd,,buy,9800,poke-dollar,,bulbapedia
zinc,colosseum,,sell,4900,poke-dollar,,bulbapedia
zinc,xd,,sell,4900,poke-dollar,,bulbapedia
pp-max,colosseum,,sell,4900,poke-dollar,,bulbapedia
pp-max,xd,,sell,4900,poke-dollar,,bulbapedia
escape-rope,colosseum,colosseum,sell,275,poke-dollar,,bulbapedia
escape-rope,xd,xd,sell,275,poke-dollar,,bulbapedia
bright-powder,colosseum,,sell,5,poke-dollar,,bulbapedia
bright-powder,xd,,sell,5,poke-dollar,,bulbapedia
white-herb,colosseum,,sell,50,poke-dollar,,bulbapedia
white-herb,xd,,sell,50,poke-dollar,,bulbapedia
mental-herb,colosseum,colosseum,sell,50,poke-dollar,,bulbapedia
mental-herb,xd,xd,sell,50,poke-dollar,,bulbapedia
choice-band,colosseum,,sell,50,poke-dollar,,bulbapedia
choice-band,xd,,sell,50,poke-dollar,,bulbapedia
silver-powder,colosseum,,sell,50,poke-dollar,,bulbapedia
silver-powder,xd,,sell,50,poke-dollar,,bulbapedia
soul-dew,colosseum,colosseum,sell,100,poke-dollar,,bulbapedia
soul-dew,xd,xd,sell,100,poke-dollar,,bulbapedia
smoke-ball,colosseum,,sell,100,poke-dollar,,bulbapedia
smoke-ball,xd,,sell,100,poke-dollar,,bulbapedia
focus-band,colosseum,,sell,100,poke-dollar,,bulbapedia
focus-band,xd,,sell,100,poke-dollar,,bulbapedia
soft-sand,colosseum,,sell,50,poke-dollar,,bulbapedia
soft-sand,xd,,sell,50,poke-dollar,,bulbapedia
hard-stone,colosseum,,sell,50,poke-dollar,,bulbapedia
hard-stone,xd,,sell,50,poke-dollar,,bulbapedia
miracle-seed,colosseum,,sell,50,poke-dollar,,bulbapedia
miracle-seed,xd,,sell,50,poke-dollar,,bulbapedia
black-glasses,colosseum,,sell,50,poke-dollar,,bulbapedia
black-glasses,xd,,sell,50,poke-dollar,,bulbapedia
mystic-water,colosseum,,sell,50,poke-dollar,,bulbapedia
mystic-water,xd,,sell,50,poke-dollar,,bulbapedia
poison-barb,colosseum,,sell,50,poke-dollar,,bulbapedia
poison-barb,xd,,sell,50,poke-dollar,,bulbapedia
never-melt-ice,colosseum,,sell,50,poke-dollar,,bulbapedia
never-melt-ice,xd,,sell,50,poke-dollar,,bulbapedia
spell-tag,colosseum,,sell,50,poke-dollar,,bulbapedia
spell-tag,xd,,sell,50,poke-dollar,,bulbapedia
twisted-spoon,colosseum,,sell,50,poke-dollar,,bulbapedia
twisted-spoon,xd,,sell,50,poke-dollar,,bulbapedia
charcoal,colosseum,,sell,4900,poke-dollar,,bulbapedia
charcoal,xd,,sell,4900,poke-dollar,,bulbapedia
dragon-fang,colosseum,,sell,50,poke-dollar,,bulbapedia
dragon-fang,xd,,sell,50,poke-dollar,,bulbapedia
silk-scarf,colosseum,,sell,50,poke-dollar,,bulbapedia
silk-scarf,xd,,sell,50,poke-dollar,,bulbapedia
shell-bell,colosseum,,sell,100,poke-dollar,,bulbapedia
shell-bell,xd,,sell,100,poke-dollar,,bulbapedia
