item,stat,amount,generation_start,generation_end
absorb-bulb,special-attack,+1 stage,5,
adamant-mint,attack,+10%,8,
adamant-mint,special-attack,-10%,8,
adrenaline-orb,speed,+1 stage,7,
apicot-berry,special-defense,+1 stage,3,
assault-vest,special-defense,x1.5,6,
berserk-gene,attack,+2 stages,2,2
blunder-policy,speed,+2 stages,8,
calcium,special-attack,+10 EVs,3,7
calm-mint,attack,-10%,8,
calm-mint,special-defense,+10%,8,
carbos,speed,+10 EVs,3,7
careful-mint,special-attack,-10%,8,
careful-mint,special-defense,+10%,8,
cell-battery,attack,+1 stage,5,
choice-band,attack,x1.5,3,
choice-scarf,speed,x1.5,4,
choice-specs,special-attack,x1.5,4,
clever-wing,special-defense,+1 EV,5,
clever-mochi,special-defense,+10 EV,9,
courage-candy,special-defense,+1 AV,7,
courage-candy-l,special-defense,+1 AV,7,
courage-candy-xl,special-defense,+1 AV,7,
deep-sea-scale,special-defense,x2,3,
deep-sea-tooth,special-attack,x2,3,
electric-seed,defense,+1 stage,7,
eviolite,defense,x1.5,5,
eviolite,special-defense,x1.5,5,
ganlon-berry,defense,+1 stage,3,
genius-wing,special-attack,+1 EV,5,
genius-mochi,special-attack,+10 EV,9,
grassy-seed,defense,+1 stage,7,
grepa-berry,special-defense,-10 EV,3,
hasty-mint,defense,-10%,8,
hasty-mint,speed,+10%,8,
health-candy,hp,+1 AV,7,
health-candy-l,hp,+1 AV,7,
health-candy-xl,hp,+1 AV,7,
health-wing,hp,+1 EV,5,
health-mochi,hp,+10 EVs,9,
hondew-berry,special-attack,-10 EV,3,
hp-up,hp,+10 EVs,3,7
impish-mint,defense,+10%,8,
impish-mint,special-attack,-10%,8,
iron,defense,+10 EVs,3,7
iron,defense,+2560 stat exp,1,2
iron-ball,speed,x0.5,4,
jolly-mint,special-attack,-10%,8,
jolly-mint,speed,+10%,8,
kee-berry,defense,+1 stage,6,
kelpsy-berry,attack,-10 EV,3,
lax-mint,defense,+10%,8,
lax-mint,special-defense,-10%,8,
liechi-berry,attack,+1 stage,3,
luminous-moss,special-defense,+1 stage,6,
macho-brace,speed,x0.5,3,
maranga-berry,special-defense,+1 stage,6,
max-mushrooms,attack,+1 stage,8,
max-mushrooms,defense,+1 stage,8,
max-mushrooms,special-attack,+1 stage,8,
max-mushrooms,special-defense,+1 stage,8,
max-mushrooms,speed,+1 stage,8,
metal-powder,defense,x1.5,2,2
metal-powder,defense,x2,3,
metal-powder,special-defense,x1.5,2,2
micle-berry,accuracy,x1.2,4,
mighty-candy,attack,+1 AV,7,
mighty-candy-l,attack,+1 AV,7,
mighty-candy-xl,attack,+1 AV,7,
mild-mint,defense,-1 stage,8,
mild-mint,special-attack,+1 stage,8,
misty-seed,special-defense,+1 stage,7,
modest-mint,attack,-10%,8,
modest-mint,special-attack,+10%,8,
muscle-wing,attack,+1 EV,5,
muscle-mochi,attack,+10 EV,9,
naive-mint,special-defense,-10%,8,
naive-mint,speed,+10%,8,
naughty-mint,attack,+10%,8,
naughty-mint,special-defense,-10%,8,
petaya-berry,special-attack,+1 stage,3,
pomeg-berry,hp,-10 EV,3,
power-anklet,speed,x0.5,4,
power-band,speed,x0.5,4,
power-belt,speed,x0.5,4,
power-bracer,speed,x0.5,4,
power-lens,speed,x0.5,4,
power-weight,speed,x0.5,4,
protein,attack,+10 EVs,3,7
psychic-seed,special-defense,+1 stage,7,
qualot-berry,defense,-10 EV,3,
quick-candy,speed,+1 AV,7,
quick-candy-l,speed,+1 AV,7,
quick-candy-xl,speed,+1 AV,7,
quick-powder,speed,x2,4,
quiet-mint,special-attack,+10%,8,
quiet-mint,speed,-10%,8,
rash-mint,special-attack,+10%,8,
rash-mint,special-defense,-10%,8,
relaxed-mint,defense,+10%,8,
relaxed-mint,speed,-10%,8,
resist-wing,defense,+1 EV,5,
resist-mochi,defense,+10 EV,9,
room-service,speed,-1 stage,8,
salac-berry,speed,+1 stage,3,
sassy-mint,special-defense,+10%,8,
sassy-mint,speed,-10%,8,
smart-candy,special-attack,+1 AV,7,
smart-candy-xl,special-attack,+1 AV,7,
snowball,attack,+1 stage,6,
soul-dew,special-attack,x1.5,3,6
soul-dew,special-defense,x1.5,3,6
swift-wing,speed,+1 EV,5,
swift-mochi,speed,+10 EVs,9,
tamato-berry,speed,-10 EV,3,
thick-club,attack,x2,2,
throat-spray,special-attack,+1 stage,8,
timid-mint,attack,"-0,1",8,
timid-mint,speed,"0,1",8,
tough-candy,defense,+1 AV,7,
tough-candy-l,defense,+1 AV,7,
tough-candy-xl,defense,+1 AV,7,7
weakness-policy,attack,+2 stages,6,
weakness-policy,special-attack,+2 stages,6,
wellspring-mask,attack,x1.2,9,
wide-lens,accuracy,"0,1",4,
x-accuracy,accuracy,+1 stage,3,6
x-accuracy,accuracy,+2 stages,7,
x-accuracy-2,accuracy,+2 stages,5,
x-accuracy-3,accuracy,+3 stages,5,
