identifier,id,category,category_pokedb,cost,fling_power,fling_effect,introduced_generation,flags,is_consumable,is_holdable,is_field_usable,is_battle_usable,description,source
master-ball,1,standard-balls,poke-balls,0,0,,1,countable;consumable;usable-in-battle;holdable,1,1,1,1,A Poké Ball that catches any wild Pokémon without fail.,both
ultra-ball,2,standard-balls,poke-balls,800,0,,1,countable;consumable;usable-in-battle;holdable,1,0,1,1,A high-performance Poké Ball with a higher catch rate than a Great Ball.,both
great-ball,3,standard-balls,poke-balls,600,0,,1,countable;consumable;usable-in-battle;holdable,1,1,1,1,An improved Poké Ball that provides a higher success rate for catching Pokémon than a standard Poké Ball.,both
poke-ball,4,standard-balls,poke-balls,200,0,,1,countable;consumable;usable-in-battle;holdable,1,1,0,1,A basic Poké Ball used to catch wild Pokémon.,both
safari-ball,5,standard-balls,poke-balls,0,,,1,countable;consumable;usable-in-battle;holdable,1,0,1,1,A Poké Ball originally designed for use in Safari Zones.,both
net-ball,6,special-balls,poke-balls,1000,,,3,countable;consumable;usable-in-battle;holdable,1,1,1,1,A Poké Ball that is more effective when attempting to catch Water- or Bug-type Pokémon.,both
dive-ball,7,special-balls,poke-balls,1000,,,3,countable;consumable;usable-in-battle;holdable,1,0,1,1,A type of Poké Ball that is more effective when catching Pokémon in or on the water.,both
nest-ball,8,special-balls,poke-balls,1000,,,3,countable;consumable;usable-in-battle;holdable,1,1,1,1,A Poké Ball that becomes more effective the lower the level of the wild Pokémon.,both
repeat-ball,9,special-balls,poke-balls,1000,0,,3,countable;consumable;usable-in-battle;holdable,1,0,1,1,A Poké Ball that works better on Pokémon already registered as caught.,both
timer-ball,10,special-balls,poke-balls,1000,0,,3,countable;consumable;usable-in-battle;holdable,1,0,1,1,A Poké Ball that becomes more effective the longer a battle lasts.,both
luxury-ball,11,special-balls,poke-balls,3000,0,,3,countable;consumable;usable-in-battle;holdable,1,1,1,1,A Poké Ball that makes a caught Pokémon grow friendlier more quickly.,both
premier-ball,12,special-balls,poke-balls,20,0,,3,countable;consumable;usable-in-battle;holdable,1,0,1,1,A commemorative Poké Ball with the same catch rate as a Poké Ball.,both
dusk-ball,13,special-balls,poke-balls,1000,,,4,countable;consumable;usable-in-battle;holdable,1,1,1,1,A type of Poké Ball that is more effective at catching Pokémon at night or in dark places such as caves.,both
heal-ball,14,special-balls,poke-balls,300,0,,4,countable;consumable;usable-in-battle;holdable,1,1,1,1,"A remedial Poké Ball that fully restores the HP, PP, and status of a Pokémon caught with it.",both
quick-ball,15,special-balls,poke-balls,1000,,,4,countable;consumable;usable-in-battle;holdable,1,0,1,1,A Poké Ball that is more effective when used at the start of a battle.,both
cherish-ball,16,special-balls,poke-balls,0,,,4,countable;consumable;usable-in-battle;holdable,1,0,1,1,A quite rare Poké Ball specially crafted to commemorate a special occasion and primarily used for event Pokémon.,both
potion,17,healing,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A spray-type medicine that restores a Pokémon’s HP.,both
antidote,18,status-cures,medicine,200,30,,1,countable;consumable;usable-overworld;usable-in-battle;holdable,1,0,1,1,A spray-type medicine that cures a Pokémon of poisoning.,both
