pokemon,version_group,method,move,level,order,mastery
venusaur,champions,train,swords-dance,0,,
venusaur,champions,train,body-slam,0,,
venusaur,champions,train,double-edge,0,,
venusaur,champions,train,roar,0,,
venusaur,champions,train,hyper-beam,0,,
venusaur,champions,train,leech-seed,0,,
venusaur,champions,train,growth,0,,
venusaur,champions,train,solar-beam,0,,
venusaur,champions,train,poison-powder,0,,
venusaur,champions,train,sleep-powder,0,,
venusaur,champions,train,petal-dance,0,,
venusaur,champions,train,earthquake,0,,
venusaur,champions,train,toxic,0,,
venusaur,champions,train,light-screen,0,,
venusaur,champions,train,amnesia,0,,
venusaur,champions,train,rest,0,,
venusaur,champions,train,substitute,0,,
venusaur,champions,train,snore,0,,
venusaur,champions,train,curse,0,,
venusaur,champions,train,protect,0,,
venusaur,champions,train,scary-face,0,,
venusaur,champions,train,sludge-bomb,0,,
venusaur,champions,train,outrage,0,,
venusaur,champions,train,giga-drain,0,,
venusaur,champions,train,endure,0,,
venusaur,champions,train,charm,0,,
venusaur,champions,train,sleep-talk,0,,
venusaur,champions,train,sweet-scent,0,,
venusaur,champions,train,synthesis,0,,
venusaur,champions,train,sunny-day,0,,
venusaur,champions,train,facade,0,,
venusaur,champions,train,helping-hand,0,,
venusaur,champions,train,ingrain,0,,
venusaur,champions,train,knock-off,0,,
venusaur,champions,train,weather-ball,0,,
venusaur,champions,train,bullet-seed,0,,
venusaur,champions,train,frenzy-plant,0,,
venusaur,champions,train,worry-seed,0,,
venusaur,champions,train,poison-jab,0,,
venusaur,champions,train,seed-bomb,0,,
venusaur,champions,train,energy-ball,0,,
venusaur,champions,train,earth-power,0,,
venusaur,champions,train,giga-impact,0,,
venusaur,champions,train,leaf-storm,0,,
venusaur,champions,train,power-whip,0,,
venusaur,champions,train,grass-knot,0,,
venusaur,champions,train,venoshock,0,,
venusaur,champions,train,sludge-wave,0,,
venusaur,champions,train,acid-spray,0,,
venusaur,champions,train,round,0,,
venusaur,champions,train,bulldoze,0,,
venusaur,champions,train,petal-blizzard,0,,
venusaur,champions,train,grassy-terrain,0,,
venusaur,champions,train,stomping-tantrum,0,,
venusaur,champions,train,grassy-glide,0,,
venusaur,champions,train,terrain-pulse,0,,
venusaur,champions,train,trailblaze,0,,
charizard,champions,train,fire-punch,0,,
charizard,champions,train,thunder-punch,0,,
charizard,champions,train,swords-dance,0,,
charizard,champions,train,fly,0,,
charizard,champions,train,mega-kick,0,,
charizard,champions,train,body-slam,0,,
charizard,champions,train,double-edge,0,,
charizard,champions,train,bite,0,,
charizard,champions,train,roar,0,,
charizard,champions,train,flamethrower,0,,
charizard,champions,train,hyper-beam,0,,
charizard,champions,train,counter,0,,
charizard,champions,train,solar-beam,0,,
charizard,champions,train,fire-spin,0,,
charizard,champions,train,earthquake,0,,
charizard,champions,train,dig,0,,
charizard,champions,train,fire-blast,0,,
charizard,champions,train,rest,0,,
