pokemon,version_group,method,move,level,order,mastery
pikachu,legends-arceus,level-up,thunder-shock,1,,9
pikachu,legends-arceus,level-up,quick-attack,5,,14
pikachu,legends-arceus,level-up,thunder-wave,9,,18
pikachu,legends-arceus,level-up,swift,15,,25
pikachu,legends-arceus,level-up,spark,21,,31
pikachu,legends-arceus,level-up,thunderbolt,29,,40
pikachu,legends-arceus,level-up,iron-tail,37,,48
pikachu,legends-arceus,level-up,thunder,47,,59
raichu,legends-arceus,level-up,thunder-shock,1,,9
raichu,legends-arceus,level-up,quick-attack,5,,14
raichu,legends-arceus,level-up,thunder-wave,9,,18
raichu,legends-arceus,level-up,swift,15,,25
raichu,legends-arceus,level-up,spark,21,,31
raichu,legends-arceus,level-up,thunderbolt,29,,40
raichu,legends-arceus,level-up,iron-tail,37,,48
raichu,legends-arceus,level-up,thunder,47,,59
clefairy,legends-arceus,level-up,tackle,1,,9
clefairy,legends-arceus,level-up,fairy-wind,5,,14
clefairy,legends-arceus,level-up,baby-doll-eyes,9,,18
clefairy,legends-arceus,level-up,draining-kiss,15,,25
clefairy,legends-arceus,level-up,calm-mind,21,,31
clefairy,legends-arceus,level-up,psychic,29,,40
clefairy,legends-arceus,level-up,moonblast,37,,48
clefairy,legends-arceus,level-up,double-edge,47,,59
clefable,legends-arceus,level-up,tackle,1,,9
clefable,legends-arceus,level-up,fairy-wind,5,,14
clefable,legends-arceus,level-up,baby-doll-eyes,9,,18
clefable,legends-arceus,level-up,draining-kiss,15,,25
clefable,legends-arceus,level-up,calm-mind,21,,31
clefable,legends-arceus,level-up,psychic,29,,40
clefable,legends-arceus,level-up,moonblast,37,,48
clefable,legends-arceus,level-up,double-edge,47,,59
vulpix,legends-arceus,level-up,ember,1,,9
vulpix,legends-arceus,level-up,quick-attack,5,,14
vulpix,legends-arceus,level-up,nasty-plot,9,,18
vulpix,legends-arceus,level-up,flame-wheel,15,,25
vulpix,legends-arceus,level-up,hex,21,,31
vulpix,legends-arceus,level-up,extrasensory,29,,40
vulpix,legends-arceus,level-up,flamethrower,37,,48
vulpix,legends-arceus,level-up,fire-blast,47,,59
vulpix,legends-arceus,tutor,swift,0,,
vulpix,legends-arceus,tutor,ominous-wind,0,,
vulpix,legends-arceus,tutor,rest,0,,
vulpix,legends-arceus,tutor,baby-doll-eyes,0,,
vulpix,legends-arceus,tutor,zen-headbutt,0,,
vulpix,legends-arceus,tutor,iron-tail,0,,
