pokemon,version_group,method,move,level,order,mastery
bulbasaur,colosseum,level-up,tackle,1,,
bulbasaur,colosseum,level-up,growl,4,,
bulbasaur,colosseum,level-up,leech-seed,7,,
bulbasaur,colosseum,level-up,vine-whip,10,,
bulbasaur,colosseum,level-up,poison-powder,15,1,
bulbasaur,colosseum,level-up,sleep-powder,15,2,
bulbasaur,colosseum,level-up,razor-leaf,20,,
bulbasaur,colosseum,level-up,sweet-scent,25,,
bulbasaur,colosseum,level-up,growth,32,,
bulbasaur,colosseum,level-up,synthesis,39,,
bulbasaur,colosseum,level-up,solar-beam,46,,
bulbasaur,colosseum,machine,cut,0,,
bulbasaur,colosseum,machine,strength,0,,
bulbasaur,colosseum,machine,solar-beam,0,,
bulbasaur,colosseum,machine,toxic,0,,
bulbasaur,colosseum,machine,double-team,0,,
bulbasaur,colosseum,machine,flash,0,,
bulbasaur,colosseum,machine,rest,0,,
bulbasaur,colosseum,machine,protect,0,,
bulbasaur,colosseum,machine,sludge-bomb,0,,
bulbasaur,colosseum,machine,giga-drain,0,,
bulbasaur,colosseum,machine,attract,0,,
bulbasaur,colosseum,machine,return,0,,
bulbasaur,colosseum,machine,frustration,0,,
bulbasaur,colosseum,machine,hidden-power,0,,
bulbasaur,colosseum,machine,sunny-day,0,,
bulbasaur,colosseum,machine,rock-smash,0,,
bulbasaur,colosseum,machine,facade,0,,
bulbasaur,colosseum,machine,secret-power,0,,
bulbasaur,colosseum,machine,bullet-seed,0,,
bulbasaur,xd,level-up,tackle,1,,
bulbasaur,xd,level-up,growl,4,,
bulbasaur,xd,level-up,leech-seed,7,,
bulbasaur,xd,level-up,vine-whip,10,,
bulbasaur,xd,level-up,poison-powder,15,1,
bulbasaur,xd,level-up,sleep-powder,15,2,
bulbasaur,xd,level-up,razor-leaf,20,,
bulbasaur,xd,level-up,sweet-scent,25,,
bulbasaur,xd,level-up,growth,32,,
bulbasaur,xd,level-up,synthesis,39,,
bulbasaur,xd,level-up,solar-beam,46,,
bulbasaur,xd,tutor,body-slam,0,,
bulbasaur,xd,tutor,double-edge,0,,
bulbasaur,xd,tutor,mimic,0,,
bulbasaur,xd,tutor,substitute,0,,
bulbasaur,xd,tutor,swagger,0,,
bulbasaur,xd,machine,cut,0,,
bulbasaur,xd,machine,strength,0,,
bulbasaur,xd,machine,solar-beam,0,,
bulbasaur,xd,machine,toxic,0,,
bulbasaur,xd,machine,double-team,0,,
bulbasaur,xd,machine,flash,0,,
bulbasaur,xd,machine,rest,0,,
bulbasaur,xd,machine,protect,0,,
bulbasaur,xd,machine,sludge-bomb,0,,
bulbasaur,xd,machine,giga-drain,0,,
bulbasaur,xd,machine,attract,0,,
bulbasaur,xd,machine,return,0,,
bulbasaur,xd,machine,frustration,0,,
bulbasaur,xd,machine,hidden-power,0,,
bulbasaur,xd,machine,sunny-day,0,,
bulbasaur,xd,machine,rock-smash,0,,
bulbasaur,xd,machine,facade,0,,
bulbasaur,xd,machine,secret-power,0,,
bulbasaur,xd,machine,bullet-seed,0,,
ivysaur,colosseum,level-up,tackle,1,1,
ivysaur,colosseum,level-up,growl,1,2,
ivysaur,colosseum,level-up,leech-seed,1,3,
ivysaur,colosseum,level-up,growl,4,,
ivysaur,colosseum,level-up,leech-seed,7,,
ivysaur,colosseum,level-up,vine-whip,10,,
ivysaur,colosseum,level-up,poison-powder,15,,
ivysaur,colosseum,level-up,sleep-powder,15,4,
ivysaur,colosseum,level-up,razor-leaf,22,,
ivysaur,colosseum,level-up,sweet-scent,29,,
ivysaur,colosseum,level-up,growth,38,,
ivysaur,colosseum,level-up,synthesis,47,,
ivysaur,colosseum,level-up,solar-beam,56,,
ivysaur,colosseum,machine,cut,0,,
ivysaur,colosseum,machine,strength,0,,
ivysaur,colosseum,machine,solar-beam,0,,
ivysaur,colosseum,machine,toxic,0,,
ivysaur,colosseum,machine,double-team,0,,
ivysaur,colosseum,machine,flash,0,,
ivysaur,colosseum,machine,rest,0,,
ivysaur,colosseum,machine,protect,0,,
ivysaur,colosseum,machine,sludge-bomb,0,,
ivysaur,colosseum,machine,giga-drain,0,,
ivysaur,colosseum,machine,attract,0,,
ivysaur,colosseum,machine,return,0,,
ivysaur,colosseum,machine,frustration,0,,
ivysaur,colosseum,machine,hidden-power,0,,
ivysaur,colosseum,machine,sunny-day,0,,
ivysaur,colosseum,machine,rock-smash,0,,
ivysaur,colosseum,machine,facade,0,,
ivysaur,colosseum,machine,secret-power,0,,
ivysaur,colosseum,machine,bullet-seed,0,,
ivysaur,xd,level-up,tackle,1,1,
ivysaur,xd,level-up,growl,1,2,
ivysaur,xd,level-up,leech-seed,1,3,
ivysaur,xd,level-up,growl,4,,
ivysaur,xd,level-up,leech-seed,7,,
ivysaur,xd,level-up,vine-whip,10,,
ivysaur,xd,level-up,poison-powder,15,,
ivysaur,xd,level-up,sleep-powder,15,4,
ivysaur,xd,level-up,razor-leaf,22,,
ivysaur,xd,level-up,sweet-scent,29,,
ivysaur,xd,level-up,growth,38,,
ivysaur,xd,level-up,synthesis,47,,
ivysaur,xd,level-up,solar-beam,56,,
ivysaur,xd,tutor,body-slam,0,,
ivysaur,xd,tutor,double-edge,0,,
ivysaur,xd,tutor,mimic,0,,
ivysaur,xd,tutor,substitute,0,,
ivysaur,xd,tutor,swagger,0,,
ivysaur,xd,machine,cut,0,,
ivysaur,xd,machine,strength,0,,
ivysaur,xd,machine,solar-beam,0,,
ivysaur,xd,machine,toxic,0,,
ivysaur,xd,machine,double-team,0,,
ivysaur,xd,machine,flash,0,,
ivysaur,xd,machine,rest,0,,
ivysaur,xd,machine,protect,0,,
ivysaur,xd,machine,sludge-bomb,0,,
ivysaur,xd,machine,giga-drain,0,,
ivysaur,xd,machine,attract,0,,
ivysaur,xd,machine,return,0,,
ivysaur,xd,machine,frustration,0,,
ivysaur,xd,machine,hidden-power,0,,
ivysaur,xd,machine,sunny-day,0,,
ivysaur,xd,machine,rock-smash,0,,
ivysaur,xd,machine,facade,0,,
ivysaur,xd,machine,secret-power,0,,
ivysaur,xd,machine,bullet-seed,0,,
venusaur,colosseum,level-up,vine-whip,1,4,
venusaur,colosseum,level-up,tackle,1,1,
venusaur,colosseum,level-up,growl,1,2,
venusaur,colosseum,level-up,leech-seed,1,3,
venusaur,colosseum,level-up,growl,4,,
venusaur,colosseum,level-up,leech-seed,7,,
venusaur,colosseum,level-up,vine-whip,10,,
venusaur,colosseum,level-up,poison-powder,15,,
venusaur,colosseum,level-up,sleep-powder,15,5,
venusaur,colosseum,level-up,razor-leaf,22,,
venusaur,colosseum,level-up,sweet-scent,29,,
venusaur,colosseum,level-up,growth,41,,
venusaur,colosseum,level-up,synthesis,53,,
venusaur,colosseum,level-up,solar-beam,65,,
venusaur,colosseum,machine,cut,0,,
venusaur,colosseum,machine,roar,0,,
venusaur,colosseum,machine,hyper-beam,0,,
venusaur,colosseum,machine,strength,0,,
venusaur,colosseum,machine,solar-beam,0,,
venusaur,colosseum,machine,earthquake,0,,
venusaur,colosseum,machine,toxic,0,,
venusaur,colosseum,machine,double-team,0,,
venusaur,colosseum,machine,flash,0,,
venusaur,colosseum,machine,rest,0,,
venusaur,colosseum,machine,protect,0,,
venusaur,colosseum,machine,sludge-bomb,0,,
venusaur,colosseum,machine,giga-drain,0,,
venusaur,colosseum,machine,attract,0,,
venusaur,colosseum,machine,return,0,,
venusaur,colosseum,machine,frustration,0,,
venusaur,colosseum,machine,hidden-power,0,,
venusaur,colosseum,machine,sunny-day,0,,
venusaur,colosseum,machine,rock-smash,0,,
venusaur,colosseum,machine,facade,0,,
venusaur,colosseum,machine,secret-power,0,,
venusaur,colosseum,machine,bullet-seed,0,,
venusaur,xd,level-up,vine-whip,1,4,
venusaur,xd,level-up,tackle,1,1,
venusaur,xd,level-up,growl,1,2,
venusaur,xd,level-up,leech-seed,1,3,
venusaur,xd,level-up,growl,4,,
venusaur,xd,level-up,leech-seed,7,,
venusaur,xd,level-up,vine-whip,10,,
venusaur,xd,level-up,poison-powder,15,,
venusaur,xd,level-up,sleep-powder,15,5,
venusaur,xd,level-up,razor-leaf,22,,
venusaur,xd,level-up,sweet-scent,29,,
venusaur,xd,level-up,growth,41,,
venusaur,xd,level-up,synthesis,53,,
venusaur,xd,level-up,solar-beam,65,,
venusaur,xd,tutor,body-slam,0,,
venusaur,xd,tutor,double-edge,0,,
venusaur,xd,tutor,mimic,0,,
venusaur,xd,tutor,substitute,0,,
venusaur,xd,tutor,swagger,0,,
venusaur,xd,machine,cut,0,,
venusaur,xd,machine,roar,0,,
venusaur,xd,machine,hyper-beam,0,,
venusaur,xd,machine,strength,0,,
venusaur,xd,machine,solar-beam,0,,
venusaur,xd,machine,earthquake,0,,
venusaur,xd,machine,toxic,0,,
venusaur,xd,machine,double-team,0,,
venusaur,xd,machine,flash,0,,
venusaur,xd,machine,rest,0,,
venusaur,xd,machine,protect,0,,
venusaur,xd,machine,sludge-bomb,0,,
venusaur,xd,machine,giga-drain,0,,
venusaur,xd,machine,attract,0,,
venusaur,xd,machine,return,0,,
venusaur,xd,machine,frustration,0,,
venusaur,xd,machine,hidden-power,0,,
venusaur,xd,machine,sunny-day,0,,
venusaur,xd,machine,rock-smash,0,,
venusaur,xd,machine,facade,0,,
venusaur,xd,machine,secret-power,0,,
venusaur,xd,machine,bullet-seed,0,,
charmander,colosseum,level-up,scratch,1,1,
charmander,colosseum,level-up,growl,1,2,
charmander,colosseum,level-up,ember,7,,
charmander,colosseum,level-up,smokescreen,13,,
charmander,colosseum,level-up,rage,19,,
charmander,colosseum,level-up,scary-face,25,,
charmander,colosseum,level-up,flamethrower,31,,
charmander,colosseum,level-up,slash,37,,
charmander,colosseum,level-up,dragon-rage,43,,
