id,location,area,game_index,name_en,name_fr,name_de
1,canalave-city,,1,Canalave City,Joliberges,Fleetburg
2,eterna-city,,2,Eterna City,Vestigion,Ewigenau
3,pastoria-city,,3,Pastoria City,Verchamps,Weideburg
4,sunyshore-city,,4,Sunyshore City,Rivamar,Sonnewik
5,sinnoh-pokemon-league,,5,Sinnoh League,Ligue Pokémon,Pokémon-Liga
6,oreburgh-mine,1f,6,Oreburgh mine (1F),Mine Charbourg (RdC),Erzelingen-Mine (EG)
7,oreburgh-mine,b1f,7,Oreburgh mine (B1F),Mine Charbourg (sous-sol),Erzelingen-Mine (1.UG)
8,valley-windworks,,8,Valley Windworks,Les Eoliennes,Windkraftwerk
9,eterna-forest,,9,Eterna Forest,Forêt Vestigion,Ewigwald
10,fuego-ironworks,,10,Fuego Ironworks,Forge Fuego,Feurio-Hütte
11,mt-coronet,1f-route-207,11,Mount Coronet (1F Road 207),Mont Couronné (RdC côté route 207),Kraterberg (EG Route 207)
12,mt-coronet,2f,12,Mount Coronet (2F),Mont Couronné (1er ét.),Kraterberg (1.OG)
13,mt-coronet,3f,13,Mount Coronet (3F),Mont Couronné (2e ét.),Kraterberg (2.OG)
14,mt-coronet,exterior-snowfall,14,Mount Coronet (exterior snowfall),Mont Couronné (extérieur neige),Kraterberg (Außenbereich Schneefall)
15,mt-coronet,exterior-blizzard,15,Mount Coronet (exterior blizzard),Mont Couronné (extérieur blizzard),Kraterberg (Außenbereich Schneesturm)
16,mt-coronet,4f,16,Mount Coronet (4F),Mont Couronné (3e ét.),Kraterberg (3.OG)
17,mt-coronet,4f-small-room,17,Mount Coronet (4F small room),"Mont Couronné (3e ét., petite salle)","Kraterberg (3.OG, kleiner Raum)"
18,mt-coronet,5f,18,Mount Coronet (5F),Mont Couronné (4e ét.),Kraterberg (4.OG)
19,mt-coronet,6f,19,Mount Coronet (6F),Mont Couronné (5e ét.),Kraterberg (5.OG)
20,mt-coronet,1f-from-exterior,20,Mount Coronet (1F from exterior),Mont Couronné (RdC depuis l'extérieur),Kraterberg (EG vom Außenbereich)
21,mt-coronet,1f-route-216,21,Mount Coronet (1F Road 216),Mont Couronné (RdC côté route 216),Kraterberg (EG Route 216)
22,mt-coronet,1f-route-211,22,Mount Coronet (1F Road 211),Mont Couronné (RdC côté route 211),Kraterberg (EG Route 211)
23,mt-coronet,b1f,23,Mount Coronet (B1F),Mont Couronné (sous-sol),Kraterberg (1.UG)
24,great-marsh,area-1,24,Great Marsh Area 1,Grand Marais Zone 1,Großmoor Areal 1
25,great-marsh,area-2,25,Great Marsh Area 2,Grand Marais Zone 2,Großmoor Areal 2
26,great-marsh,area-3,26,Great Marsh Area 3,Grand Marais Zone 3,Großmoor Areal 3
27,great-marsh,area-4,27,Great Marsh Area 4,Grand Marais Zone 4,Großmoor Areal 4
28,great-marsh,area-5,28,Great Marsh Area 5,Grand Marais Zone 5,Großmoor Areal 5
29,great-marsh,area-6,29,Great Marsh Area 6,Grand Marais Zone 6,Großmoor Areal 6
30,solaceon-ruins,2f,30,Solaceon Ruins (2F),Ruines Bonville (étage),Trostu-Ruinen (1.OG)
31,solaceon-ruins,1f,31,Solaceon Ruins (1F),Ruines Bonville (RdC),Trostu-Ruinen (EG)
32,solaceon-ruins,b1f-a,32,Solaceon Ruins (B1F A),Ruines Bonville (1er s-sol A),Trostu-Ruinen (1.UG A)
33,solaceon-ruins,b1f-b,33,Solaceon Ruins (B1F B),Ruines Bonville (1er s-sol B),Trostu-Ruinen (1.UG B)
34,solaceon-ruins,b1f-c,34,Solaceon Ruins (B1F C),Ruines Bonville (1er s-sol C),Trostu-Ruinen (1.UG C)
35,solaceon-ruins,b2f-a,35,Solaceon Ruins (B2F A),Ruines Bonville (2e s-sol A),Trostu-Ruinen (2.UG A)
36,solaceon-ruins,b2f-b,36,Solaceon Ruins (B2F B),Ruines Bonville (2e s-sol B),Trostu-Ruinen (2.UG B)
37,solaceon-ruins,b2f-c,37,Solaceon Ruins (B2F C),Ruines Bonville (2e s-sol C),Trostu-Ruinen (2.UG C)
38,solaceon-ruins,b3f-a,38,Solaceon Ruins (B3F A),Ruines Bonville (3e s-sol A),Trostu-Ruinen (3.UG A)
39,solaceon-ruins,b3f-b,39,Solaceon Ruins (B3F B),Ruines Bonville (3e s-sol B),Trostu-Ruinen (3.UG B)
40,solaceon-ruins,b3f-c,40,Solaceon Ruins (B3F C),Ruines Bonville (3e s-sol C),Trostu-Ruinen (3.UG C)
41,solaceon-ruins,b3f-d,41,Solaceon Ruins (B3F D),Ruines Bonville (3e s-sol D),Trostu-Ruinen (3.UG D)
42,solaceon-ruins,b3f-e,42,Solaceon Ruins (B3F E),Ruines Bonville (3e s-sol E),Trostu-Ruinen (3.UG E)
43,solaceon-ruins,b4f-a,43,Solaceon Ruins (B4F A),Ruines Bonville (4e s-sol A),Trostu-Ruinen (4.UG A)
44,solaceon-ruins,b4f-b,44,Solaceon Ruins (B4F B),Ruines Bonville (4e s-sol B),Trostu-Ruinen (4.UG B)
45,solaceon-ruins,b4f-c,45,Solaceon Ruins (B4F C),Ruines Bonville (4e s-sol C),Trostu-Ruinen (4.UG C)
46,solaceon-ruins,b4f-d,46,Solaceon Ruins (B4F D),Ruines Bonville (4e s-sol D),Trostu-Ruinen (4.UG D)
47,solaceon-ruins,b5f,47,Solaceon Ruins (B5F),Ruines Bonville (5e s-sol),Trostu-Ruinen (5.UG)
48,sinnoh-victory-road,1f,48,Victory Road (1F),Route Victoire (RdC),Siegesstraße (EG)
49,sinnoh-victory-road,2f,49,Victory Road (2F),Route Victoire (étage),Siegesstraße (1.OG)
50,sinnoh-victory-road,b1f,50,Victory Road (B1F),Route Victoire (sous-sol),Siegesstraße (1.UG)
51,sinnoh-victory-road,inside-b1f,51,Victory Road (inside B1F),Route Victoire (intérieur sous-sol),"Siegesstraße (innen, 1.UG)"
52,sinnoh-victory-road,inside,52,Victory Road (inside),Route Victoire (intérieur),Siegesstraße inside
53,sinnoh-victory-road,inside-exit,53,Victory Road (inside exit),"Route Victoire (intérieur, sortie)","Siegesstraße (innen, Ausgang)"
54,ravaged-path,,54,Ravaged Path,Chemin Rocheux,Verwüsteter Pfad
55,oreburgh-gate,1f,55,Oreburgh Gate (1F),Entrée Charbourg (RdC),Erzelingen-Tor (EG)
56,oreburgh-gate,b1f,56,Oreburgh Gate (B1F),Entrée Charbourg (sous-sol),Erzelingen-Tor (1.UG)
57,stark-mountain,,57,Stark Mountain exterior,Mont Abrupt (extérieur),Kahlberg (Außenbereich)
58,stark-mountain,entrance,58,Stark Mountain entrance,Mont Abrupt (entrée),Kahlberg (Eingang)
59,stark-mountain,inside,59,Stark Mountain main cavern,Mont Abrupt (caverne principale),Kahlberg (Hauptgrotte)
60,sendoff-spring,,60,Sendoff Spring,Source Adieu,Scheidequelle
61,turnback-cave,pillar-1,61,Turnback Cave (pillar 1),Grotte Retour (1er pilier),Höhle der Umkehr (Säule 1)
