location,generation,game_index
canalave-city,4,7
eterna-city,4,9
pastoria-city,4,11
sunyshore-city,4,13
sinnoh-pokemon-league,4,15
oreburgh-mine,4,46
valley-windworks,4,47
eterna-forest,4,48
fuego-ironworks,4,49
mt-coronet,4,50
great-marsh,4,52
solaceon-ruins,4,53
sinnoh-victory-road,4,54
ravaged-path,4,57
oreburgh-gate,4,59
stark-mountain,4,84
spring-path,4,75
turnback-cave,4,62
snowpoint-temple,4,64
wayward-cave,4,65
ruin-maniac-cave,4,66
trophy-garden,4,68
iron-island,4,69
old-chateau,4,70
lake-verity,4,76
lake-valor,4,77
lake-acuity,4,78
valor-lakefront,4,73
acuity-lakefront,4,74
sinnoh-route-201,4,16
sinnoh-route-202,4,17
sinnoh-route-203,4,18
sinnoh-route-204,4,19
sinnoh-route-205,4,20
sinnoh-route-206,4,21
sinnoh-route-207,4,22
sinnoh-route-208,4,23
sinnoh-route-209,4,24
sinnoh-route-210,4,25
sinnoh-route-211,4,26
sinnoh-route-212,4,27
sinnoh-route-213,4,28
sinnoh-route-214,4,29
sinnoh-route-215,4,30
sinnoh-route-216,4,31
sinnoh-route-217,4,32
sinnoh-route-218,4,33
sinnoh-route-219,4,34
sinnoh-route-221,4,36
sinnoh-route-222,4,37
sinnoh-route-224,4,39
sinnoh-route-225,4,40
sinnoh-route-227,4,42
sinnoh-route-228,4,43
sinnoh-route-229,4,44
twinleaf-town,4,1
celestic-town,4,5
resort-area,4,83
sinnoh-sea-route-220,4,35
sinnoh-sea-route-223,4,38
sinnoh-sea-route-226,4,41
sinnoh-sea-route-230,4,45
blackthorn-city,2,41
blackthorn-city,4,136
burned-tower,2,24
burned-tower,4,206
celadon-city,1,7
celadon-city,2,71
celadon-city,3,94
celadon-city,4,144
cerulean-city,1,4
cerulean-city,2,55
cerulean-city,3,91
cerulean-city,4,141
cherrygrove-city,2,3
cherrygrove-city,4,127
cianwood-city,2,33
cianwood-city,4,130
cinnabar-island,1,9
cinnabar-island,2,85
cinnabar-island,3,96
cinnabar-island,4,146
dark-cave,2,44
dark-cave,4,220
digletts-cave,1,47
digletts-cave,2,62
digletts-cave,3,131
digletts-cave,4,197
dragons-den,2,42
dragons-den,4,222
ecruteak-city,2,22
ecruteak-city,4,133
fuchsia-city,1,8
fuchsia-city,2,81
fuchsia-city,3,95
fuchsia-city,4,145
ice-path,2,40
ice-path,4,217
ilex-forest,2,14
ilex-forest,4,214
lake-of-rage,2,38
lake-of-rage,4,135
mt-moon,1,38
mt-moon,2,53
mt-moon,3,127
mt-moon,4,198
mt-mortar,2,35
mt-mortar,4,216
mt-silver,4,137
national-park,2,19
national-park,4,207
new-bark-town,2,1
new-bark-town,4,126
olivine-city,2,27
olivine-city,4,132
pallet-town,1,1
pallet-town,2,47
pallet-town,3,88
pallet-town,4,138
rock-tunnel,1,39
rock-tunnel,2,66
rock-tunnel,3,138
rock-tunnel,4,200
kanto-route-1,1,12
kanto-route-1,2,48
kanto-route-1,3,101
kanto-route-1,4,149
kanto-route-10,1,21
kanto-route-10,2,67
kanto-route-10,3,110
kanto-route-10,4,158
kanto-route-11,1,22
kanto-route-11,2,73
kanto-route-11,3,111
kanto-route-11,4,159
kanto-route-12,1,23
kanto-route-12,2,74
kanto-route-12,3,112
kanto-route-12,4,160
kanto-route-13,1,24
kanto-route-13,2,75
kanto-route-13,3,113
kanto-route-13,4,161
kanto-route-14,1,25
kanto-route-14,2,76
kanto-route-14,3,114
kanto-route-14,4,162
kanto-route-15,1,26
kanto-route-15,2,77
kanto-route-15,3,115
kanto-route-15,4,163
kanto-route-16,1,27
kanto-route-16,2,78
kanto-route-16,3,116
kanto-route-16,4,164
kanto-route-17,1,28
kanto-route-17,2,79
kanto-route-17,3,117
kanto-route-17,4,165
kanto-route-18,1,29
kanto-route-18,2,80
kanto-route-18,3,118
kanto-route-18,4,166
kanto-sea-route-19,1,30
kanto-sea-route-19,2,82
kanto-sea-route-19,3,119
kanto-sea-route-19,4,167
kanto-route-2,1,13
kanto-route-2,2,50
kanto-route-2,3,102
kanto-route-2,4,150
kanto-sea-route-20,1,31
kanto-sea-route-20,2,83
kanto-sea-route-20,3,120
kanto-sea-route-20,4,168
kanto-sea-route-21,1,32
kanto-sea-route-21,2,86
kanto-sea-route-21,3,121
kanto-sea-route-21,4,169
kanto-route-22,1,33
kanto-route-22,2,87
kanto-route-22,3,122
kanto-route-22,4,170
kanto-route-24,1,35
kanto-route-24,2,56
kanto-route-24,3,124
kanto-route-24,4,172
kanto-route-25,1,36
kanto-route-25,2,57
kanto-route-25,3,125
kanto-route-25,4,173
kanto-route-26,2,91
kanto-route-26,4,174
kanto-route-27,2,92
kanto-route-27,4,175
kanto-route-28,2,94
kanto-route-28,4,176
johto-route-29,2,2
johto-route-29,4,177
kanto-route-3,1,14
kanto-route-3,2,52
kanto-route-3,3,103
kanto-route-3,4,151
johto-route-30,2,4
johto-route-30,4,178
johto-route-31,2,5
johto-route-31,4,179
johto-route-32,2,8
johto-route-32,4,180
johto-route-33,2,11
johto-route-33,4,181
johto-route-34,2,15
johto-route-34,4,182
johto-route-35,2,18
johto-route-35,4,183
johto-route-36,2,20
johto-route-36,4,184
johto-route-37,2,21
johto-route-37,4,185
johto-route-38,2,25
johto-route-38,4,186
johto-route-39,2,26
johto-route-39,4,187
kanto-route-4,1,15
kanto-route-4,2,54
kanto-route-4,3,104
kanto-route-4,4,152
johto-sea-route-40,2,30
