identifier,id,region,name_fr,subtitle_fr,name_de,subtitle_de,name_en,subtitle_en,name_ja_hrkt,subtitle_ja_hrkt,name_ko,subtitle_ko,name_es,subtitle_es,name_it,subtitle_it,name_ja,subtitle_ja,name_es_419,subtitle_es_419,name_zh_hant,subtitle_zh_hant,name_zh_hans,subtitle_zh_hans
canalave-city,1,sinnoh,Joliberges,,Fleetburg,,Canalave City,,,,,,,,,,,,,,,,,
eterna-city,2,sinnoh,Vestigion,,Ewigenau,,Eterna City,,,,,,,,,,,,,,,,,
pastoria-city,3,sinnoh,Verchamps,,Weideburg,,Pastoria City,,,,,,,,,,,,,,,,,
sunyshore-city,4,sinnoh,Rivamar,,Sonnewik,,Sunyshore City,,,,,,,,,,,,,,,,,
sinnoh-pokemon-league,5,sinnoh,Ligue Pokémon,,Pokémon-Liga,,Pokémon League,,,,,,,,,,,,,,,,,
oreburgh-mine,6,sinnoh,Mine Charbourg,,Erzelingen-Mine,,Oreburgh Mine,,,,,,,,,,,,,,,,,
valley-windworks,7,sinnoh,Les Eoliennes,,Windkraftwerk,,Valley Windworks,,,,,,,,,,,,,,,,,
eterna-forest,8,sinnoh,Forêt Vestigion,,Ewigwald,,Eterna Forest,,,,,,,,,,,,,,,,,
fuego-ironworks,9,sinnoh,Forge Fuego,,Feurio-Hütte,,Fuego Ironworks,,,,,,,,,,,,,,,,,
mt-coronet,10,sinnoh,Mont Couronné,,Kraterberg,,Mt. Coronet,,,,,,,,,,,,,,,,,
great-marsh,11,sinnoh,Grand Marais,,Großmoor,,Great Marsh,,,,,,,,,,,,,,,,,
solaceon-ruins,12,sinnoh,Ruines Bonville,,Trostu-Ruinen,,Solaceon Ruins,,,,,,,,,,,,,,,,,
sinnoh-victory-road,13,sinnoh,Route Victoire,,Siegesstraße,,Victory Road,,,,,,,,,,,,,,,,,
ravaged-path,14,sinnoh,Chemin Rocheux,,Verwüsteter Pfad,,Ravaged Path,,,,,,,,,,,,,,,,,
oreburgh-gate,15,sinnoh,Entrée Charbourg,,Erzelingen-Tor,,Oreburgh Gate,,,,,,,,,,,,,,,,,
stark-mountain,16,sinnoh,Mont Abrupt,,Kahlberg,,Stark Mountain,,,,,,,,,,,,,,,,,
spring-path,17,sinnoh,Chemin Source,,Quellenpfad,,Spring Path,,,,,,,,,,,,,,,,,
turnback-cave,18,sinnoh,Grotte Retour,,Höhle der Umkehr,,Turnback Cave,,,,,,,,,,,,,,,,,
snowpoint-temple,19,sinnoh,Temple Frimapic,,Blizzach-Tempel,,Snowpoint Temple,,,,,,,,,,,,,,,,,
wayward-cave,20,sinnoh,Grotte Revèche,,Bizarre Höhle,,Wayward Cave,,,,,,,,,,,,,,,,,
ruin-maniac-cave,22,sinnoh,Grotte Ruinem.,,Maniac-Tunnel,,Ruin Maniac Cave,,,,,,,,,,,,,,,,,
trophy-garden,23,sinnoh,Jardin Trophée,,Pokémon-Landgut,,Trophy Garden,,,,,,,,,,,,,,,,,
iron-island,24,sinnoh,Ile de Fer,,Eiseninsel,,Iron Island,,,,,,,,,,,,,,,,,
old-chateau,25,sinnoh,Vieux Château,,Alte Villa,,Old Chateau,,,,,,,,,,,,,,,,,
lake-verity,26,sinnoh,Lac Vérité,,See der Wahrheit,,Lake Verity,,,,,,,,,,,,,,,,,
lake-valor,27,sinnoh,Lac Courage,,See der Kühnheit,,Lake Valor,,,,,,,,,,,,,,,,,
lake-acuity,28,sinnoh,Lac Savoir,,See der Stärke,,Lake Acuity,,,,,,,,,,,,,,,,,
valor-lakefront,29,sinnoh,Rive Lac Courage,,Kühnheitsufer,,Valor Lakefront,,,,,,,,,,,,,,,,,
acuity-lakefront,30,sinnoh,Rive Lac Savoir,,Stärkeufer,,Acuity Lakefront,,,,,,,,,,,,,,,,,
sinnoh-route-201,31,sinnoh,Route 201,,Route 201,,Route 201,,,,,,,,,,,,,,,,,
sinnoh-route-202,32,sinnoh,Route 202,,Route 202,,Route 202,,,,,,,,,,,,,,,,,
sinnoh-route-203,33,sinnoh,Route 203,,Route 203,,Route 203,,,,,,,,,,,,,,,,,
sinnoh-route-204,34,sinnoh,Route 204,,Route 204,,Route 204,,,,,,,,,,,,,,,,,
sinnoh-route-205,35,sinnoh,Route 205,,Route 205,,Route 205,,,,,,,,,,,,,,,,,
sinnoh-route-206,36,sinnoh,Route 206,,Route 206,,Route 206,,,,,,,,,,,,,,,,,
sinnoh-route-207,37,sinnoh,Route 207,,Route 207,,Route 207,,,,,,,,,,,,,,,,,
sinnoh-route-208,38,sinnoh,Route 208,,Route 208,,Route 208,,,,,,,,,,,,,,,,,
sinnoh-route-209,39,sinnoh,Route 209,,Route 209,,Route 209,,,,,,,,,,,,,,,,,
lost-tower,40,sinnoh,Tour Perdue,,Turm der Ruhenden,,Lost Tower,,,,,,,,,,,,,,,,,
sinnoh-route-210,41,sinnoh,Route 210,,Route 210,,Route 210,,,,,,,,,,,,,,,,,
sinnoh-route-211,42,sinnoh,Route 211,,Route 211,,Route 211,,,,,,,,,,,,,,,,,
sinnoh-route-212,43,sinnoh,Route 212,,Route 212,,Route 212,,,,,,,,,,,,,,,,,
sinnoh-route-213,44,sinnoh,Route 213,,Route 213,,Route 213,,,,,,,,,,,,,,,,,
sinnoh-route-214,45,sinnoh,Route 214,,Route 214,,Route 214,,,,,,,,,,,,,,,,,
sinnoh-route-215,46,sinnoh,Route 215,,Route 215,,Route 215,,,,,,,,,,,,,,,,,
sinnoh-route-216,47,sinnoh,Route 216,,Route 216,,Route 216,,,,,,,,,,,,,,,,,
sinnoh-route-217,48,sinnoh,Route 217,,Route 217,,Route 217,,,,,,,,,,,,,,,,,
sinnoh-route-218,49,sinnoh,Route 218,,Route 218,,Route 218,,,,,,,,,,,,,,,,,
sinnoh-route-219,50,sinnoh,Route 219,,Route 219,,Route 219,,,,,,,,,,,,,,,,,
sinnoh-route-221,51,sinnoh,Route 221,,Route 221,,Route 221,,,,,,,,,,,,,,,,,
sinnoh-route-222,52,sinnoh,Route 222,,Route 222,,Route 222,,,,,,,,,,,,,,,,,
sinnoh-route-224,53,sinnoh,Route 224,,Route 224,,Route 224,,,,,,,,,,,,,,,,,
sinnoh-route-225,54,sinnoh,Route 225,,Route 225,,Route 225,,,,,,,,,,,,,,,,,
sinnoh-route-227,55,sinnoh,Route 227,,Route 227,,Route 227,,,,,,,,,,,,,,,,,
sinnoh-route-228,56,sinnoh,Route 228,,Route 228,,Route 228,,,,,,,,,,,,,,,,,
sinnoh-route-229,57,sinnoh,Route 229,,Route 229,,Route 229,,,,,,,,,,,,,,,,,
twinleaf-town,58,sinnoh,Bonaugure,,Zweiblattdorf,,Twinleaf Town,,,,,,,,,,,,,,,,,
celestic-town,59,sinnoh,Célestia,,Elyses,,Celestic Town,,,,,,,,,,,,,,,,,
resort-area,60,sinnoh,Aire de Détente,,Erholungsareal,,Resort Area,,,,,,,,,,,,,,,,,
sinnoh-sea-route-220,61,sinnoh,Chenal 220,,Route 220,,Sea Route 220,,,,,,,,,,,,,,,,,
sinnoh-sea-route-223,62,sinnoh,Chenal 223,,Route 223,,Sea Route 223,,,,,,,,,,,,,,,,,
sinnoh-sea-route-226,63,sinnoh,Chenal 226,,Route 226,,Sea Route 226,,,,,,,,,,,,,,,,,
sinnoh-sea-route-230,64,sinnoh,Chenal 230,,Route 230,,Sea Route 230,,,,,,,,,,,,,,,,,
blackthorn-city,65,johto,Ebènelle,,Ebenholz City,,Blackthorn City,,,,,,,,,,,,,,,,,
burned-tower,66,johto,Tour Cendrée,,Turmruine,,Burned Tower,,,,,,,,,,,,,,,,,
celadon-city,67,kanto,Céladopole,,Prismania City,,Celadon City,,,,,,,,,,,,,,,,,
cerulean-city,68,kanto,Azuria,,Azuria City,,Cerulean City,,,,,,,,,,,,,,,,,
cherrygrove-city,69,johto,Ville Griotte,,Rosalia City,,Cherrygrove City,,,,,,,,,,,,,,,,,
cianwood-city,70,johto,Irisia,,Anemonia City,,Cianwood City,,,,,,,,,,,,,,,,,
cinnabar-island,71,kanto,Cramois'Ile,,Zinnoberinsel,,Cinnabar Island,,,,,,,,,,,,,,,,,
dark-cave,72,johto,Antre Noir,,Dunkelhöhle,,Dark Cave,,,,,,,,,,,,,,,,,
digletts-cave,73,kanto,Cave TAUPIQUEUR,,Digda-Höhle,,Diglett's Cave,,,,,,,,,,,,,,,,,
dragons-den,74,johto,Antre du Dragon,,Drachenhöhle,,Dragon's Den,,,,,,,,,,,,,,,,,
ecruteak-city,75,johto,Rosalia,,Teak City,,Ecruteak City,,,,,,,,,,,,,,,,,
fuchsia-city,76,kanto,Parmanie,,Fuchsania City,,Fuchsia City,,,,,,,,,,,,,,,,,
ice-path,77,johto,Route de Glace,,Eispfad,,Ice Path,,,,,,,,,,,,,,,,,
ilex-forest,78,johto,Bois aux Chênes,,Steineichenwald,,Ilex Forest,,,,,,,,,,,,,,,,,
lake-of-rage,79,johto,Lac Colère,,See des Zorns,,Lake of Rage,,,,,,,,,,,,,,,,,
mt-moon,80,kanto,Mont Sélénite,,Mondberg,,Mt. Moon,,,,,,,,,,,,,,,,,
mt-mortar,81,johto,Mont Creuset,,Kesselberg,,Mt. Mortar,,,,,,,,,,,,,,,,,
mt-silver,82,johto,Mont Argenté,,Silberberg,,Mt. Silver,,,,,,,,,,,,,,,,,
national-park,83,johto,Parc Naturel,,Nationalpark,,National Park,,,,,,,,,,,,,,,,,
new-bark-town,84,johto,Bourg Geon,,Neuborkia,,New Bark Town,,,,,,,,,,,,,,,,,
olivine-city,85,johto,Oliville,,Oliviana City,,Olivine City,,,,,,,,,,,,,,,,,
pallet-town,86,kanto,Bourg Palette,,Alabastia,,Pallet Town,,,,,,,,,,,,,,,,,
rock-tunnel,87,kanto,Grotte,,Felstunnel,,Rock Tunnel,,,,,,,,,,,,,,,,,
kanto-route-1,88,kanto,Route 1,,Route 1,,Route 1,,,,,,,,,,,,,,,,,
kanto-route-10,89,kanto,Route 10,,Route 10,,Route 10,,,,,,,,,,,,,,,,,
kanto-route-11,90,kanto,Route 11,,Route 11,,Route 11,,,,,,,,,,,,,,,,,
kanto-route-12,91,kanto,Route 12,,Route 12,,Route 12,,,,,,,,,,,,,,,,,
kanto-route-13,92,kanto,Route 13,,Route 13,,Route 13,,,,,,,,,,,,,,,,,
kanto-route-14,93,kanto,Route 14,,Route 14,,Route 14,,,,,,,,,,,,,,,,,
kanto-route-15,94,kanto,Route 15,,Route 15,,Route 15,,,,,,,,,,,,,,,,,
kanto-route-16,95,kanto,Route 16,,Route 16,,Route 16,,,,,,,,,,,,,,,,,
kanto-route-17,96,kanto,Route 17,,Route 17,,Route 17,,,,,,,,,,,,,,,,,
kanto-route-18,97,kanto,Route 18,,Route 18,,Route 18,,,,,,,,,,,,,,,,,
kanto-sea-route-19,98,kanto,Chenal 19,,Route 19,,Sea Route 19,,,,,,,,,,,,,,,,,
kanto-route-2,99,kanto,Route 2,,Route 2,,Route 2,,,,,,,,,,,,,,,,,
kanto-sea-route-20,100,kanto,Chenal 20,,Route 20,,Sea Route 20,,,,,,,,,,,,,,,,,
kanto-sea-route-21,101,kanto,Chenal 21,,Route 21,,Sea Route 21,,,,,,,,,,,,,,,,,
kanto-route-22,102,kanto,Route 22,,Route 22,,Route 22,,,,,,,,,,,,,,,,,
kanto-route-24,103,kanto,Route 24,,Route 24,,Route 24,,,,,,,,,,,,,,,,,
kanto-route-25,104,kanto,Route 25,,Route 25,,Route 25,,,,,,,,,,,,,,,,,
kanto-route-26,105,kanto,Route 26,,Route 26,,Route 26,,,,,,,,,,,,,,,,,
kanto-route-27,106,kanto,Route 27,,Route 27,,Route 27,,,,,,,,,,,,,,,,,
kanto-route-28,107,kanto,Route 28,,Route 28,,Route 28,,,,,,,,,,,,,,,,,
johto-route-29,108,johto,Route 29,,Route 29,,Route 29,,,,,,,,,,,,,,,,,
kanto-route-3,109,kanto,Route 3,,Route 3,,Route 3,,,,,,,,,,,,,,,,,
johto-route-30,110,johto,Route 30,,Route 30,,Route 30,,,,,,,,,,,,,,,,,
johto-route-31,111,johto,Route 31,,Route 31,,Route 31,,,,,,,,,,,,,,,,,
johto-route-32,112,johto,Route 32,,Route 32,,Route 32,,,,,,,,,,,,,,,,,
johto-route-33,113,johto,Route 33,,Route 33,,Route 33,,,,,,,,,,,,,,,,,
johto-route-34,114,johto,Route 34,,Route 34,,Route 34,,,,,,,,,,,,,,,,,
johto-route-35,115,johto,Route 35,,Route 35,,Route 35,,,,,,,,,,,,,,,,,
johto-route-36,116,johto,Route 36,,Route 36,,Route 36,,,,,,,,,,,,,,,,,
johto-route-37,117,johto,Route 37,,Route 37,,Route 37,,,,,,,,,,,,,,,,,
johto-route-38,118,johto,Route 38,,Route 38,,Route 38,,,,,,,,,,,,,,,,,
