identifier,name,type,region_area
abandoned-ship,Abandoned Ship,Landmarks,hoenn
abundant-shrine,Abundant Shrine,Landmarks,unova
accumula-town,Accumula Town,Settlements,unova
acuity-lakefront,Acuity Lakefront,Landmarks,sinnoh
aether-house,Aether House,Landmarks,alola
aether-paradise,Aether Paradise,Islands,alola
aipom-hill,Aipom Hill,Cobalt Coastlands,hisui
akala-outskirts,Akala Outskirts,Landmarks,alola
alabaster-icelands,Alabaster Icelands,Alabaster Icelands,hisui
alfornada-cavern,Alfornada Cavern,South Province,paldea
alola-route-01,Alola Route 1,Routes,alola
alola-route-02,Alola Route 2,Routes,alola
alola-route-03,Alola Route 3,Routes,alola
alola-route-04,Alola Route 4,Routes,alola
alola-route-05,Alola Route 5,Routes,alola
alola-route-06,Alola Route 6,Routes,alola
alola-route-07,Alola Route 7,Routes,alola
alola-route-08,Alola Route 8,Routes,alola
alola-route-09,Alola Route 9,Routes,alola
alola-route-10,Alola Route 10,Routes,alola
alola-route-11,Alola Route 11,Routes,alola
alola-route-12,Alola Route 12,Routes,alola
alola-route-13,Alola Route 13,Routes,alola
alola-route-14,Alola Route 14,Routes,alola
alola-route-15,Alola Route 15,Routes,alola
alola-route-16,Alola Route 16,Routes,alola
alola-route-17,Alola Route 17,Routes,alola
altar-of-the-moone,Altar of the Moone,Landmarks,alola
altar-of-the-sunne,Altar of the Sunne,Landmarks,alola
altering-cave-sevii-islands,Altering Cave (Sevii Islands),Landmarks,sevii-islands
ambrette-town,Ambrette Town,Settlements,kalos
ancient-poni-path,Ancient Poni Path,Landmarks,alola
ancient-quarry,Ancient Quarry,Coronet Highlands,hisui
ancient-retreat,Ancient Retreat,Landmarks,hisui
ancient-tomb,Ancient Tomb,Landmarks,hoenn
apple-hills,Apple Hills,Areas,kitakami
aquacorde-town,Aquacorde Town,Settlements,kalos
area-zero,Area Zero,Area Zero,paldea
area-zero-underdepths,Area Zero Underdepths,Area Zero,paldea
arenas-approach,Arena's Approach,Alabaster Icelands,hisui
artisan-cave,Artisan Cave,Landmarks,hoenn
asado-desert,Asado Desert,West Province,paldea
