version_group,machine,machine_number,move
sword-shield,tm00,0,mega-punch
red-blue,tm01,1,mega-punch
yellow,tm01,1,mega-punch
gold-silver,tm01,1,dynamic-punch
crystal,tm01,1,dynamic-punch
ruby-sapphire,tm01,1,focus-punch
emerald,tm01,1,focus-punch
firered-leafgreen,tm01,1,focus-punch
diamond-pearl,tm01,1,focus-punch
platinum,tm01,1,focus-punch
heartgold-soulsilver,tm01,1,focus-punch
black-white,tm01,1,hone-claws
black-2-white-2,tm01,1,hone-claws
x-y,tm01,1,hone-claws
omega-ruby-alpha-sapphire,tm01,1,hone-claws
sun-moon,tm01,1,work-up
ultra-sun-ultra-moon,tm01,1,work-up
lets-go-pikachu-lets-go-eevee,tm01,1,headbutt
sword-shield,tm01,1,mega-kick
red-blue,tm02,2,razor-wind
yellow,tm02,2,razor-wind
gold-silver,tm02,2,headbutt
crystal,tm02,2,headbutt
ruby-sapphire,tm02,2,dragon-claw
emerald,tm02,2,dragon-claw
firered-leafgreen,tm02,2,dragon-claw
diamond-pearl,tm02,2,dragon-claw
platinum,tm02,2,dragon-claw
heartgold-soulsilver,tm02,2,dragon-claw
black-white,tm02,2,dragon-claw
black-2-white-2,tm02,2,dragon-claw
x-y,tm02,2,dragon-claw
omega-ruby-alpha-sapphire,tm02,2,dragon-claw
sun-moon,tm02,2,dragon-claw
ultra-sun-ultra-moon,tm02,2,dragon-claw
lets-go-pikachu-lets-go-eevee,tm02,2,taunt
sword-shield,tm02,2,pay-day
red-blue,tm03,3,swords-dance
yellow,tm03,3,swords-dance
gold-silver,tm03,3,curse
crystal,tm03,3,curse
ruby-sapphire,tm03,3,water-pulse
emerald,tm03,3,water-pulse
firered-leafgreen,tm03,3,water-pulse
diamond-pearl,tm03,3,water-pulse
platinum,tm03,3,water-pulse
heartgold-soulsilver,tm03,3,water-pulse
black-white,tm03,3,psyshock
black-2-white-2,tm03,3,psyshock
x-y,tm03,3,psyshock
omega-ruby-alpha-sapphire,tm03,3,psyshock
sun-moon,tm03,3,psyshock
ultra-sun-ultra-moon,tm03,3,psyshock
lets-go-pikachu-lets-go-eevee,tm03,3,helping-hand
sword-shield,tm03,3,fire-punch
red-blue,tm04,4,whirlwind
yellow,tm04,4,whirlwind
gold-silver,tm04,4,rollout
crystal,tm04,4,rollout
ruby-sapphire,tm04,4,calm-mind
emerald,tm04,4,calm-mind
firered-leafgreen,tm04,4,calm-mind
diamond-pearl,tm04,4,calm-mind
platinum,tm04,4,calm-mind
heartgold-soulsilver,tm04,4,calm-mind
black-white,tm04,4,calm-mind
black-2-white-2,tm04,4,calm-mind
x-y,tm04,4,calm-mind
omega-ruby-alpha-sapphire,tm04,4,calm-mind
sun-moon,tm04,4,calm-mind
ultra-sun-ultra-moon,tm04,4,calm-mind
lets-go-pikachu-lets-go-eevee,tm04,4,teleport
sword-shield,tm04,4,ice-punch
red-blue,tm05,5,mega-kick
yellow,tm05,5,mega-kick
gold-silver,tm05,5,roar
crystal,tm05,5,roar
ruby-sapphire,tm05,5,roar
