version_group,machine,machine_number,move
legends-za,tm01,1,headbutt
legends-za,tm02,2,dragon-claw
legends-za,tm03,3,psyshock
legends-za,tm04,4,rock-smash
legends-za,tm05,5,roar
legends-za,tm06,6,calm-mind
legends-za,tm07,7,toxic
legends-za,tm08,8,thunder-wave
legends-za,tm09,9,flip-turn
legends-za,tm10,10,brick-break
legends-za,tm11,11,bulk-up
legends-za,tm12,12,rock-slide
legends-za,tm13,13,ice-beam
legends-za,tm14,14,fire-fang
legends-za,tm15,15,ice-fang
legends-za,tm16,16,light-screen
legends-za,tm17,17,protect
legends-za,tm18,18,power-up-punch
legends-za,tm19,19,power-gem
legends-za,tm20,20,play-rough
legends-za,tm21,21,thunder-fang
legends-za,tm22,22,aerial-ace
legends-za,tm23,23,thunder-punch
legends-za,tm24,24,ice-punch
legends-za,tm25,25,crunch
legends-za,tm26,26,energy-ball
legends-za,tm27,27,swift
legends-za,tm28,28,dig
legends-za,tm29,29,fire-punch
legends-za,tm30,30,swords-dance
legends-za,tm31,31,reflect
legends-za,tm32,32,double-team
legends-za,tm33,33,body-slam
legends-za,tm34,34,night-slash
legends-za,tm35,35,endure
legends-za,tm36,36,rock-tomb
legends-za,tm37,37,stealth-rock
legends-za,tm38,38,fire-blast
legends-za,tm39,39,discharge
legends-za,tm40,40,bullet-seed
legends-za,tm41,41,water-pulse
legends-za,tm42,42,giga-drain
legends-za,tm43,43,fly
legends-za,tm44,44,hyper-beam
legends-za,tm45,45,knock-off
legends-za,tm46,46,mud-shot
legends-za,tm47,47,agility
legends-za,tm48,48,self-destruct
legends-za,tm49,49,icy-wind
legends-za,tm50,50,overheat
legends-za,tm51,51,safeguard
legends-za,tm52,52,earth-power
legends-za,tm53,53,sludge-bomb
legends-za,tm54,54,draco-meteor
legends-za,tm55,55,giga-impact
legends-za,tm56,56,double-edge
legends-za,tm57,57,will-o-wisp
legends-za,tm58,58,iron-head
legends-za,tm59,59,zen-headbutt
legends-za,tm60,60,future-sight
legends-za,tm61,61,shadow-claw
legends-za,tm62,62,flamethrower
legends-za,tm63,63,psychic
legends-za,tm64,64,solar-beam
legends-za,tm65,65,stone-edge
legends-za,tm66,66,volt-switch
legends-za,tm67,67,thunderbolt
legends-za,tm68,68,heat-wave
legends-za,tm69,69,earthquake
legends-za,tm70,70,whirlpool
legends-za,tm71,71,hyper-voice
legends-za,tm72,72,fire-spin
legends-za,tm73,73,surf
legends-za,tm74,74,shadow-ball
legends-za,tm75,75,dragon-pulse
legends-za,tm76,76,liquidation
legends-za,tm77,77,poison-jab
legends-za,tm78,78,bulldoze
legends-za,tm79,79,hurricane
legends-za,tm80,80,iron-defense
legends-za,tm81,81,x-scissor
legends-za,tm82,82,u-turn
legends-za,tm83,83,nasty-plot
legends-za,tm84,84,flash-cannon
legends-za,tm85,85,substitute
legends-za,tm86,86,wild-charge
legends-za,tm87,87,iron-tail
legends-za,tm88,88,spikes
legends-za,tm89,89,toxic-spikes
legends-za,tm90,90,dark-pulse
legends-za,tm91,91,curse
legends-za,tm92,92,dazzling-gleam
legends-za,tm93,93,outrage
legends-za,tm94,94,whirlwind
legends-za,tm95,95,taunt
legends-za,tm96,96,hydro-pump
legends-za,tm97,97,heal-block
legends-za,tm98,98,waterfall
legends-za,tm99,99,metronome
legends-za,tm100,100,gunk-shot
legends-za,tm101,101,electroweb
legends-za,tm102,102,focus-blast
legends-za,tm103,103,work-up
legends-za,tm104,104,flare-blitz
legends-za,tm105,105,blizzard
legends-za,tm106,106,thunder
legends-za,tm107,107,close-combat
mega-dimension,tm108,108,comet-punch
mega-dimension,tm109,109,facade
mega-dimension,tm110,110,chilling-water
mega-dimension,tm111,111,sing
mega-dimension,tm112,112,acid-spray
mega-dimension,tm113,113,low-sweep
mega-dimension,tm114,114,flame-charge
mega-dimension,tm115,115,trailblaze
mega-dimension,tm116,116,pay-day
mega-dimension,tm117,117,silver-wind
mega-dimension,tm118,118,shadow-punch
mega-dimension,tm119,119,ominous-wind
mega-dimension,tm120,120,ancient-power
mega-dimension,tm121,121,torment
mega-dimension,tm122,122,false-swipe
mega-dimension,tm123,123,poison-fang
mega-dimension,tm124,124,psychic-fangs
mega-dimension,tm125,125,mimic
mega-dimension,tm126,126,magnet-bomb
mega-dimension,tm127,127,dream-eater
mega-dimension,tm128,128,seed-bomb
mega-dimension,tm129,129,circle-throw
mega-dimension,tm130,130,charge-beam
mega-dimension,tm131,131,drain-punch
