version_group,machine,machine_number,move
colosseum,tm01,1,focus-punch
xd,tm01,1,focus-punch
colosseum,tm02,2,dragon-claw
xd,tm02,2,dragon-claw
colosseum,tm03,3,water-pulse
xd,tm03,3,water-pulse
colosseum,tm04,4,calm-mind
xd,tm04,4,calm-mind
colosseum,tm05,5,roar
xd,tm05,5,roar
colosseum,tm06,6,toxic
xd,tm06,6,toxic
colosseum,tm07,7,hail
xd,tm07,7,hail
colosseum,tm08,8,bulk-up
xd,tm08,8,bulk-up
colosseum,tm09,9,bullet-seed
xd,tm09,9,bullet-seed
colosseum,tm10,10,hidden-power
xd,tm10,10,hidden-power
colosseum,tm11,11,sunny-day
xd,tm11,11,sunny-day
colosseum,tm12,12,taunt
xd,tm12,12,taunt
colosseum,tm13,13,ice-beam
xd,tm13,13,ice-beam
colosseum,tm14,14,blizzard
xd,tm14,14,blizzard
colosseum,tm15,15,hyper-beam
xd,tm15,15,hyper-beam
colosseum,tm16,16,light-screen
xd,tm16,16,light-screen
colosseum,tm17,17,protect
xd,tm17,17,protect
colosseum,tm18,18,rain-dance
xd,tm18,18,rain-dance
colosseum,tm19,19,giga-drain
xd,tm19,19,giga-drain
colosseum,tm20,20,safeguard
xd,tm20,20,safeguard
colosseum,tm21,21,frustration
xd,tm21,21,frustration
colosseum,tm22,22,solar-beam
xd,tm22,22,solar-beam
colosseum,tm23,23,iron-tail
xd,tm23,23,iron-tail
colosseum,tm24,24,thunderbolt
xd,tm24,24,thunderbolt
colosseum,tm25,25,thunder
xd,tm25,25,thunder
colosseum,tm26,26,earthquake
xd,tm26,26,earthquake
colosseum,tm27,27,return
xd,tm27,27,return
colosseum,tm28,28,dig
xd,tm28,28,dig
colosseum,tm29,29,psychic
xd,tm29,29,psychic
colosseum,tm30,30,shadow-ball
xd,tm30,30,shadow-ball
colosseum,tm31,31,brick-break
xd,tm31,31,brick-break
colosseum,tm32,32,double-team
xd,tm32,32,double-team
colosseum,tm33,33,reflect
xd,tm33,33,reflect
colosseum,tm34,34,shock-wave
xd,tm34,34,shock-wave
colosseum,tm35,35,flamethrower
xd,tm35,35,flamethrower
colosseum,tm36,36,sludge-bomb
xd,tm36,36,sludge-bomb
colosseum,tm37,37,sandstorm
xd,tm37,37,sandstorm
colosseum,tm38,38,fire-blast
xd,tm38,38,fire-blast
colosseum,tm39,39,rock-tomb
xd,tm39,39,rock-tomb
colosseum,tm40,40,aerial-ace
xd,tm40,40,aerial-ace
colosseum,tm41,41,torment
xd,tm41,41,torment
colosseum,tm42,42,facade
xd,tm42,42,facade
colosseum,tm43,43,secret-power
xd,tm43,43,secret-power
colosseum,tm44,44,rest
xd,tm44,44,rest
colosseum,tm45,45,attract
xd,tm45,45,attract
colosseum,tm46,46,thief
xd,tm46,46,thief
colosseum,tm47,47,steel-wing
xd,tm47,47,steel-wing
colosseum,tm48,48,skill-swap
xd,tm48,48,skill-swap
colosseum,tm49,49,snatch
xd,tm49,49,snatch
colosseum,tm50,50,overheat
xd,tm50,50,overheat
colosseum,hm01,101,cut
xd,hm01,101,cut
colosseum,hm02,102,fly
xd,hm02,102,fly
colosseum,hm03,103,surf
xd,hm03,103,surf
colosseum,hm04,104,strength
xd,hm04,104,strength
colosseum,hm05,105,flash
xd,hm05,105,flash
colosseum,hm06,106,rock-smash
xd,hm06,106,rock-smash
colosseum,hm07,107,waterfall
xd,hm07,107,waterfall
colosseum,hm08,108,dive
xd,hm08,108,dive
