effect_id,changed_in_version_group,effect_en,effect_fr
8,black-white,"Halves the target’s Defense for damage calculation, which is similar to doubling the attack’s power.","Réduit de moitié la Defense pour le calcul des dommages, ce qui équivaut à doubler la puissance de l’attaque."
18,gold-silver,Hits Pokémon under the effects of Dig and Fly.,Touche les Pokémon sous les effets de Tunnel et Vol.
29,gold-silver,Does nothing in trainer battles.,Sans effet en combat de dresseurs.
38,diamond-pearl,Works while asleep through Sleep Talk if not at full health.,Fonctionne pendant le sommeil grâce à Blabla Dodo si les PV ne sont pas au maximum.
46,gold-silver,"If this move misses, the user takes 1 point of damage in recoil.","Si cette capacité échoue, le lanceur reçoit 1 point de dommage de recul."
46,black-white,"If this move misses, the user takes damage equal to half of its max HP rounded down.","Si cette capacité échoue, le lanceur reçoit des dommages égaux à la moitié de ses PV max arrondis à l’inférieur."
82,gold-silver,"Locks the user into this move.  Due to a bug, if this move misses, its accuracy drops to 1/256 as long as the user is still locked in.","Si cette capacité échoue, le lanceur reçoit des dommages égaux à la moitié de ses PV max arrondis à l’inférieur."
84,gold-silver,Can call any move except for Struggle and itself.,Peut utiliser n’importe quelle capacité à l’exception de Lutte et elle-même.
109,gold-silver,Does not interact with Stomp.,N’interagit pas avec Écrasement.
109,black-white,Raises evasion by one stage.,Augmente l'evasion de 1.
146,gold-silver,Does not raise Defense.,N’augmente pas la Defense.
148,gold-silver,Does not hit Pokémon under the effects of Dig.,Ne touche pas les Pokémon sous les effets de Tunnel.
150,gold-silver,Does not hit Pokémon under the effects of Fly.,Ne touche pas les Pokémon sous les effets de Vol.
151,gold-silver,Does not interact with Minimize.,N’interagit pas avec Lilliput.
153,gold-silver,Does not hit Pokémon under the effects of Fly.,Ne touche pas les Pokémon sous les effets de Vol.
155,black-white,Determines damage using each participant’s base Attack and the opponent’s base Defense in place of calculated stats.,Détermine les dommages en utilisant l’Attack de base du lanceur et de ses alliés et la Defense de base de l’adversaire à la place des stats calculées.
156,gold-silver,"Swift can hit the user while in the air, and no other moves can.  Due to a bug, if the user fails to carry out the move’s second turn, e.g. due to paralysis, it remains in the air until it switches out or uses Fly again successfully.  It can act as if it were on the ground in the meantime, but moves still miss it.","Météores peut toucher le lanceur lorsqu’il est dans les airs, contrairement aux autres capacités. En raison d’un bug, si l’utilisateur ne parvient pas à effectuer le deuxième tour de la capacité, par exemple à cause d’une paralysis, il reste en l’air jusqu’à ce qu’il soit rappelé ou qu’il utilise à nouveau Vol avec succès. Il peut agir comme s’il était au sol pendant ce temps, mais les capacités continuent de ne pas le toucher."
161,diamond-pearl,Does not raise Defense or Special Defense.,N’augmente ni la Defense ni la Special Defense.
175,diamond-pearl,Does not raise the user’s Special Defense.,N’augmente pas la Special Defense du lanceur.
180,black-white,Heals replacement Pokémon by half of their max HP.,Soigne la moitié des PV max du Pokémon remplaçant.
255,gold-silver,Inflicts Normal-type damage.,Inflige des dommages de type Normal.
257,gold-silver,"Swift can hit the user while underground, and no other moves can.  Due to a bug, if the user fails to carry out the move’s second turn, e.g. due to paralysis, it remains underground until it switches out or uses Dig again successfully.  It can act as if it were aboveground in the meantime, but moves still miss it.","Météores peut toucher le lanceur lorsqu’il est sous terre, contrairement aux autres capacités. A cause d’un bug, si le lanceur ne parvient pas à effectuer le deuxième tour de la capcité, par exemple à cause d’une paralysis, il reste sous terre jusqu’à ce qu’il soit rappelé ou utilise à nouveau Tunnel avec succès. Il peut agir comme s’il était à la surface pendant ce temps, mais les capacités continuent de ne pas le toucher."
261,diamond-pearl,Does not interact with Hail.,N’interagit pas avec Grêle.
274,black-white,Ignores Wonder Guard.,Ignore Garde Mystik.
27,diamond-pearl,Lasts either two or three turns.,Dure deux ou trois tours.
224,black-white,"If the target is not under the effect of Detect or Protect, this move will fail.",Cette capacité échoue si la cible n’est pas sous l’effet de Détection ou Abri.
255,diamond-pearl,The user receieves 1/2 of the damage dealt in recoil.,Le lanceur reçoit la moitié des dommages infligés en recul.
187,black-white,The barriers are destroyed even if this move has no effect.,Les barrières sont détruites même si cette capacité a no effect.
