move,short_effect,long_effect
pound,Deals damage with no additional effect.,<i>Pound</i> deals damage with no additional effect.<br/> <i>Pound</i> is also affected by {King's Rock;ITEM;kings-rock} in all generations except Gen. 4
karate-chop,Has an increased chance for a {critical hit;STAT;CRIT}.,"<i>Karate Chop</i> deals damage and has an increased {critical strike;STAT;CRIT} chance (<span style=""font-size: 1.3rem"">⅛</span> instead of <span style=""font-size: 1.3rem"">¹⁄₂₄</span>).<ul><li>In Gen 1 this move is {NORMAL;TYPE;Normal} type.</li><li>From Gen 2-7 this move is {FIGHTING;TYPE;Fighting} type.</li><li>From Gen 8 onwards this move cannot be selected in battle.</li></ul>"
double-slap,Hits 2-5 times in one turn.,"<i>Double Slap</i> (formatted as <i>DoubleSlap</i> in Gen. 1-5) deals damage and hits 2-5 times per turn used. Averages to 3 hits per use.<br/> In Generation 1, each hit will always deal the same damage - if the first critical hits, so will the rest.<br/> In Generations 1-3, <i>Double Slap</i> ends immediately if any hit breaks a {Substitute;MOVE;substitute}.<br/> In Generations 2-4, if a {Focus Sash;ITEM;focus-sash} or {Focus Band;ITEM;focus-band} activates before the final hit, subsequent hits do not cause the holder to faint.<br/> The probability of each interval is shown in the table below, with the total power after each hit. <table> <thead> <th>Hits</th> <th>Chance</th> <th>Power</th> </thead> <tr> <td>2</td> <td>37,5%</td> <td>30</td> </tr> <tr> <td>3</td> <td>37,5%</td> <td>45</td> </tr> <tr> <td>4</td> <td>12,5%</td> <td>60</td> </tr> <tr> <td>5</td> <td>12,5%</td> <td>75</td> </tr> </table> Each strike of <i>Double Slap</i> is treated like a separate attack:<br/> <ul> <li>Each strike can get a critical hit independently.</li> <li>Abilities that activate on contact ({Static;ABILITY;static}, {Weak Armor;ABILITY;weak-armor}, {Iron Barbs;ABILITY;iron-barbs} etc.) activate for each strike.</li> <li>If the {Sturdy;ABILITY;sturdy} ability, {Focus Sash;ITEM;focus-sash}, or {Focus Band;ITEM;focus-band} activates before the final hit, the subsequent hit will still deal damage and therefore cause the target to faint.</li> <li>If the first hit breaks a {Substitute;MOVE;substitute}, the second hit will deal damage to the target Pokémon.</li> <li>The move {Counter;MOVE;counter} only counters the final hit, but {Bide;MOVE;bide} counters the complete damage.</li> </ul> The {Skill Link;ABILITY;skill-link} ability will cause <i>Double Slap</i> to always hit the maximum number of times."
comet-punch,Hits 2-5 times in one turn.,"<i>Comet Punch</i> deals damage and hits 2-5 times per turn used. Averages to 3 hits per use.<br/> In Generation 1, each hit will always deal the same damage - if the first critical hits, so will the rest.<br/> In Generations 1-3, <i>Comet Punch</i> ends immediately if any hit breaks a {Substitute;MOVE;substitute}.<br/> In Generations 2-4, if a {Focus Sash;ITEM;focus-sash} or {Focus Band;ITEM;focus-band} activates before the final hit, subsequent hits do not cause the holder to faint.<br/> The probability of each interval is shown in the table below, with the total power after each hit. <table> <thead> <th>Hits</th> <th>Chance</th> <th>Power</th> </thead> <tr> <td>2</td> <td>37,5%</td> <td>30</td> </tr> <tr> <td>3</td> <td>37,5%</td> <td>45</td> </tr> <tr> <td>4</td> <td>12,5%</td> <td>60</td> </tr> <tr> <td>5</td> <td>12,5%</td> <td>75</td> </tr> </table> Each strike of <i>Comet Punch</i> is treated like a separate attack:<br/> <ul> <li>Each strike can get a critical hit independently.</li> <li>Abilities that activate on contact ({Static;ABILITY;static}, {Weak Armor;ABILITY;weak-armor}, {Iron Barbs;ABILITY;iron-barbs} etc.) activate for each strike.</li> <li>If the {Sturdy;ABILITY;sturdy} ability, {Focus Sash;ITEM;focus-sash}, or {Focus Band;ITEM;focus-band} activates before the final hit, the subsequent hit will still deal damage and therefore cause the target to faint.</li> <li>If the first hit breaks a {Substitute;MOVE;substitute}, the second hit will deal damage to the target Pokémon.</li> <li>The move {Counter;MOVE;counter} only counters the final hit, but {Bide;MOVE;bide} counters the complete damage.</li> </ul> The {Skill Link;ABILITY;skill-link} ability will cause <i>Comet Punch</i> to always hit the maximum number of times."
mega-punch,Deals damage with no additional effect.,<i>Mega Punch</i> deals damage with no additional effect.
pay-day,Deals damage and scatters money on the ground worth five times the user's level.,"<i>Pay Day</i> deals damage and scatters coins on the ground.<br/>
The amount of coins increases directly with the user's level.<br/>
If the player wins the battle or ends a wild encounter with a move that forces the target to flee (such as {Roar;MOVE;roar} or {Dragon Tail;MOVE;dragon-tail}), they will pick up all the scattered coins and receive the money amount.<br/>
The amount of money from Pay Day is doubled if any of the player's Pokémon takes part in battle while holding an {Amulet Coin;ITEM;amulet-coin} or {Luck Incense;ITEM;luck-incense}. (This effect can only be applied once, regardless of how many additional Pokémon hold these items.)<br/>
No money is obtained if:
<ul> 
  <li>Either side flees or Teleports, unless the player forces the wild Pokémon to flee</li> <li>The player loses or blacks out</li> <li>The wild Pokémon ends the battle with a move that forces the player to flee</li>
  <li>The wild Pokémon is caught</li>
  <li>The battle is one of these types of battles: Link battle, Battle facility, Max Raid Battle, Tera Raid Battle</li> 
</ul>"
fire-punch,Deals damage and has a 10% chance to {burn;STATUS;burn} the target.,"<i>Fire Punch</i> deals damage and has a 10% chance of {burning;STATUS;burn} the target.<br/> In {LA;GAME;legends-arceus} <i>Fire Punch's</i> PP was reduced from 15 to 10 and its chance of {burning;STATUS;burn} the target was increased from 10% to 30%.<br/>
Pokémon are immune to the {burn;STATUS;burn} if:
<ul>
<li>they are a {FIRE;TYPE;Fire}-type Pokémon</li>
<li>have the ability {Water Veil;ABILITY;water-veil}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
In Generations 1-3, <i>Fire Punch</i> was categorized as {Special;CATEGORY;special} instead of {Physical;CATEGORY;physical}"
ice-punch,Deals damage and has a 10% chance to {freeze;STATUS;freeze} the target.,"<i>Ice Punch</i> deals damage and has a 10% chance of {freezing;STATUS;freeze} the target. <br/> In {LA;GAME;legends-arceus} <i>Ice Punch's</i> PP was reduced from 15 to 10 and its chance of giving the target {frostbite;STATUS;freeze} (the replacement for {frozen;STATUS;freeze}) was increased from 10% to 30%.<br/>
Pokémon are immune to the {freeze;STATUS;freeze} if:
<ul>
<li>they are an {ICE;TYPE;Ice}-type Pokémon</li>
<li>have the ability {Magma Armor;ABILITY;magma-armor}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
In Generations 1-3, <i>Ice Punch</i> was categorized as {Special;CATEGORY;special} instead of {Physical;CATEGORY;physical}"
thunder-punch,Deals damage and has a 10% chance to {paralyze;STATUS;paralysis} the target.,"<i>Thunder Punch</i> (formatted as <i>ThunderPunch</i> in Gen 1-5) deals damage and has a 10% chance of {paralyzing;STATUS;paralysis} the target.<br/>In Generation 2-5, {ELECTRIC;TYPE;Electric}-type Pokémon could also be paralyzed. <br/> In {LA;GAME;legends-arceus} <i>Thunder Punch's</i> PP was reduced from 15 to 10 and its chance of {paralyzing;STATUS;paralysis} the target increased from 10% to 30%.<br/>
Pokémon are immune to {paralysis;STATUS;paralysis} if:
<ul>
<li>they are an {ELECTRIC;TYPE;Electric}-type Pokémon</li>
<li>have the ability {Limber;ABILITY;limber}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
In Generations 1-3, <i>Thunder Punch</i> was categorized as {Special;CATEGORY;special} instead of {Physical;CATEGORY;physical}"
scratch,Deals damage with no additional effect.,<i>Scratch</i> deals damage and has no secondary effect.
