move,flag
pound,contact
pound,protect
pound,mirror
karate-chop,contact
karate-chop,protect
karate-chop,mirror
double-slap,contact
double-slap,protect
double-slap,mirror
comet-punch,contact
comet-punch,protect
comet-punch,mirror
comet-punch,punch
mega-punch,contact
mega-punch,protect
mega-punch,mirror
mega-punch,punch
pay-day,protect
pay-day,mirror
fire-punch,contact
fire-punch,protect
fire-punch,mirror
fire-punch,punch
ice-punch,contact
ice-punch,protect
ice-punch,mirror
ice-punch,punch
thunder-punch,contact
thunder-punch,protect
thunder-punch,mirror
thunder-punch,punch
scratch,contact
scratch,protect
scratch,mirror
vice-grip,contact
vice-grip,protect
vice-grip,mirror
guillotine,contact
guillotine,protect
guillotine,mirror
razor-wind,charge
razor-wind,protect
razor-wind,mirror
swords-dance,snatch
swords-dance,dance
cut,contact
cut,protect
cut,mirror
gust,protect
gust,mirror
gust,distance
wing-attack,contact
wing-attack,protect
wing-attack,mirror
wing-attack,distance
whirlwind,reflectable
whirlwind,mirror
whirlwind,authentic
fly,contact
fly,charge
fly,protect
fly,mirror
fly,gravity
fly,distance
bind,contact
bind,protect
bind,mirror
slam,contact
slam,protect
slam,mirror
slam,non-sky-battle
vine-whip,contact
vine-whip,protect
vine-whip,mirror
stomp,contact
stomp,protect
stomp,mirror
stomp,non-sky-battle
double-kick,contact
double-kick,protect
double-kick,mirror
mega-kick,contact
mega-kick,protect
mega-kick,mirror
jump-kick,contact
jump-kick,protect
jump-kick,mirror
jump-kick,gravity
rolling-kick,contact
rolling-kick,protect
rolling-kick,mirror
sand-attack,protect
sand-attack,reflectable
sand-attack,mirror
headbutt,contact
headbutt,protect
headbutt,mirror
horn-attack,contact
horn-attack,protect
horn-attack,mirror
fury-attack,contact
fury-attack,protect
fury-attack,mirror
horn-drill,contact
horn-drill,protect
horn-drill,mirror
tackle,contact
tackle,protect
tackle,mirror
body-slam,contact
body-slam,protect
body-slam,mirror
body-slam,non-sky-battle
wrap,contact
wrap,protect
wrap,mirror
take-down,contact
take-down,protect
take-down,mirror
thrash,contact
thrash,protect
thrash,mirror
double-edge,contact
double-edge,protect
double-edge,mirror
tail-whip,protect
tail-whip,reflectable
tail-whip,mirror
poison-sting,protect
poison-sting,mirror
twineedle,protect
twineedle,mirror
pin-missile,protect
pin-missile,mirror
leer,protect
leer,reflectable
leer,mirror
bite,contact
bite,protect
bite,mirror
bite,bite
