identifier,id,name_fr,description_fr,name_de,description_de,name_en,description_en
contact,1,Contact,"Le lanceur touche la cible. Cela déclenche certaines capacités (e.g., Statik) et certains objets (e.g., Piquants).",Kontakt,Der Anwender berührt das Ziel.  Dies löst mahcne Fähigkeiten aus (z.B. Statik) und Gegenstände (z.B. Klettdorn).,Makes contact,"User touches the target.  This triggers some abilities (e.g., Static) and items (e.g., Sticky Barb)."
charge,2,A un tour de chargement,Cette capacité nécessite un tour de chargement qui peut être passé avec une Herbe Pouvoir.,Hat eine Aufladerunde,"Diese Fähigkeit hat eine Aufladerunde, welche mit einer Energiekraut übersprungen werden kann.",Has a charging turn,This move has a charging turn that can be skipped with a Power Herb.
recharge,3,Doit recharger,"Au tour suivant l’utilisation de cette capacité, l’action du Pokémon est ignorée pour qu’il puisse se recharger.",Muss aufladen,"Die Runde nach dieser Fähigkeit wird benötigt, damit das Pokémon sich aufladen kann.",Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
protect,4,Bloqué par Protection et Abri,Cette capacité ne fonctionnera pas si la cible a utilisé Détection ou Abri ce tour.,Blockiert von Scanner and Schutzschild,"Diese Fähigkeit funktioniert nicht, wenn das Ziel Scanner oder Schutzschild diese Runde genutzt hat.",Blocked by Detect and Protect,This move will not work if the target has used Detect or Protect this turn.
reflectable,5,Réflechissable,Cette capacité peut être réflechie sur le lanceur avec Reflet Magik ou Miroir Magik.,Reflektierbar,Diese Fähigkeit könnte reflektiert mit Magiemantel oder Magiespiegel reflektiert werden.,Reflectable,This move may be reflected back at the user with Magic Coat or Magic Bounce.
snatch,6,Saisissable,Cette capacité peut être volée si un autre Pokémon a utilisé Saisie ce tour.,Übernehmbar,"Diese Fähigkeit kann übernommen werden, wenn ein anderes Pokémon Übernahme diese Runde nutzt.",Snatchable,This move will be stolen if another Pokémon has used Snatch this turn.
mirror,7,Copié par Mimique,Un Pokémon ciblé par cette capacité peut utiliser Mimique pour la copier.,Kopierbar von Spiegeltrick,Ein von dieser Fähigkeit getroffenes Pokémon kann Spiegeltrick nutzen um diese Fähigkeit zu kopieren.,Copied by Mirror Move,A Pokémon targeted by this move can use Mirror Move to copy it.
punch,8,Basé sur un coup de poing,La puissance de cette capacité est multipliée par 1.2 lorsqu’elle est utilisée par un Pokémon avec Poing de Fer.,Hieb basierend,"Diese Fähigkeit hat die 1.2× Kraft, wenn es von einem Pokémon mit Eisenfaust genutzt wird.",Punch-based,This move has 1.2× its usual power when used by a Pokémon with Iron Fist.
sound,9,Capacité sonore,Les Pokémon avec Anti-Bruit sont immunisés contre cette capacité.,Sound basierend,Pokémon mit Lärmschutz sind immun gegen diese Fähigkeit.,Sound-based,Pokémon with Soundproof are immune to this move.
gravity,10,Inutilisable sous Gravité,Cette capacité ne peut pas être utilisé sous forte Gravité.,Nicht nutzbar bei hoher Erdanziehung,Diese Fähigkeit kann nicht bei hoher Erdanziehung genutzt werden.,Unusable during Gravity,This move cannot be used in high Gravity.
