move,category,ailment,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
pound,damage,none,,,,,0,0,0,0,0,0
karate-chop,damage,none,,,,,0,0,1,0,0,0
double-slap,damage,none,2,5,,,0,0,0,0,0,0
comet-punch,damage,none,2,5,,,0,0,0,0,0,0
mega-punch,damage,none,,,,,0,0,0,0,0,0
pay-day,damage,none,,,,,0,0,0,0,0,0
fire-punch,damage-ailment,burn,,,,,0,0,0,10,0,0
ice-punch,damage-ailment,freeze,,,,,0,0,0,10,0,0
thunder-punch,damage-ailment,paralysis,,,,,0,0,0,10,0,0
scratch,damage,none,,,,,0,0,0,0,0,0
vice-grip,damage,none,,,,,0,0,0,0,0,0
guillotine,ohko,none,,,,,0,0,0,0,0,0
razor-wind,damage,none,,,,,0,0,1,0,0,0
swords-dance,net-good-stats,none,,,,,0,0,0,0,0,0
cut,damage,none,,,,,0,0,0,0,0,0
gust,damage,none,,,,,0,0,0,0,0,0
wing-attack,damage,none,,,,,0,0,0,0,0,0
whirlwind,force-switch,none,,,,,0,0,0,0,0,0
fly,damage,none,,,,,0,0,0,0,0,0
bind,damage-ailment,trap,,,5,6,0,0,0,100,0,0
slam,damage,none,,,,,0,0,0,0,0,0
vine-whip,damage,none,,,,,0,0,0,0,0,0
stomp,damage,none,,,,,0,0,0,0,30,0
double-kick,damage,none,2,2,,,0,0,0,0,0,0
mega-kick,damage,none,,,,,0,0,0,0,0,0
jump-kick,damage,none,,,,,0,0,0,0,0,0
rolling-kick,damage,none,,,,,0,0,0,0,30,0
sand-attack,net-good-stats,none,,,,,0,0,0,0,0,0
headbutt,damage,none,,,,,0,0,0,0,30,0
horn-attack,damage,none,,,,,0,0,0,0,0,0
fury-attack,damage,none,2,5,,,0,0,0,0,0,0
horn-drill,ohko,none,,,,,0,0,0,0,0,0
tackle,damage,none,,,,,0,0,0,0,0,0
body-slam,damage-ailment,paralysis,,,,,0,0,0,30,0,0
wrap,damage-ailment,trap,,,2,4,0,0,0,100,0,0
take-down,damage,none,,,,,-25,0,0,0,0,0
thrash,damage,none,,,,,0,0,0,0,0,0
double-edge,damage,none,,,,,-33,0,0,0,0,0
tail-whip,net-good-stats,none,,,,,0,0,0,0,0,0
poison-sting,damage-ailment,poison,,,,,0,0,0,30,0,0
twineedle,damage-ailment,poison,2,2,,,0,0,0,20,0,0
pin-missile,damage,none,2,5,,,0,0,0,0,0,0
leer,net-good-stats,none,,,,,0,0,0,0,0,100
bite,damage,none,,,,,0,0,0,0,30,0
growl,net-good-stats,none,,,,,0,0,0,0,0,0
roar,force-switch,none,,,,,0,0,0,0,0,0
sing,ailment,sleep,,,2,4,0,0,0,0,0,0
supersonic,ailment,confusion,,,2,5,0,0,0,0,0,0
sonic-boom,damage,none,,,,,0,0,0,0,0,0
disable,unique,disable,,,4,4,0,0,0,0,0,0
acid,damage-lower,none,,,,,0,0,0,0,0,10
ember,damage-ailment,burn,,,,,0,0,0,10,0,0
flamethrower,damage-ailment,burn,,,,,0,0,0,10,0,0
mist,field-effect,none,,,,,0,0,0,0,0,0
water-gun,damage,none,,,,,0,0,0,0,0,0
hydro-pump,damage,none,,,,,0,0,0,0,0,0
surf,damage,none,,,,,0,0,0,0,0,0
ice-beam,damage-ailment,freeze,,,,,0,0,0,10,0,0
blizzard,damage-ailment,freeze,,,,,0,0,0,10,0,0
psybeam,damage-ailment,confusion,,,2,5,0,0,0,10,0,0
bubble-beam,damage-lower,none,,,,,0,0,0,0,0,10
aurora-beam,damage-lower,none,,,,,0,0,0,0,0,10
