move,stat,change
swords-dance,attack,2
sand-attack,accuracy,-1
tail-whip,defense,-1
leer,defense,-1
growl,attack,-1
acid,special-defense,-1
bubble-beam,speed,-1
aurora-beam,attack,-1
growth,attack,1
growth,special-attack,1
string-shot,speed,-2
psychic,special-defense,-1
meditate,attack,1
agility,speed,2
screech,defense,-2
double-team,evasion,1
harden,defense,1
minimize,evasion,2
smokescreen,accuracy,-1
withdraw,defense,1
defense-curl,defense,1
barrier,defense,2
constrict,speed,-1
amnesia,special-defense,2
kinesis,accuracy,-1
bubble,speed,-1
flash,accuracy,-1
acid-armor,defense,2
sharpen,attack,1
cotton-spore,speed,-2
scary-face,speed,-2
mud-slap,accuracy,-1
octazooka,accuracy,-1
icy-wind,speed,-1
charm,attack,-2
swagger,attack,2
steel-wing,defense,1
rapid-spin,speed,1
sweet-scent,evasion,-2
iron-tail,defense,-1
metal-claw,attack,1
crunch,defense,-1
ancient-power,attack,1
ancient-power,defense,1
ancient-power,special-attack,1
ancient-power,special-defense,1
ancient-power,speed,1
shadow-ball,special-defense,-1
rock-smash,defense,-1
stockpile,defense,1
stockpile,special-defense,1
flatter,special-attack,1
memento,attack,-2
memento,special-attack,-2
charge,special-defense,1
superpower,attack,-1
superpower,defense,-1
tail-glow,special-attack,3
luster-purge,special-defense,-1
mist-ball,special-attack,-1
feather-dance,attack,-2
crush-claw,defense,-1
meteor-mash,attack,1
fake-tears,special-defense,-2
overheat,special-attack,-2
rock-tomb,speed,-1
silver-wind,attack,1
silver-wind,defense,1
silver-wind,special-attack,1
silver-wind,special-defense,1
silver-wind,speed,1
metal-sound,special-defense,-2
tickle,attack,-1
tickle,defense,-1
cosmic-power,defense,1
cosmic-power,special-defense,1
muddy-water,accuracy,-1
iron-defense,defense,2
howl,attack,1
bulk-up,attack,1
bulk-up,defense,1
mud-shot,speed,-1
calm-mind,special-attack,1
calm-mind,special-defense,1
dragon-dance,attack,1
dragon-dance,speed,1
psycho-boost,special-attack,-2
hammer-arm,speed,-1
close-combat,defense,-1
close-combat,special-defense,-1
rock-polish,speed,2
bug-buzz,special-defense,-1
focus-blast,special-defense,-1
energy-ball,special-defense,-1
earth-power,special-defense,-1
nasty-plot,special-attack,2
mud-bomb,accuracy,-1
mirror-shot,accuracy,-1
flash-cannon,special-defense,-1
defog,evasion,-1
draco-meteor,special-attack,-2
leaf-storm,special-attack,-2
captivate,special-attack,-2
charge-beam,special-attack,1
defend-order,defense,1
defend-order,special-defense,1
seed-flare,special-defense,-2
ominous-wind,attack,1
ominous-wind,defense,1
ominous-wind,special-attack,1
ominous-wind,special-defense,1
ominous-wind,speed,1
hone-claws,attack,1
hone-claws,accuracy,1
autotomize,speed,2
quiver-dance,special-attack,1
quiver-dance,special-defense,1
quiver-dance,speed,1
flame-charge,speed,1
coil,attack,1
coil,defense,1
coil,accuracy,1
low-sweep,speed,-1
acid-spray,special-defense,-2
shell-smash,defense,-1
shell-smash,special-defense,-1
shell-smash,attack,2
shell-smash,special-attack,2
shell-smash,speed,2
shift-gear,attack,1
shift-gear,speed,2
struggle-bug,special-attack,-1
bulldoze,speed,-1
work-up,attack,1
work-up,special-attack,1
electroweb,speed,-1
razor-shell,defense,-1
leaf-tornado,accuracy,-1
cotton-guard,defense,3
night-daze,accuracy,-1
glaciate,speed,-1
fiery-dance,special-attack,1
snarl,special-attack,-1
v-create,defense,-1
v-create,special-defense,-1
v-create,speed,-1
rototiller,attack,1
rototiller,special-attack,1
noble-roar,attack,-1
noble-roar,special-attack,-1
parting-shot,attack,-1
parting-shot,special-attack,-1
flower-shield,defense,1
play-rough,attack,-1
moonblast,special-attack,-1
play-nice,attack,-1
confide,special-attack,-1
diamond-storm,defense,2
mystical-fire,special-attack,-1
aromatic-mist,special-defense,1
eerie-impulse,special-attack,-2
venom-drench,attack,-1
venom-drench,special-attack,-1
venom-drench,speed,-1
geomancy,special-attack,2
geomancy,special-defense,2
geomancy,speed,2
magnetic-flux,defense,1
magnetic-flux,special-defense,1
baby-doll-eyes,attack,-1
power-up-punch,attack,1
dragon-ascent,defense,-1
dragon-ascent,special-defense,-1
hyperspace-fury,defense,-1
ice-hammer,speed,-1
strength-sap,attack,-1
toxic-thread,speed,-1
gear-up,attack,1
gear-up,special-attack,1
lunge,attack,-1
fire-lash,defense,-1
trop-kick,attack,-1
clanging-scales,defense,-1
extreme-evoboost,attack,2
extreme-evoboost,defense,2
extreme-evoboost,special-attack,2
extreme-evoboost,special-defense,2
extreme-evoboost,speed,2
fleur-cannon,special-attack,-2
shadow-bone,defense,-1
liquidation,defense,-1
tearful-look,attack,-1
tearful-look,special-attack,-1
clangorous-soulblaze,attack,1
clangorous-soulblaze,defense,1
clangorous-soulblaze,special-attack,1
clangorous-soulblaze,special-defense,1
clangorous-soulblaze,speed,1
zippy-zap,evasion,1
stuff-cheeks,defense,2
no-retreat,attack,1
no-retreat,defense,1
no-retreat,special-attack,1
no-retreat,special-defense,1
no-retreat,speed,1
tar-shot,speed,-1
clangorous-soul,attack,1
clangorous-soul,defense,1
clangorous-soul,special-attack,1
clangorous-soul,special-defense,1
clangorous-soul,speed,1
decorate,attack,2
decorate,special-attack,2
drum-beating,speed,-1
aura-wheel,speed,1
breaking-swipe,attack,-1
apple-acid,special-defense,-1
grav-apple,defense,-1
spirit-break,special-attack,-1
skitter-smack,special-attack,-1
coaching,attack,1
coaching,defense,1
thunderous-kick,defense,-1
tera-blast,attack,-1
tera-blast,special-attack,-1
silk-trap,speed,-1
lumina-crash,special-defense,-2
spicy-extract,attack,2
spicy-extract,defense,-2
spin-out,speed,-2
fillet-away,attack,2
fillet-away,special-attack,2
fillet-away,speed,2
torch-song,special-attack,1
aqua-step,speed,1
make-it-rain,special-attack,-1
tidy-up,attack,1
tidy-up,speed,1
pounce,speed,-1
trailblaze,speed,1
chilling-water,attack,-1
armor-cannon,defense,-1
armor-cannon,special-defense,-1
syrup-bomb,speed,-1
electro-shot,special-attack,1
