move,tag
pound,damage
karate-chop,crit
double-slap,damage
comet-punch,damage
mega-punch,damage
pay-day,damage
pay-day,unique-effect
fire-punch,damage
fire-punch,burn
ice-punch,damage
ice-punch,freeze
thunder-punch,damage
thunder-punch,paralysis
scratch,damage
vice-grip,damage
guillotine,ohko
razor-wind,damage
razor-wind,charging
swords-dance,good-stat-increase
cut,damage
gust,damage
gust,unique-effect
wing-attack,damage
whirlwind,force-switch-out
fly,damage
fly,charging
fly,shield
bind,damage
bind,trap
slam,damage
vine-whip,damage
stomp,damage
stomp,flinch
double-kick,damage
mega-kick,damage
jump-kick,damage
jump-kick,recoil
rolling-kick,damage
rolling-kick,flinch
sand-attack,good-stat-decrease
headbutt,damage
headbutt,flinch
horn-attack,damage
fury-attack,damage
horn-drill,ohko
tackle,damage
body-slam,damage
body-slam,paralysis
wrap,damage
wrap,trap
take-down,damage
take-down,recoil
thrash,damage
thrash,status-drawback
double-edge,damage
double-edge,recoil
tail-whip,good-stat-decrease
poison-sting,damage
poison-sting,poison
twineedle,damage
twineedle,poison
pin-missile,damage
leer,good-stat-decrease
bite,damage
bite,flinch
growl,good-stat-decrease
roar,force-switch-out
sing,sleep
supersonic,damage
supersonic,status-drawback
sonic-boom,damage
sonic-boom,unique-effect
disable,unique-effect
acid,damage
acid,good-stat-decrease
ember,damage
ember,burn
flamethrower,damage
flamethrower,burn
mist,unique-effect
water-gun,damage
hydro-pump,damage
surf,damage
surf,unique-effect
ice-beam,damage
ice-beam,freeze
blizzard,damage
blizzard,freeze
psybeam,damage
psybeam,confusion
bubble-beam,damage
bubble-beam,good-stat-decrease
aurora-beam,damage
aurora-beam,good-stat-decrease
hyper-beam,damage
hyper-beam,recharge
peck,damage
drill-peck,damage
submission,damage
submission,recoil
low-kick,damage
low-kick,unique-effect
counter,damage
counter,unique-effect
seismic-toss,damage
seismic-toss,unique-effect
strength,damage
absorb,damage
absorb,drain
mega-drain,damage
mega-drain,drain
leech-seed,drain
growth,good-stat-increase
razor-leaf,crit
solar-beam,charging
poison-powder,poison
stun-spore,paralysis
sleep-powder,sleep
petal-dance,damage
petal-dance,status-drawback
string-shot,good-stat-decrease
dragon-rage,damage
dragon-rage,unique-effect
fire-spin,damage
fire-spin,trap
thunder-shock,damage
thunder-shock,paralysis
thunderbolt,damage
thunderbolt,paralysis
thunder-wave,paralysis
thunder,damage
thunder,paralysis
rock-throw,damage
earthquake,damage
earthquake,unique-effect
fissure,ohko
dig,charging
dig,unique-effect
toxic,poison
confusion,damage
confusion,confusion
psychic,damage
psychic,good-stat-decrease
hypnosis,sleep
meditate,good-stat-increase
agility,good-stat-increase
quick-attack,damage
quick-attack,increased-priority
rage,good-stat-increase
rage,unique-effect
teleport,unique-effect
night-shade,damage
night-shade,unique-effect
mimic,unique-effect
screech,good-stat-decrease
double-team,good-stat-increase
recover,heal
harden,good-stat-increase
minimize,good-stat-increase
smokescreen,good-stat-decrease
confuse-ray,confusion
withdraw,good-stat-increase
defense-curl,good-stat-increase
barrier,good-stat-increase
light-screen,shield
haze,unique-effect
reflect,shield
focus-energy,good-stat-increase
bide,damage
bide,charging
metronome,unique-effect
mirror-move,unique-effect
self-destruct,damage
self-destruct,unique-effect
egg-bomb,damage
lick,damage
lick,paralysis
smog,damage
smog,poison
sludge,damage
sludge,poison
bone-club,damage
bone-club,flinch
fire-blast,damage
fire-blast,burn
waterfall,damage
waterfall,flinch
clamp,damage
clamp,trap
swift,damage
swift,never-misses
skull-bash,damage
skull-bash,good-stat-increase
skull-bash,charging
spike-cannon,damage
constrict,damage
constrict,good-stat-decrease
amnesia,good-stat-increase
kinesis,good-stat-decrease
soft-boiled,heal
high-jump-kick,damage
high-jump-kick,recoil
glare,paralysis
dream-eater,damage
dream-eater,drain
dream-eater,unique-effect
poison-gas,poison
barrage,damage
leech-life,damage
leech-life,drain
lovely-kiss,sleep
sky-attack,damage
sky-attack,charging
sky-attack,flinch
transform,unique-effect
bubble,damage
bubble,good-stat-decrease
dizzy-punch,damage
dizzy-punch,confusion
spore,sleep
flash,good-stat-decrease
psywave,damage
psywave,unique-effect
splash,unique-effect
acid-armor,good-stat-increase
crabhammer,damage
crabhammer,crit
