identifier,id,generation,type,power,pp,accuracy,priority,target,damage_class,effect_id,effect_chance,contest_type,contest_effect_id,super_contest_effect_id,source
pound,1,1,normal,40,35,100,0,selected-pokemon,physical,1,,tough,1,5,both
karate-chop,2,1,fighting,50,25,100,0,selected-pokemon,physical,44,,tough,2,5,both
double-slap,3,1,normal,15,10,85,0,selected-pokemon,physical,30,,tough,10,7,both
comet-punch,4,1,normal,18,15,85,0,selected-pokemon,physical,30,,tough,12,7,both
mega-punch,5,1,normal,80,20,85,0,selected-pokemon,physical,1,,tough,1,18,both
pay-day,6,1,normal,40,20,100,0,selected-pokemon,physical,35,,smart,11,23,both
fire-punch,7,1,fire,75,15,100,0,selected-pokemon,physical,5,10,beauty,1,17,both
ice-punch,8,1,ice,75,15,100,0,selected-pokemon,physical,6,10,beauty,1,17,both
thunder-punch,9,1,electric,75,15,100,0,selected-pokemon,physical,7,10,cool,1,17,both
scratch,10,1,normal,40,35,100,0,selected-pokemon,physical,1,,tough,1,5,both
vice-grip,11,1,normal,55,30,100,0,selected-pokemon,physical,1,,tough,1,5,both
guillotine,12,1,normal,,5,30,0,selected-pokemon,physical,39,,cool,14,9,both
razor-wind,13,1,normal,80,10,100,0,all-opponents,special,40,,cool,2,6,both
swords-dance,14,1,normal,,20,,0,user,status,51,,beauty,32,11,both
cut,15,1,normal,50,30,95,0,selected-pokemon,physical,1,,cool,14,5,both
gust,16,1,flying,40,35,100,0,selected-pokemon,special,150,,smart,21,5,both
wing-attack,17,1,flying,60,35,100,0,selected-pokemon,physical,1,,cool,12,5,both
whirlwind,18,1,normal,,20,,-6,selected-pokemon,status,29,,smart,21,9,both
fly,19,1,flying,90,15,95,0,selected-pokemon,physical,156,,smart,15,6,both
bind,20,1,normal,15,20,85,0,selected-pokemon,physical,43,100,tough,24,21,both
slam,21,1,normal,80,20,75,0,selected-pokemon,physical,1,,tough,23,5,both
vine-whip,22,1,grass,45,25,100,0,selected-pokemon,physical,1,,cool,1,5,both
stomp,23,1,normal,65,20,100,0,selected-pokemon,physical,151,30,tough,4,5,both
double-kick,24,1,fighting,30,30,100,0,selected-pokemon,physical,45,,cool,12,7,both
mega-kick,25,1,normal,120,5,75,0,selected-pokemon,physical,1,,cool,1,18,both
jump-kick,26,1,fighting,100,10,95,0,selected-pokemon,physical,46,,cool,3,5,both
rolling-kick,27,1,fighting,60,15,85,0,selected-pokemon,physical,32,30,cool,5,5,both
sand-attack,28,1,ground,,15,100,0,selected-pokemon,status,24,,cute,10,19,both
headbutt,29,1,normal,70,15,100,0,selected-pokemon,physical,32,30,tough,9,5,both
horn-attack,30,1,normal,65,25,100,0,selected-pokemon,physical,1,,cool,1,5,both
fury-attack,31,1,normal,15,20,85,0,selected-pokemon,physical,30,,cool,10,7,both
horn-drill,32,1,normal,,5,30,0,selected-pokemon,physical,39,,cool,14,9,both
tackle,33,1,normal,40,35,100,0,selected-pokemon,physical,1,,tough,1,5,both
body-slam,34,1,normal,85,15,100,0,selected-pokemon,physical,7,30,tough,4,5,both
wrap,35,1,normal,15,20,90,0,selected-pokemon,physical,43,100,tough,24,21,both
take-down,36,1,normal,90,20,85,0,selected-pokemon,physical,49,,tough,3,5,both
thrash,37,1,normal,120,10,100,0,random-opponent,physical,28,,tough,6,7,both
double-edge,38,1,normal,120,15,100,0,selected-pokemon,physical,199,,tough,3,9,both
tail-whip,39,1,normal,,30,100,0,all-opponents,status,20,,cute,28,19,both
poison-sting,40,1,poison,15,35,100,0,selected-pokemon,physical,3,30,smart,9,19,both
twineedle,41,1,bug,25,20,100,0,selected-pokemon,physical,78,20,cool,9,7,both
pin-missile,42,1,bug,25,20,95,0,selected-pokemon,physical,30,,cool,10,7,both
leer,43,1,normal,,30,100,0,all-opponents,status,20,100,cool,24,19,both
bite,44,1,dark,60,25,100,0,selected-pokemon,physical,32,30,tough,5,5,both
growl,45,1,normal,,40,100,0,all-opponents,status,19,,cute,28,19,both
roar,46,1,normal,,20,,-6,selected-pokemon,status,29,,cool,21,19,both
sing,47,1,normal,,15,55,0,selected-pokemon,status,2,,cute,18,19,both
supersonic,48,1,normal,,20,55,0,selected-pokemon,status,50,,smart,21,19,both
sonic-boom,49,1,normal,,20,90,0,selected-pokemon,special,131,,cool,12,5,both
disable,50,1,normal,,20,100,0,selected-pokemon,status,87,,smart,18,19,both
acid,51,1,poison,40,30,100,0,all-opponents,special,73,10,smart,4,5,both
ember,52,1,fire,40,25,100,0,selected-pokemon,special,5,10,beauty,1,5,both
