move,changed_in_version_group,type,power,pp,accuracy,priority,target,effect_id,effect_chance
karate-chop,gold-silver,normal,,,,,,,
razor-wind,ruby-sapphire,,,,75,,,,
swords-dance,x-y,,,30,,,,,
gust,gold-silver,normal,,,,,,1,
wing-attack,gold-silver,,35,,,,,,
whirlwind,gold-silver,,,,85,,,,
whirlwind,x-y,,,,100,,,,
fly,diamond-pearl,,70,,,,,,
bind,black-white,,,,75,,,,
vine-whip,diamond-pearl,,,10,,,,,
vine-whip,x-y,,35,15,,,,,
jump-kick,diamond-pearl,,70,,,,,,
jump-kick,black-white,,85,25,,,,,
sand-attack,gold-silver,normal,,,,,,,
tackle,black-white,,35,,95,,,,
tackle,sun-moon,,50,,,,,,
wrap,black-white,,,,85,,,,
thrash,black-white,,90,20,,,,,
double-edge,gold-silver,,100,,,,,49,
poison-sting,gold-silver,,,,,,,,20
pin-missile,x-y,,14,,85,,,,
bite,gold-silver,normal,,,,,,,10
roar,x-y,,,,100,,,,
disable,diamond-pearl,,,,55,,,,
disable,black-white,,,,80,,,,
flamethrower,x-y,,95,,,,,,
hydro-pump,x-y,,120,,,,,,
surf,x-y,,95,,,,,,
ice-beam,x-y,,95,,,,,,
blizzard,gold-silver,,,,90,,,,
blizzard,x-y,,120,,,,,,
submission,x-y,,,25,,,,,
low-kick,ruby-sapphire,,50,,90,,,32,30
absorb,diamond-pearl,,,20,,,,,
absorb,lets-go-pikachu-lets-go-eevee,,20,25,,,,,
absorb,sword-shield,,40,15,,,,,
mega-drain,diamond-pearl,,,10,,,,,
mega-drain,lets-go-pikachu-lets-go-eevee,,40,15,,,,,
mega-drain,sword-shield,,75,10,,,,,
growth,black-white,,,,,,,14,
growth,x-y,,,40,,,,,
solar-beam,lets-go-pikachu-lets-go-eevee,,120,,,,,,
solar-beam,sword-shield,,200,,,,,,
petal-dance,diamond-pearl,,70,,,,,,
petal-dance,black-white,,90,20,,,,,
string-shot,sun-moon,,,,,,,21,
fire-spin,black-white,,15,,70,,,,
thunderbolt,x-y,,95,,,,,,
thunder-wave,sun-moon,,,,100,,,,
thunder,gold-silver,,,,,,,,10
thunder,x-y,,120,,,,,,
rock-throw,gold-silver,,,,65,,,,
dig,gold-silver,,100,,,,,,
dig,diamond-pearl,,60,,,,,,
toxic,black-white,,,,85,,,,
psychic,gold-silver,,,,,,,,30
hypnosis,diamond-pearl,,,,60,,,,
hypnosis,platinum,,,,70,,,,
teleport,lets-go-pikachu-lets-go-eevee,,,,,0,,,
recover,diamond-pearl,,,20,,,,,
minimize,x-y,,,20,,,,,
barrier,x-y,,,30,,,,,
self-destruct,gold-silver,,130,,,,,,
lick,x-y,,20,,,,,,
smog,x-y,,20,,,,,,
fire-blast,gold-silver,,,,,,,,30
fire-blast,x-y,,120,,,,,,
clamp,black-white,,,10,75,,,,
skull-bash,x-y,,100,15,,,,,
high-jump-kick,diamond-pearl,,85,,,,,,
high-jump-kick,black-white,,100,20,,,,,
glare,black-white,,,,75,,,,
glare,x-y,,,,90,,,,
poison-gas,black-white,,,,55,,,,
poison-gas,x-y,,,,80,,,,
leech-life,sun-moon,,20,15,,,,,
sky-attack,gold-silver,,,,,,,,10
sky-attack,lets-go-pikachu-lets-go-eevee,,140,,,,,,
sky-attack,sword-shield,,200,,,,,,
bubble,x-y,,20,,,,,,
dizzy-punch,gold-silver,,,,,,,1,0
flash,diamond-pearl,,,,70,,,,
psywave,x-y,,,,80,,,,
acid-armor,x-y,,,40,,,,,
crabhammer,black-white,,,,85,,,,
crabhammer,x-y,,90,,,,,,
explosion,gold-silver,,170,,,,,,
rock-slide,gold-silver,,,,,,,1,0
tri-attack,gold-silver,,,,,,,1,0
struggle,x-y,,,,,,selected-pokemon,,
thief,x-y,,40,10,,,,,
mind-reader,black-white,,,40,,,,,
snore,x-y,,40,,,,,,
curse,black-white,unknown,,,,,,,
cotton-spore,black-white,,,,85,,,,
cotton-spore,x-y,,,,,,selected-pokemon,,
scary-face,black-white,,,,90,,,,
sweet-kiss,x-y,normal,,,,,,,
zap-cannon,diamond-pearl,,100,,,,,,
perish-song,x-y,,,,,,entire-field,,
bone-rush,black-white,,,,80,,,,
outrage,diamond-pearl,,90,,,,,,
outrage,black-white,,,15,,,,,
giga-drain,diamond-pearl,,,5,,,,,
giga-drain,black-white,,60,,,,,,
charm,x-y,normal,,,,,,,
swagger,sun-moon,,,,90,,,,
fury-cutter,black-white,,10,,,,,,
fury-cutter,x-y,,20,,,,,,
heal-bell,x-y,,,,,,users-field,,
rapid-spin,sword-shield,,20,,,,,,
moonlight,x-y,normal,,,,,,,
hidden-power,x-y,,1,,,,,,
future-sight,black-white,,80,15,90,,,,
future-sight,x-y,,100,,,,,,
rock-smash,diamond-pearl,,20,,,,,,
whirlpool,black-white,,15,,70,,,,
beat-up,black-white,,10,,,,,,
uproar,black-white,,50,,,,,,
stockpile,diamond-pearl,,,10,,,,,
heat-wave,x-y,,100,,,,,,
will-o-wisp,x-y,,,,75,,,,
smelling-salts,x-y,,60,,,,,,
follow-me,x-y,,,,,3,,,
nature-power,x-y,,,,,,specific-move,,
knock-off,x-y,,20,,,,,,
dive,diamond-pearl,,60,,,,,,
tail-glow,black-white,,,,,,,54,
mist-ball,scarlet-violet,,70,,,,,,
poison-fang,x-y,,,,,,,,30
meteor-mash,x-y,,100,,85,,,,
aromatherapy,x-y,,,,,,users-field,,
air-cutter,x-y,,55,,,,,,
overheat,x-y,,140,,,,,,
rock-tomb,x-y,,50,10,80,,,,
extrasensory,x-y,,,30,,,,,
sand-tomb,black-white,,15,,70,,,,
muddy-water,x-y,,95,,,,,,
bullet-seed,black-white,,10,,,,,,
