nature,battle_style,low_hp_preference,high_hp_preference
hardy,attack,61,61
hardy,defense,7,7
hardy,support,32,32
bold,attack,32,30
bold,defense,58,20
bold,support,10,50
modest,attack,34,35
modest,defense,60,45
modest,support,6,20
calm,attack,25,40
calm,defense,62,50
calm,support,13,10
timid,attack,30,62
timid,defense,20,10
timid,support,50,28
lonely,attack,84,20
lonely,defense,8,25
lonely,support,8,55
docile,attack,56,56
docile,defense,22,22
docile,support,22,22
mild,attack,34,44
mild,defense,6,50
mild,support,60,6
gentle,attack,90,18
gentle,defense,5,70
gentle,support,5,12
hasty,attack,88,58
hasty,defense,6,37
hasty,support,6,5
adamant,attack,70,38
adamant,defense,15,31
adamant,support,15,31
impish,attack,28,69
impish,defense,55,6
impish,support,17,25
bashful,attack,30,30
bashful,defense,58,58
bashful,support,12,12
careful,attack,42,42
careful,defense,5,50
careful,support,53,8
rash,attack,27,30
rash,defense,6,13
rash,support,67,57
jolly,attack,35,35
jolly,defense,60,5
jolly,support,5,60
naughty,attack,70,20
naughty,defense,22,70
naughty,support,8,10
lax,attack,29,35
lax,defense,6,10
lax,support,65,55
quirky,attack,56,56
quirky,defense,22,22
quirky,support,22,22
naive,attack,56,56
naive,defense,22,22
naive,support,22,22
brave,attack,32,70
brave,defense,60,15
brave,support,8,15
relaxed,attack,75,25
relaxed,defense,15,15
relaxed,support,10,60
quiet,attack,56,56
quiet,defense,22,22
quiet,support,22,22
sassy,attack,22,88
sassy,defense,20,6
sassy,support,58,6
serious,attack,29,34
serious,defense,11,11
serious,support,60,55
