nature,pokeathlon_stat,max_change
hardy,speed,-1
hardy,power,1
bold,speed,-2
bold,skill,2
modest,speed,-2
modest,jump,2
calm,speed,-2
calm,power,2
timid,speed,2
timid,power,-2
lonely,speed,2
lonely,skill,-2
docile,skill,1
docile,jump,-1
mild,skill,-2
mild,jump,2
gentle,speed,2
gentle,skill,-2
hasty,speed,2
hasty,skill,-2
adamant,speed,2
adamant,jump,-2
impish,skill,2
impish,jump,-2
bashful,speed,-1
bashful,jump,1
careful,power,2
careful,jump,-2
rash,power,-2
rash,jump,2
jolly,speed,2
jolly,jump,-2
naughty,speed,2
naughty,power,-2
lax,speed,-2
lax,skill,2
quirky,speed,1
quirky,skill,-1
naive,speed,2
naive,power,-2
brave,speed,-2
brave,power,2
relaxed,speed,-2
relaxed,skill,2
quiet,speed,-2
quiet,jump,2
sassy,speed,-2
sassy,power,2
serious,speed,1
serious,power,-1
