identifier,id,region,is_main_series,version_groups,name_fr,description_fr,name_de,description_de,name_es,description_es,name_en,description_en,name_es_419,description_es_419
national,1,,1,,National,Pokédex National complet,National,Komplette Nationale Dex,Nacional,Pokédex Nacional completa,National,Entire National dex,Nacional,Pokédex Nacional completa
kanto,2,kanto,1,red-blue;yellow;firered-leafgreen,Kanto,Pokédex régional de Kanto dans Rouge/Bleu/Jaune,Kanto,Rot/Blau/Gelb Kanto Dex,Kanto,Pokédex regional de Rojo/Azul/Amarillo,Kanto,Red/Blue/Yellow Kanto dex,Kanto,Pokédex regional de Rojo/Azul/Amarillo
original-johto,3,johto,1,gold-silver;crystal,Johto initial,"Pokédex régional de Johto dans Or/Argent/Cristal, appellé ""Nouveau"" Pokédex dans le jeu",Original Johto,"Gold/Silber/Kristall Johto Dex — Auch der ""Neue"" Pokédex im Spiel genannt",Johto Original,Pokédex regional de Johto de Oro/Plata/Cristal,Original Johto,"Gold/Silver/Crystal Johto dex—called the ""New"" Pokédex in-game",Johto Original,Pokédex regional de Johto de Oro/Plata/Cristal
hoenn,4,hoenn,1,ruby-sapphire;emerald,Hoenn initial,Pokédex régional d’Hoenn dans Rubis/Saphir/Émeraude,Original Hoenn,Rubin/Saphir/Smaragd Hoenn Dex,Hoenn Original,Pokédex regional de Hoenn de Rubí/Zafiro/Esmeralda,Original Hoenn,Ruby/Sapphire/Emerald Hoenn dex,Hoenn Original,Pokédex regional de Hoenn de Rubí/Zafiro/Esmeralda
original-sinnoh,5,sinnoh,1,diamond-pearl;brilliant-diamond-shining-pearl,Sinnoh initial,Pokédex régional de Sinnoh dans Diamant/Perle,Original Sinnoh,Diamant/Perl Sinnoh Dex,Sinnoh Original,Pokédex regional de Sinnoh de Diamante/Perla,Original Sinnoh,Diamond/Pearl Sinnoh dex,Sinnoh Original,Pokédex regional de Sinnoh de Diamante/Perla
extended-sinnoh,6,sinnoh,1,platinum,Sinnoh étendu,Pokédex régional de Sinnoh dans Platine,Erweitertes Sinnoh,Platin Sinnoh Dex — eine erweiterte Version von Diamant und Perl,Sinnoh Extendido,Pokédex regional de Sinnoh de Platino,Extended Sinnoh,Platinum Sinnoh dex—an extended version of Diamond and Pearl’s,Sinnoh Extendido,Pokédex regional de Sinnoh de Platino
updated-johto,7,johto,1,heartgold-soulsilver,Johto amélioré,"Pokédex régional de Johto dans Or HeartGold/Argent SoulSilver, mis à jour pour la 4ème génération",Aktualisiertes Johto,HeartGold/SoulSilver Johto Dex — Dex aus Gold/Silber/Kristall um Fähigkeiten basierende Entwicklungen aus Generation IV erweitert,Johto Actualizado,Pokédex regional de Johto de Oro HeartGold/Plata SoulSilver,Updated Johto,"HeartGold/SoulSilver Johto dex—Gold/Silver/Crystal’s, extended to add move-based Generation IV evolutions",Johto Actualizado,Pokédex regional de Johto de Oro HeartGold/Plata SoulSilver
original-unova,8,unova,1,black-white,Unys initial,Pokédex régional d’Unys dans Noir/Blanc,Original Einall,Schwarz/Weiß Einall Dex,Teselia Original,Pokédex regional de Teselia de Negro/Blanco,Original Unova,Black/White Unova dex,Teselia Original,Pokédex regional de Teselia de Negro/Blanco
updated-unova,9,unova,1,black-2-white-2,Unys amélioré,Pokédex régional d’Unys dans Noir 2/Blanc 2,Aktualisiertes Einall,Schwarz 2/Weiß 2 Einall Dex,Teselia Actualizado,Pokédex regional de Teselia de Negro 2/Blanco 2,Updated Unova,Black 2/White 2 Unova dex,Teselia Actualizado,Pokédex regional de Teselia de Negro 2/Blanco 2
conquest-gallery,11,,0,,Galerie,Ordre de la Galerie dans Pokémon Conquest,Gallerie,Pokémon Conquest Galerie Reihenfolge,Galería,Orden de la Galería en Pokémon Conquest,Gallery,Pokémon Conquest gallery order,Galería,Orden de la Galería en Pokémon Conquest
