identifier,id,species,is_default,height_m,weight_kg,order,is_mega,is_gmax,form_name,source
bulbasaur,1,1,1,0.7,6.9,1,0,0,,both
ivysaur,2,2,1,1,13,2,0,0,,both
venusaur,3,3,1,2,100,3,0,0,,both
charmander,4,4,1,0.6,8.5,5,0,0,,both
charmeleon,5,5,1,1.1,19,6,0,0,,both
charizard,6,6,1,1.7,90.5,7,0,0,,both
squirtle,7,7,1,0.5,9,10,0,0,,both
wartortle,8,8,1,1,22.5,11,0,0,,both
blastoise,9,9,1,1.6,85.5,12,0,0,,both
caterpie,10,10,1,0.3,2.9,14,0,0,,both
metapod,11,11,1,0.7,9.9,15,0,0,,both
butterfree,12,12,1,1.1,32,16,0,0,,both
weedle,13,13,1,0.3,3.2,17,0,0,,both
kakuna,14,14,1,0.6,10,18,0,0,,both
beedrill,15,15,1,1,29.5,19,0,0,,both
pidgey,16,16,1,0.3,1.8,21,0,0,,both
pidgeotto,17,17,1,1.1,30,22,0,0,,both
pidgeot,18,18,1,1.5,39.5,23,0,0,,both
rattata,19,19,1,0.3,3.5,25,0,0,,both
raticate,20,20,1,0.7,18.5,27,0,0,,both
spearow,21,21,1,0.3,2,30,0,0,,both
fearow,22,22,1,1.2,38,31,0,0,,both
ekans,23,23,1,2,6.9,32,0,0,,both
arbok,24,24,1,3.5,65,33,0,0,,both
pikachu,25,25,1,0.4,6,35,0,0,,both
raichu,26,26,1,0.8,30,51,0,0,,both
sandshrew,27,27,1,0.6,12,53,0,0,,both
sandslash,28,28,1,1,29.5,55,0,0,,both
nidoran-f,29,29,1,0.4,7,57,0,0,,both
nidorina,30,30,1,0.8,20,58,0,0,,both
nidoqueen,31,31,1,1.3,60,59,0,0,,both
nidoran-m,32,32,1,0.5,9,60,0,0,,both
nidorino,33,33,1,0.9,19.5,61,0,0,,both
nidoking,34,34,1,1.4,62,62,0,0,,both
clefairy,35,35,1,0.6,7.5,64,0,0,,both
clefable,36,36,1,1.3,40,65,0,0,,both
vulpix,37,37,1,0.6,9.9,66,0,0,,both
ninetales,38,38,1,1.1,19.9,68,0,0,,both
jigglypuff,39,39,1,0.5,5.5,71,0,0,,both
wigglytuff,40,40,1,1,12,72,0,0,,both
