pokemon,ability_1,ability_2,ability_hidden
bulbasaur,overgrow,,chlorophyll
ivysaur,overgrow,,chlorophyll
venusaur,overgrow,,chlorophyll
charmander,blaze,,solar-power
charmeleon,blaze,,solar-power
charizard,blaze,,solar-power
squirtle,torrent,,rain-dish
wartortle,torrent,,rain-dish
blastoise,torrent,,rain-dish
caterpie,shield-dust,,run-away
metapod,shed-skin,,
butterfree,compound-eyes,,tinted-lens
weedle,shield-dust,,run-away
kakuna,shed-skin,,
beedrill,swarm,,sniper
pidgey,keen-eye,tangled-feet,big-pecks
pidgeotto,keen-eye,tangled-feet,big-pecks
pidgeot,keen-eye,tangled-feet,big-pecks
rattata,run-away,guts,hustle
raticate,run-away,guts,hustle
spearow,keen-eye,,sniper
fearow,keen-eye,,sniper
ekans,intimidate,shed-skin,unnerve
arbok,intimidate,shed-skin,unnerve
pikachu,static,,lightning-rod
raichu,static,,lightning-rod
sandshrew,sand-veil,,sand-rush
sandslash,sand-veil,,sand-rush
nidoran-f,poison-point,rivalry,hustle
nidorina,poison-point,rivalry,hustle
nidoqueen,poison-point,rivalry,sheer-force
nidoran-m,poison-point,rivalry,hustle
nidorino,poison-point,rivalry,hustle
nidoking,poison-point,rivalry,sheer-force
clefairy,cute-charm,magic-guard,friend-guard
clefable,cute-charm,magic-guard,unaware
vulpix,flash-fire,,drought
ninetales,flash-fire,,drought
jigglypuff,cute-charm,competitive,friend-guard
wigglytuff,cute-charm,competitive,frisk
zubat,inner-focus,,infiltrator
golbat,inner-focus,,infiltrator
oddish,chlorophyll,,run-away
gloom,chlorophyll,,stench
vileplume,chlorophyll,,effect-spore
paras,effect-spore,dry-skin,damp
parasect,effect-spore,dry-skin,damp
venonat,compound-eyes,tinted-lens,run-away
venomoth,shield-dust,tinted-lens,wonder-skin
diglett,sand-veil,arena-trap,sand-force
dugtrio,sand-veil,arena-trap,sand-force
meowth,pickup,technician,unnerve
persian,limber,technician,unnerve
psyduck,damp,cloud-nine,swift-swim
golduck,damp,cloud-nine,swift-swim
mankey,vital-spirit,anger-point,defiant
primeape,vital-spirit,anger-point,defiant
growlithe,intimidate,flash-fire,justified
arcanine,intimidate,flash-fire,justified
poliwag,water-absorb,damp,swift-swim
poliwhirl,water-absorb,damp,swift-swim
poliwrath,water-absorb,damp,swift-swim
abra,synchronize,inner-focus,magic-guard
kadabra,synchronize,inner-focus,magic-guard
alakazam,synchronize,inner-focus,magic-guard
machop,guts,no-guard,steadfast
machoke,guts,no-guard,steadfast
machamp,guts,no-guard,steadfast
bellsprout,chlorophyll,,gluttony
weepinbell,chlorophyll,,gluttony
victreebel,chlorophyll,,gluttony
tentacool,clear-body,liquid-ooze,rain-dish
tentacruel,clear-body,liquid-ooze,rain-dish
geodude,rock-head,sturdy,sand-veil
graveler,rock-head,sturdy,sand-veil
golem,rock-head,sturdy,sand-veil
ponyta,run-away,flash-fire,flame-body
rapidash,run-away,flash-fire,flame-body
slowpoke,oblivious,own-tempo,regenerator
slowbro,oblivious,own-tempo,regenerator
magnemite,magnet-pull,sturdy,analytic
magneton,magnet-pull,sturdy,analytic
farfetchd,keen-eye,inner-focus,defiant
doduo,run-away,early-bird,tangled-feet
dodrio,run-away,early-bird,tangled-feet
seel,thick-fat,hydration,ice-body
dewgong,thick-fat,hydration,ice-body
grimer,stench,sticky-hold,poison-touch
muk,stench,sticky-hold,poison-touch
shellder,shell-armor,skill-link,overcoat
cloyster,shell-armor,skill-link,overcoat
gastly,levitate,,
haunter,levitate,,
gengar,cursed-body,,
onix,rock-head,sturdy,weak-armor
drowzee,insomnia,forewarn,inner-focus
hypno,insomnia,forewarn,inner-focus
krabby,hyper-cutter,shell-armor,sheer-force
kingler,hyper-cutter,shell-armor,sheer-force
voltorb,soundproof,static,aftermath
electrode,soundproof,static,aftermath
exeggcute,chlorophyll,,harvest
exeggutor,chlorophyll,,harvest
cubone,rock-head,lightning-rod,battle-armor
marowak,rock-head,lightning-rod,battle-armor
hitmonlee,limber,reckless,unburden
hitmonchan,keen-eye,iron-fist,inner-focus
lickitung,own-tempo,oblivious,cloud-nine
koffing,levitate,neutralizing-gas,stench
weezing,levitate,neutralizing-gas,stench
rhyhorn,lightning-rod,rock-head,reckless
rhydon,lightning-rod,rock-head,reckless
chansey,natural-cure,serene-grace,healer
tangela,chlorophyll,leaf-guard,regenerator
kangaskhan,early-bird,scrappy,inner-focus
horsea,swift-swim,sniper,damp
seadra,poison-point,sniper,damp
goldeen,swift-swim,water-veil,lightning-rod
seaking,swift-swim,water-veil,lightning-rod
staryu,illuminate,natural-cure,analytic
starmie,illuminate,natural-cure,analytic
mr-mime,soundproof,filter,technician
scyther,swarm,technician,steadfast
jynx,oblivious,forewarn,dry-skin
electabuzz,static,,vital-spirit
magmar,flame-body,,vital-spirit
pinsir,hyper-cutter,mold-breaker,moxie
tauros,intimidate,anger-point,sheer-force
magikarp,swift-swim,,rattled
gyarados,intimidate,,moxie
lapras,water-absorb,shell-armor,hydration
ditto,limber,,imposter
eevee,run-away,adaptability,anticipation
vaporeon,water-absorb,,hydration
jolteon,volt-absorb,,quick-feet
flareon,flash-fire,,guts
porygon,trace,download,analytic
omanyte,swift-swim,shell-armor,weak-armor
omastar,swift-swim,shell-armor,weak-armor
kabuto,swift-swim,battle-armor,weak-armor
kabutops,swift-swim,battle-armor,weak-armor
aerodactyl,rock-head,pressure,unnerve
snorlax,immunity,thick-fat,gluttony
articuno,pressure,,snow-cloak
zapdos,pressure,,static
moltres,pressure,,flame-body
dratini,shed-skin,,marvel-scale
dragonair,shed-skin,,marvel-scale
dragonite,inner-focus,,multiscale
mewtwo,pressure,,unnerve
mew,synchronize,,
chikorita,overgrow,,leaf-guard
bayleef,overgrow,,leaf-guard
meganium,overgrow,,leaf-guard
cyndaquil,blaze,,flash-fire
quilava,blaze,,flash-fire
typhlosion,blaze,,flash-fire
totodile,torrent,,sheer-force
croconaw,torrent,,sheer-force
feraligatr,torrent,,sheer-force
sentret,run-away,keen-eye,frisk
furret,run-away,keen-eye,frisk
hoothoot,insomnia,keen-eye,tinted-lens
noctowl,insomnia,keen-eye,tinted-lens
ledyba,swarm,early-bird,rattled
ledian,swarm,early-bird,iron-fist
spinarak,swarm,insomnia,sniper
ariados,swarm,insomnia,sniper
crobat,inner-focus,,infiltrator
chinchou,volt-absorb,illuminate,water-absorb
lanturn,volt-absorb,illuminate,water-absorb
pichu,static,,lightning-rod
cleffa,cute-charm,magic-guard,friend-guard
igglybuff,cute-charm,competitive,friend-guard
togepi,hustle,serene-grace,super-luck
togetic,hustle,serene-grace,super-luck
natu,synchronize,early-bird,magic-bounce
xatu,synchronize,early-bird,magic-bounce
mareep,static,,plus
flaaffy,static,,plus
ampharos,static,,plus
bellossom,chlorophyll,,healer
marill,thick-fat,huge-power,sap-sipper
azumarill,thick-fat,huge-power,sap-sipper
sudowoodo,sturdy,rock-head,rattled
politoed,water-absorb,damp,drizzle
hoppip,chlorophyll,leaf-guard,infiltrator
skiploom,chlorophyll,leaf-guard,infiltrator
jumpluff,chlorophyll,leaf-guard,infiltrator
aipom,run-away,pickup,skill-link
sunkern,chlorophyll,solar-power,early-bird
sunflora,chlorophyll,solar-power,early-bird
yanma,speed-boost,compound-eyes,frisk
wooper,damp,water-absorb,unaware
quagsire,damp,water-absorb,unaware
espeon,synchronize,,magic-bounce
umbreon,synchronize,,inner-focus
murkrow,insomnia,super-luck,prankster
slowking,oblivious,own-tempo,regenerator
misdreavus,levitate,,
unown,levitate,,
wobbuffet,shadow-tag,,telepathy
girafarig,inner-focus,early-bird,sap-sipper
pineco,sturdy,,overcoat
forretress,sturdy,,overcoat
dunsparce,serene-grace,run-away,rattled
gligar,hyper-cutter,sand-veil,immunity
steelix,rock-head,sturdy,sheer-force
snubbull,intimidate,run-away,rattled
granbull,intimidate,quick-feet,rattled
qwilfish,poison-point,swift-swim,intimidate
scizor,swarm,technician,light-metal
shuckle,sturdy,gluttony,contrary
heracross,swarm,guts,moxie
sneasel,inner-focus,keen-eye,pickpocket
teddiursa,pickup,quick-feet,honey-gather
ursaring,guts,quick-feet,unnerve
slugma,magma-armor,flame-body,weak-armor
magcargo,magma-armor,flame-body,weak-armor
swinub,oblivious,snow-cloak,thick-fat
piloswine,oblivious,snow-cloak,thick-fat
corsola,hustle,natural-cure,regenerator
remoraid,hustle,sniper,moody
octillery,suction-cups,sniper,moody
delibird,vital-spirit,hustle,insomnia
mantine,swift-swim,water-absorb,water-veil
skarmory,keen-eye,sturdy,weak-armor
houndour,early-bird,flash-fire,unnerve
houndoom,early-bird,flash-fire,unnerve
kingdra,swift-swim,sniper,damp
phanpy,pickup,,sand-veil
donphan,sturdy,,sand-veil
porygon2,trace,download,analytic
stantler,intimidate,frisk,sap-sipper
smeargle,own-tempo,technician,moody
tyrogue,guts,steadfast,vital-spirit
hitmontop,intimidate,technician,steadfast
smoochum,oblivious,forewarn,hydration
elekid,static,,vital-spirit
magby,flame-body,,vital-spirit
miltank,thick-fat,scrappy,sap-sipper
blissey,natural-cure,serene-grace,healer
raikou,pressure,,inner-focus
entei,pressure,,inner-focus
suicune,pressure,,inner-focus
larvitar,guts,,sand-veil
pupitar,shed-skin,,
tyranitar,sand-stream,,unnerve
lugia,pressure,,multiscale
ho-oh,pressure,,regenerator
celebi,natural-cure,,
treecko,overgrow,,unburden
grovyle,overgrow,,unburden
sceptile,overgrow,,unburden
torchic,blaze,,speed-boost
combusken,blaze,,speed-boost
blaziken,blaze,,speed-boost
mudkip,torrent,,damp
marshtomp,torrent,,damp
swampert,torrent,,damp
poochyena,run-away,quick-feet,rattled
mightyena,intimidate,quick-feet,moxie
zigzagoon,pickup,gluttony,quick-feet
linoone,pickup,gluttony,quick-feet
wurmple,shield-dust,,run-away
silcoon,shed-skin,,
beautifly,swarm,,rivalry
cascoon,shed-skin,,
dustox,shield-dust,,compound-eyes
lotad,swift-swim,rain-dish,own-tempo
lombre,swift-swim,rain-dish,own-tempo
ludicolo,swift-swim,rain-dish,own-tempo
seedot,chlorophyll,early-bird,pickpocket
nuzleaf,chlorophyll,early-bird,pickpocket
shiftry,chlorophyll,wind-rider,pickpocket
taillow,guts,,scrappy
swellow,guts,,scrappy
wingull,keen-eye,hydration,rain-dish
pelipper,keen-eye,drizzle,rain-dish
ralts,synchronize,trace,telepathy
kirlia,synchronize,trace,telepathy
gardevoir,synchronize,trace,telepathy
surskit,swift-swim,,rain-dish
masquerain,intimidate,,unnerve
shroomish,effect-spore,poison-heal,quick-feet
breloom,effect-spore,poison-heal,technician
slakoth,truant,,
vigoroth,vital-spirit,,
slaking,truant,,
nincada,compound-eyes,,run-away
ninjask,speed-boost,,infiltrator
shedinja,wonder-guard,,
whismur,soundproof,,rattled
loudred,soundproof,,scrappy
exploud,soundproof,,scrappy
makuhita,thick-fat,guts,sheer-force
hariyama,thick-fat,guts,sheer-force
azurill,thick-fat,huge-power,sap-sipper
nosepass,sturdy,magnet-pull,sand-force
skitty,cute-charm,normalize,wonder-skin
delcatty,cute-charm,normalize,wonder-skin
sableye,keen-eye,stall,prankster
mawile,hyper-cutter,intimidate,sheer-force
aron,sturdy,rock-head,heavy-metal
lairon,sturdy,rock-head,heavy-metal
aggron,sturdy,rock-head,heavy-metal
meditite,pure-power,,telepathy
medicham,pure-power,,telepathy
electrike,static,lightning-rod,minus
manectric,static,lightning-rod,minus
plusle,plus,,lightning-rod
minun,minus,,volt-absorb
volbeat,illuminate,swarm,prankster
illumise,oblivious,tinted-lens,prankster
roselia,natural-cure,poison-point,leaf-guard
gulpin,liquid-ooze,sticky-hold,gluttony
swalot,liquid-ooze,sticky-hold,gluttony
carvanha,rough-skin,,speed-boost
sharpedo,rough-skin,,speed-boost
wailmer,water-veil,oblivious,pressure
wailord,water-veil,oblivious,pressure
numel,oblivious,simple,own-tempo
camerupt,magma-armor,solid-rock,anger-point
torkoal,white-smoke,drought,shell-armor
spoink,thick-fat,own-tempo,gluttony
grumpig,thick-fat,own-tempo,gluttony
spinda,own-tempo,tangled-feet,contrary
trapinch,hyper-cutter,arena-trap,sheer-force
vibrava,levitate,,
flygon,levitate,,
cacnea,sand-veil,,water-absorb
cacturne,sand-veil,,water-absorb
swablu,natural-cure,,cloud-nine
altaria,natural-cure,,cloud-nine
zangoose,immunity,,toxic-boost
seviper,shed-skin,,infiltrator
lunatone,levitate,,
solrock,levitate,,
barboach,oblivious,anticipation,hydration
whiscash,oblivious,anticipation,hydration
corphish,hyper-cutter,shell-armor,adaptability
crawdaunt,hyper-cutter,shell-armor,adaptability
baltoy,levitate,,
claydol,levitate,,
lileep,suction-cups,,storm-drain
cradily,suction-cups,,storm-drain
anorith,battle-armor,,swift-swim
armaldo,battle-armor,,swift-swim
feebas,swift-swim,oblivious,adaptability
milotic,marvel-scale,competitive,cute-charm
castform,forecast,,
kecleon,color-change,,protean
shuppet,insomnia,frisk,cursed-body
banette,insomnia,frisk,cursed-body
duskull,levitate,,frisk
dusclops,pressure,,frisk
tropius,chlorophyll,solar-power,harvest
chimecho,levitate,,
absol,pressure,super-luck,justified
wynaut,shadow-tag,,telepathy
snorunt,inner-focus,ice-body,moody
glalie,inner-focus,ice-body,moody
spheal,thick-fat,ice-body,oblivious
sealeo,thick-fat,ice-body,oblivious
walrein,thick-fat,ice-body,oblivious
clamperl,shell-armor,,rattled
huntail,swift-swim,,water-veil
gorebyss,swift-swim,,hydration
relicanth,swift-swim,rock-head,sturdy
luvdisc,swift-swim,,hydration
bagon,rock-head,,sheer-force
shelgon,rock-head,,overcoat
salamence,intimidate,,moxie
beldum,clear-body,,light-metal
metang,clear-body,,light-metal
metagross,clear-body,,light-metal
regirock,clear-body,,sturdy
regice,clear-body,,ice-body
registeel,clear-body,,light-metal
latias,levitate,,
latios,levitate,,
kyogre,drizzle,,
groudon,drought,,
rayquaza,air-lock,,
jirachi,serene-grace,,
deoxys-normal,pressure,,
turtwig,overgrow,,shell-armor
grotle,overgrow,,shell-armor
torterra,overgrow,,shell-armor
chimchar,blaze,,iron-fist
monferno,blaze,,iron-fist
infernape,blaze,,iron-fist
piplup,torrent,,competitive
prinplup,torrent,,competitive
empoleon,torrent,,competitive
starly,keen-eye,,reckless
staravia,intimidate,,reckless
staraptor,intimidate,,reckless
bidoof,simple,unaware,moody
bibarel,simple,unaware,moody
kricketot,shed-skin,,run-away
kricketune,swarm,,technician
shinx,rivalry,intimidate,guts
luxio,rivalry,intimidate,guts
luxray,rivalry,intimidate,guts
budew,natural-cure,poison-point,leaf-guard
roserade,natural-cure,poison-point,technician
cranidos,mold-breaker,,sheer-force
rampardos,mold-breaker,,sheer-force
shieldon,sturdy,,soundproof
bastiodon,sturdy,,soundproof
burmy,shed-skin,,overcoat
wormadam-plant,anticipation,,overcoat
mothim,swarm,,tinted-lens
combee,honey-gather,,hustle
vespiquen,pressure,,unnerve
pachirisu,run-away,pickup,volt-absorb
buizel,swift-swim,,water-veil
floatzel,swift-swim,,water-veil
cherubi,chlorophyll,,
cherrim,flower-gift,,
shellos,sticky-hold,storm-drain,sand-force
gastrodon,sticky-hold,storm-drain,sand-force
ambipom,technician,pickup,skill-link
drifloon,aftermath,unburden,flare-boost
drifblim,aftermath,unburden,flare-boost
buneary,run-away,klutz,limber
lopunny,cute-charm,klutz,limber
mismagius,levitate,,
honchkrow,insomnia,super-luck,moxie
glameow,limber,own-tempo,keen-eye
purugly,thick-fat,own-tempo,defiant
