pokemon,last_generation,slot,is_hidden,ability
bulbasaur,4,3,1,
ivysaur,4,3,1,
venusaur,4,3,1,
charmander,4,3,1,
charmeleon,4,3,1,
charizard,4,3,1,
squirtle,4,3,1,
wartortle,4,3,1,
blastoise,4,3,1,
caterpie,4,3,1,
butterfree,4,3,1,
weedle,4,3,1,
beedrill,4,3,1,
pidgey,3,2,0,
pidgey,4,3,1,
pidgeotto,3,2,0,
pidgeotto,4,3,1,
pidgeot,3,2,0,
pidgeot,4,3,1,
rattata,4,3,1,
raticate,4,3,1,
spearow,4,3,1,
fearow,4,3,1,
ekans,4,3,1,
arbok,4,3,1,
pikachu,4,3,1,
raichu,4,3,1,
sandshrew,4,3,1,
sandslash,4,3,1,
nidoran-f,3,2,0,
nidoran-f,4,3,1,
nidorina,3,2,0,
nidorina,4,3,1,
nidoqueen,3,2,0,
nidoqueen,4,3,1,
nidoran-m,3,2,0,
nidoran-m,4,3,1,
nidorino,3,2,0,
nidorino,4,3,1,
nidoking,3,2,0,
nidoking,4,3,1,
clefairy,3,2,0,
clefairy,4,3,1,
clefable,3,2,0,
clefable,4,3,1,
vulpix,4,3,1,
ninetales,4,3,1,
jigglypuff,4,3,1,
jigglypuff,5,2,0,
wigglytuff,4,3,1,
wigglytuff,5,2,0,
zubat,4,3,1,
golbat,4,3,1,
oddish,4,3,1,
gloom,4,3,1,
vileplume,4,3,1,
paras,3,2,0,
paras,4,3,1,
parasect,3,2,0,
parasect,4,3,1,
venonat,3,2,0,
venonat,4,3,1,
venomoth,3,2,0,
venomoth,4,3,1,
diglett,4,3,1,
dugtrio,4,3,1,
meowth,3,2,0,
meowth,4,3,1,
persian,3,2,0,
persian,4,3,1,
psyduck,4,3,1,
golduck,4,3,1,
mankey,3,2,0,
mankey,4,3,1,
primeape,3,2,0,
primeape,4,3,1,
growlithe,4,3,1,
arcanine,4,3,1,
poliwag,4,3,1,
poliwhirl,4,3,1,
poliwrath,4,3,1,
abra,4,3,1,
kadabra,4,3,1,
alakazam,4,3,1,
machop,3,2,0,
machop,4,3,1,
machoke,3,2,0,
machoke,4,3,1,
machamp,3,2,0,
machamp,4,3,1,
bellsprout,4,3,1,
weepinbell,4,3,1,
victreebel,4,3,1,
tentacool,4,3,1,
tentacruel,4,3,1,
geodude,4,3,1,
graveler,4,3,1,
golem,4,3,1,
ponyta,4,3,1,
rapidash,4,3,1,
slowpoke,4,3,1,
slowbro,4,3,1,
magnemite,4,3,1,
magneton,4,3,1,
farfetchd,4,3,1,
doduo,4,3,1,
dodrio,4,3,1,
seel,3,2,0,
seel,4,3,1,
dewgong,3,2,0,
dewgong,4,3,1,
grimer,4,3,1,
muk,4,3,1,
shellder,3,2,0,
shellder,4,3,1,
cloyster,3,2,0,
cloyster,4,3,1,
gengar,6,1,0,levitate
onix,4,3,1,
drowzee,3,2,0,
drowzee,4,3,1,
hypno,3,2,0,
hypno,4,3,1,
krabby,4,3,1,
kingler,4,3,1,
voltorb,4,3,1,
electrode,4,3,1,
exeggcute,4,3,1,
exeggutor,4,3,1,
cubone,4,3,1,
marowak,4,3,1,
hitmonlee,3,2,0,
hitmonlee,4,3,1,
hitmonchan,3,2,0,
hitmonchan,4,3,1,
lickitung,4,3,1,
koffing,7,2,0,
weezing,7,2,0,
rhyhorn,4,3,1,
rhydon,4,3,1,
chansey,4,3,1,
tangela,3,2,0,
tangela,4,3,1,
kangaskhan,3,2,0,
kangaskhan,4,3,1,
horsea,3,2,0,
horsea,4,3,1,
seadra,3,2,0,
seadra,4,3,1,
goldeen,4,3,1,
seaking,4,3,1,
staryu,4,3,1,
starmie,4,3,1,
mr-mime,3,2,0,
mr-mime,4,3,1,
scyther,3,2,0,
scyther,4,3,1,
jynx,3,2,0,
jynx,4,3,1,
electabuzz,4,3,1,
magmar,4,3,1,
pinsir,3,2,0,
pinsir,4,3,1,
tauros,3,2,0,
tauros,4,3,1,
magikarp,4,3,1,
gyarados,4,3,1,
lapras,4,3,1,
ditto,4,3,1,
eevee,3,2,0,
eevee,4,3,1,
vaporeon,4,3,1,
jolteon,4,3,1,
flareon,4,3,1,
porygon,3,2,0,
porygon,4,3,1,
omanyte,4,3,1,
omastar,4,3,1,
kabuto,4,3,1,
kabutops,4,3,1,
aerodactyl,4,3,1,
snorlax,4,3,1,
zapdos,5,3,1,lightning-rod
dratini,4,3,1,
dragonair,4,3,1,
dragonite,4,3,1,
mewtwo,4,3,1,
sentret,4,3,1,
furret,4,3,1,
hoothoot,4,3,1,
noctowl,4,3,1,
ledyba,4,3,1,
ledian,4,3,1,
spinarak,4,3,1,
ariados,4,3,1,
crobat,4,3,1,
chinchou,4,3,1,
lanturn,4,3,1,
pichu,4,3,1,
cleffa,3,2,0,
cleffa,4,3,1,
igglybuff,4,3,1,
igglybuff,5,2,0,
togepi,4,3,1,
togetic,4,3,1,
natu,4,3,1,
xatu,4,3,1,
mareep,4,3,1,
flaaffy,4,3,1,
ampharos,4,3,1,
bellossom,4,3,1,
marill,4,3,1,
azumarill,4,3,1,
sudowoodo,4,3,1,
politoed,4,3,1,
hoppip,3,2,0,
hoppip,4,3,1,
skiploom,3,2,0,
skiploom,4,3,1,
jumpluff,3,2,0,
jumpluff,4,3,1,
aipom,4,3,1,
sunkern,3,2,0,
sunkern,4,3,1,
sunflora,3,2,0,
sunflora,4,3,1,
yanma,4,3,1,
wooper,4,3,1,
quagsire,4,3,1,
espeon,4,3,1,
umbreon,4,3,1,
murkrow,3,2,0,
murkrow,4,3,1,
slowking,4,3,1,
wobbuffet,4,3,1,
girafarig,4,3,1,
pineco,4,3,1,
forretress,4,3,1,
dunsparce,4,3,1,
gligar,4,3,1,
steelix,4,3,1,
snubbull,4,3,1,
granbull,3,2,0,
granbull,4,3,1,
qwilfish,4,3,1,
scizor,3,2,0,
scizor,4,3,1,
shuckle,3,2,0,
shuckle,4,3,1,
heracross,4,3,1,
sneasel,4,3,1,
teddiursa,3,2,0,
teddiursa,4,3,1,
ursaring,3,2,0,
ursaring,4,3,1,
slugma,4,3,1,
magcargo,4,3,1,
swinub,3,2,0,
swinub,4,3,1,
piloswine,3,2,0,
piloswine,4,3,1,
corsola,4,3,1,
remoraid,3,2,0,
remoraid,4,3,1,
octillery,3,2,0,
octillery,4,3,1,
delibird,4,3,1,
mantine,4,3,1,
skarmory,4,3,1,
houndour,4,3,1,
houndoom,4,3,1,
kingdra,3,2,0,
kingdra,4,3,1,
phanpy,4,3,1,
donphan,4,3,1,
porygon2,3,2,0,
porygon2,4,3,1,
stantler,3,2,0,
stantler,4,3,1,
smeargle,3,2,0,
smeargle,4,3,1,
tyrogue,3,2,0,
tyrogue,4,3,1,
hitmontop,3,2,0,
hitmontop,4,3,1,
smoochum,3,2,0,
smoochum,4,3,1,
elekid,4,3,1,
magby,4,3,1,
miltank,3,2,0,
miltank,4,3,1,
blissey,4,3,1,
raikou,6,3,1,volt-absorb
entei,6,3,1,flash-fire
suicune,6,3,1,water-absorb
larvitar,4,3,1,
tyranitar,4,3,1,
lugia,4,3,1,
ho-oh,4,3,1,
treecko,4,3,1,
grovyle,4,3,1,
sceptile,4,3,1,
torchic,4,3,1,
combusken,4,3,1,
blaziken,4,3,1,
mudkip,4,3,1,
marshtomp,4,3,1,
swampert,4,3,1,
poochyena,3,2,0,
poochyena,4,3,1,
mightyena,3,2,0,
mightyena,4,3,1,
zigzagoon,3,2,0,
zigzagoon,4,3,1,
linoone,3,2,0,
linoone,4,3,1,
wurmple,4,3,1,
beautifly,4,3,1,
dustox,4,3,1,
lotad,4,3,1,
lombre,4,3,1,
ludicolo,4,3,1,
seedot,4,3,1,
nuzleaf,4,3,1,
shiftry,4,3,1,
shiftry,8,2,0,early-bird
taillow,4,3,1,
swellow,4,3,1,
wingull,4,3,1,
wingull,6,2,0,
pelipper,4,3,1,
pelipper,6,2,0,
ralts,4,3,1,
kirlia,4,3,1,
gardevoir,4,3,1,
surskit,4,3,1,
masquerain,4,3,1,
shroomish,3,2,0,
shroomish,4,3,1,
breloom,3,2,0,
breloom,4,3,1,
nincada,4,3,1,
ninjask,4,3,1,
whismur,4,3,1,
loudred,4,3,1,
exploud,4,3,1,
makuhita,4,3,1,
hariyama,4,3,1,
azurill,4,3,1,
nosepass,4,3,1,
skitty,3,2,0,
skitty,4,3,1,
delcatty,3,2,0,
delcatty,4,3,1,
sableye,3,2,0,
sableye,4,3,1,
mawile,4,3,1,
