species,pokedex,number
1,national,1
1,kanto,1
1,original-johto,226
1,updated-johto,231
1,kalos-central,80
1,letsgo-kanto,1
1,isle-of-armor,68
1,blueberry,164
1,lumiose-city,148
2,national,2
2,kanto,2
2,original-johto,227
2,updated-johto,232
2,kalos-central,81
2,letsgo-kanto,2
2,isle-of-armor,69
2,blueberry,165
2,lumiose-city,149
3,national,3
3,kanto,3
3,original-johto,228
3,updated-johto,233
3,kalos-central,82
3,letsgo-kanto,3
3,isle-of-armor,70
3,blueberry,166
3,lumiose-city,150
3,champions,3
4,national,4
4,kanto,4
4,original-johto,229
4,updated-johto,234
4,conquest-gallery,109
4,kalos-central,83
4,letsgo-kanto,4
4,galar,378
4,blueberry,167
4,lumiose-city,151
5,national,5
5,kanto,5
5,original-johto,230
5,updated-johto,235
5,conquest-gallery,110
5,kalos-central,84
5,letsgo-kanto,5
5,galar,379
5,blueberry,168
5,lumiose-city,152
6,national,6
6,kanto,6
6,original-johto,231
6,updated-johto,236
6,conquest-gallery,111
6,kalos-central,85
6,letsgo-kanto,6
6,galar,380
6,blueberry,169
6,lumiose-city,153
6,champions,6
7,national,7
7,kanto,7
7,original-johto,232
7,updated-johto,237
7,kalos-central,86
7,letsgo-kanto,7
7,isle-of-armor,71
7,blueberry,170
7,lumiose-city,154
8,national,8
8,kanto,8
8,original-johto,233
8,updated-johto,238
8,kalos-central,87
8,letsgo-kanto,8
8,isle-of-armor,72
8,blueberry,171
8,lumiose-city,155
9,national,9
9,kanto,9
9,original-johto,234
9,updated-johto,239
9,kalos-central,88
9,letsgo-kanto,9
9,isle-of-armor,73
9,blueberry,172
9,lumiose-city,156
9,champions,9
10,national,10
10,kanto,10
10,original-johto,24
10,updated-johto,24
10,kalos-central,23
10,original-alola,17
10,original-melemele,17
10,original-akala,8
10,updated-alola,17
10,updated-melemele,17
10,updated-akala,8
10,letsgo-kanto,10
10,galar,13
11,national,11
11,kanto,11
11,original-johto,25
11,updated-johto,25
11,kalos-central,24
11,original-alola,18
11,original-melemele,18
11,original-akala,9
11,updated-alola,18
11,updated-melemele,18
11,updated-akala,9
11,letsgo-kanto,11
11,galar,14
12,national,12
12,kanto,12
12,original-johto,26
12,updated-johto,26
12,kalos-central,25
12,original-alola,19
12,original-melemele,19
12,original-akala,10
12,updated-alola,19
12,updated-melemele,19
12,updated-akala,10
12,letsgo-kanto,12
12,galar,15
13,national,13
13,kanto,13
13,original-johto,27
13,updated-johto,27
13,kalos-central,26
13,letsgo-kanto,13
13,lumiose-city,18
14,national,14
14,kanto,14
14,original-johto,28
14,updated-johto,28
14,kalos-central,27
14,letsgo-kanto,14
14,lumiose-city,19
15,national,15
15,kanto,15
15,original-johto,29
15,updated-johto,29
15,conquest-gallery,177
15,kalos-central,28
15,letsgo-kanto,15
15,lumiose-city,20
15,champions,15
16,national,16
16,kanto,16
16,original-johto,10
16,updated-johto,10
16,kalos-central,17
16,letsgo-kanto,16
16,lumiose-city,21
17,national,17
17,kanto,17
17,original-johto,11
17,updated-johto,11
17,kalos-central,18
17,letsgo-kanto,17
17,lumiose-city,22
18,national,18
18,kanto,18
18,original-johto,12
18,updated-johto,12
18,kalos-central,19
18,letsgo-kanto,18
18,lumiose-city,23
18,champions,18
19,national,19
19,kanto,19
19,original-johto,17
19,updated-johto,17
19,updated-unova,59
19,original-alola,15
19,original-melemele,15
19,original-akala,6
19,original-ulaula,6
19,original-poni,6
19,updated-alola,15
19,updated-melemele,15
19,updated-akala,6
19,updated-ulaula,6
19,updated-poni,6
19,letsgo-kanto,19
20,national,20
20,kanto,20
20,original-johto,18
20,updated-johto,18
20,updated-unova,60
20,original-alola,16
20,original-melemele,16
20,original-akala,7
20,original-ulaula,7
20,original-poni,7
20,updated-alola,16
20,updated-melemele,16
20,updated-akala,7
20,updated-ulaula,7
20,updated-poni,7
20,letsgo-kanto,20
21,national,21
21,kanto,21
21,original-johto,13
21,updated-johto,13
21,kalos-mountain,109
21,original-alola,73
21,original-melemele,73
21,original-ulaula,40
21,original-poni,24
21,updated-alola,87
21,updated-melemele,87
21,updated-ulaula,40
21,updated-poni,33
21,letsgo-kanto,21
22,national,22
22,kanto,22
22,original-johto,14
22,updated-johto,14
22,kalos-mountain,110
22,original-alola,74
22,original-melemele,74
22,original-ulaula,41
22,original-poni,25
22,updated-alola,88
22,updated-melemele,88
22,updated-ulaula,41
22,updated-poni,34
22,letsgo-kanto,22
23,national,23
23,kanto,23
23,original-johto,50
23,updated-johto,50
23,conquest-gallery,54
23,kalos-mountain,37
23,updated-alola,61
23,updated-melemele,61
23,letsgo-kanto,23
23,kitakami,18
23,lumiose-city,60
24,national,24
24,kanto,24
24,original-johto,51
24,updated-johto,51
24,conquest-gallery,55
24,kalos-mountain,38
24,updated-alola,62
24,updated-melemele,62
24,letsgo-kanto,24
24,kitakami,19
24,lumiose-city,61
24,champions,24
25,national,25
25,kanto,25
25,original-johto,22
25,hoenn,156
25,original-sinnoh,104
25,extended-sinnoh,104
25,updated-johto,22
25,conquest-gallery,16
25,kalos-central,36
25,updated-hoenn,163
25,original-alola,25
25,original-melemele,25
25,updated-alola,32
25,updated-melemele,32
25,letsgo-kanto,25
25,galar,194
25,isle-of-armor,85
25,hisui,56
25,paldea,74
25,kitakami,21
25,lumiose-city,53
25,champions,25
26,national,26
26,kanto,26
26,original-johto,23
26,hoenn,157
26,original-sinnoh,105
26,extended-sinnoh,105
26,updated-johto,23
26,conquest-gallery,17
26,kalos-central,37
26,updated-hoenn,164
26,original-alola,26
26,original-melemele,26
26,updated-alola,33
26,updated-melemele,33
26,letsgo-kanto,26
26,galar,195
26,isle-of-armor,86
26,hisui,57
26,paldea,75
26,kitakami,22
26,lumiose-city,54
26,champions,26
27,national,27
27,kanto,27
27,original-johto,48
27,hoenn,112
27,updated-johto,48
27,updated-unova,113
27,kalos-mountain,97
27,updated-hoenn,117
27,original-alola,251
27,original-ulaula,123
27,updated-alola,328
27,updated-ulaula,149
27,letsgo-kanto,27
27,isle-of-armor,168
27,kitakami,116
27,blueberry,155
28,national,28
28,kanto,28
28,original-johto,49
28,hoenn,113
28,updated-johto,49
28,updated-unova,114
28,kalos-mountain,98
28,updated-hoenn,118
28,original-alola,252
28,original-ulaula,124
28,updated-alola,329
28,updated-ulaula,150
28,letsgo-kanto,28
28,isle-of-armor,169
28,kitakami,117
28,blueberry,156
29,national,29
29,kanto,29
29,original-johto,95
29,updated-johto,95
29,kalos-coastal,104
29,letsgo-kanto,29
29,crown-tundra,65
30,national,30
30,kanto,30
30,original-johto,96
30,updated-johto,96
30,kalos-coastal,105
30,letsgo-kanto,30
30,crown-tundra,66
31,national,31
31,kanto,31
31,original-johto,97
31,updated-johto,97
31,kalos-coastal,106
31,letsgo-kanto,31
31,crown-tundra,67
32,national,32
32,kanto,32
32,original-johto,98
32,updated-johto,98
32,kalos-coastal,107
32,letsgo-kanto,32
32,crown-tundra,68
33,national,33
33,kanto,33
33,original-johto,99
33,updated-johto,99
33,kalos-coastal,108
33,letsgo-kanto,33
33,crown-tundra,69
34,national,34
34,kanto,34
34,original-johto,100
34,updated-johto,100
34,kalos-coastal,109
34,letsgo-kanto,34
34,crown-tundra,70
