species,egg_group_1,egg_group_2
1,monster,plant
2,monster,plant
3,monster,plant
4,monster,dragon
5,monster,dragon
6,monster,dragon
7,monster,water1
8,monster,water1
9,monster,water1
10,bug,
11,bug,
12,bug,
13,bug,
14,bug,
15,bug,
16,flying,
17,flying,
18,flying,
19,ground,
20,ground,
21,flying,
22,flying,
23,ground,dragon
24,ground,dragon
25,ground,fairy
26,ground,fairy
27,ground,
28,ground,
29,monster,ground
30,no-eggs,
31,no-eggs,
32,monster,ground
33,monster,ground
34,monster,ground
35,fairy,
36,fairy,
37,ground,
38,ground,
39,fairy,
40,fairy,
41,flying,
42,flying,
43,plant,
44,plant,
45,plant,
46,bug,plant
47,bug,plant
48,bug,
49,bug,
50,ground,
51,ground,
52,ground,
53,ground,
54,water1,ground
55,water1,ground
56,ground,
57,ground,
58,ground,
59,ground,
60,water1,
61,water1,
62,water1,
63,humanshape,
64,humanshape,
65,humanshape,
66,humanshape,
67,humanshape,
68,humanshape,
69,plant,
70,plant,
71,plant,
72,water3,
73,water3,
74,mineral,
75,mineral,
76,mineral,
77,ground,
78,ground,
79,monster,water1
80,monster,water1
81,mineral,
82,mineral,
83,flying,ground
84,flying,
85,flying,
86,water1,ground
87,water1,ground
88,indeterminate,
89,indeterminate,
90,water3,
91,water3,
92,indeterminate,
93,indeterminate,
94,indeterminate,
95,mineral,
96,humanshape,
97,humanshape,
98,water3,
99,water3,
100,mineral,
101,mineral,
102,plant,
103,plant,
104,monster,
105,monster,
106,humanshape,
107,humanshape,
108,monster,
109,indeterminate,
110,indeterminate,
111,monster,ground
112,monster,ground
113,fairy,
114,plant,
115,monster,
116,water1,dragon
117,water1,dragon
118,water2,
119,water2,
120,water3,
121,water3,
122,humanshape,
123,bug,
124,humanshape,
125,humanshape,
126,humanshape,
127,bug,
128,ground,
129,water2,dragon
130,water2,dragon
131,monster,water1
132,ditto,
133,ground,
134,ground,
135,ground,
136,ground,
137,mineral,
138,water1,water3
139,water1,water3
140,water1,water3
141,water1,water3
142,flying,
143,monster,
144,no-eggs,
145,no-eggs,
146,no-eggs,
147,water1,dragon
148,water1,dragon
149,water1,dragon
150,no-eggs,
151,no-eggs,
152,monster,plant
153,monster,plant
154,monster,plant
155,ground,
156,ground,
157,ground,
158,monster,water1
159,monster,water1
160,monster,water1
161,ground,
162,ground,
163,flying,
164,flying,
165,bug,
166,bug,
167,bug,
168,bug,
169,flying,
170,water2,
171,water2,
172,no-eggs,
173,no-eggs,
174,no-eggs,
175,no-eggs,
176,flying,fairy
177,flying,
178,flying,
179,monster,ground
180,monster,ground
181,monster,ground
182,plant,
183,water1,fairy
184,water1,fairy
185,mineral,
186,water1,
187,fairy,plant
188,fairy,plant
189,fairy,plant
190,ground,
191,plant,
192,plant,
193,bug,
194,water1,ground
195,water1,ground
196,ground,
197,ground,
198,flying,
199,monster,water1
200,indeterminate,
201,no-eggs,
202,indeterminate,
203,ground,
204,bug,
205,bug,
206,ground,
207,bug,
208,mineral,
209,ground,fairy
210,ground,fairy
211,water2,
212,bug,
213,bug,
214,bug,
215,ground,
216,ground,
217,ground,
218,indeterminate,
219,indeterminate,
220,ground,
221,ground,
