id,evolved_species,trigger,version_group,is_default,trigger_item,minimum_level,gender,location,held_item,time_of_day,known_move,known_move_type,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species,party_type,trade_species,needs_overworld_rain,turn_upside_down,needs_multiplayer,near_special_rock,region,base_form,evolved_form,used_move,minimum_move_count,minimum_steps,minimum_damage_taken
1,2,level-up,red-blue,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
2,3,level-up,red-blue,1,,32,,,,,,,,,,,,,,0,0,0,0,,,,,,,
3,5,level-up,red-blue,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
4,6,level-up,red-blue,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
5,8,level-up,red-blue,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
6,9,level-up,red-blue,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
7,11,level-up,red-blue,1,,7,,,,,,,,,,,,,,0,0,0,0,,,,,,,
8,12,level-up,red-blue,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
9,14,level-up,red-blue,1,,7,,,,,,,,,,,,,,0,0,0,0,,,,,,,
10,15,level-up,red-blue,1,,10,,,,,,,,,,,,,,0,0,0,0,,,,,,,
11,17,level-up,red-blue,1,,18,,,,,,,,,,,,,,0,0,0,0,,,,,,,
12,18,level-up,red-blue,1,,36,,,,,,,,,,,,,,0,0,0,0,,,,,,,
13,20,level-up,red-blue,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
14,22,level-up,red-blue,1,,20,,,,,,,,,,,,,,0,0,0,0,,,,,,,
15,24,level-up,red-blue,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
16,25,level-up,red-blue,1,,,,,,,,,220,,,,,,,0,0,0,0,,,,,,,
17,26,use-item,red-blue,1,thunder-stone,,,,,,,,,,,,,,,0,0,0,0,,pikachu,,,,,
18,28,level-up,red-blue,1,,22,,,,,,,,,,,,,,0,0,0,0,,,,,,,
19,30,level-up,red-blue,1,,16,,,,,,,,,,,,,,0,0,0,0,,,,,,,
