form,trigger,trigger_item,trigger_ability,trigger_move,base_form
arceus-normal,held-item,blank-plate,,,
aegislash-shield,ability,,stance-change,,
zygarde-50,held-item,zygarde-cube,,,
oricorio-baile,consumed-item,red-nectar,,,
wishiwashi-solo,ability,,schooling,,wishiwashi-school
minior-red-meteor,ability,,shields-down,,minior-red
ogerpon,held-item,teal-mask,,,
castform-sunny,ability,,forecast,,
castform-rainy,ability,,forecast,,
castform-snowy,ability,,forecast,,
cherrim-sunshine,ability,,flower-gift,,
arceus-bug,held-item,insect-plate,,,
arceus-dark,held-item,dread-plate,,,
arceus-dragon,held-item,draco-plate,,,
arceus-electric,held-item,zap-plate,,,
arceus-fighting,held-item,fist-plate,,,
arceus-fire,held-item,flame-plate,,,
arceus-flying,held-item,sky-plate,,,
arceus-ghost,held-item,spooky-plate,,,
arceus-grass,held-item,meadow-plate,,,
arceus-ground,held-item,earth-plate,,,
arceus-ice,held-item,icicle-plate,,,
arceus-poison,held-item,toxic-plate,,,
arceus-psychic,held-item,mind-plate,,,
arceus-rock,held-item,stone-plate,,,
arceus-steel,held-item,iron-plate,,,
arceus-water,held-item,splash-plate,,,
giratina-origin,held-item,griseous-orb,,,
giratina-origin,held-item,griseous-core,,,
shaymin-sky,key-item,gracidea,,,
darmanitan-zen,ability,,zen-mode,,darmanitan-standard
meloetta-pirouette,move,,,relic-song,
genesect-douse,held-item,douse-drive,,,
genesect-shock,held-item,shock-drive,,,
genesect-burn,held-item,burn-drive,,,
genesect-chill,held-item,chill-drive,,,
tornadus-therian,key-item,reveal-glass,,,
thundurus-therian,key-item,reveal-glass,,,
landorus-therian,key-item,reveal-glass,,,
keldeo-resolute,move,,,secret-sword,
arceus-fairy,held-item,pixie-plate,,,
aegislash-blade,ability,,stance-change,,
venusaur-mega,held-item,venusaurite,,,
charizard-mega-x,held-item,charizardite-x,,,
charizard-mega-y,held-item,charizardite-y,,,
blastoise-mega,held-item,blastoisinite,,,
alakazam-mega,held-item,alakazite,,,
gengar-mega,held-item,gengarite,,,
kangaskhan-mega,held-item,kangaskhanite,,,
pinsir-mega,held-item,pinsirite,,,
gyarados-mega,held-item,gyaradosite,,,
aerodactyl-mega,held-item,aerodactylite,,,
mewtwo-mega-x,held-item,mewtwonite-x,,,
mewtwo-mega-y,held-item,mewtwonite-y,,,
ampharos-mega,held-item,ampharosite,,,
scizor-mega,held-item,scizorite,,,
heracross-mega,held-item,heracronite,,,
houndoom-mega,held-item,houndoominite,,,
tyranitar-mega,held-item,tyranitarite,,,
blaziken-mega,held-item,blazikenite,,,
gardevoir-mega,held-item,gardevoirite,,,
mawile-mega,held-item,mawilite,,,
aggron-mega,held-item,aggronite,,,
medicham-mega,held-item,medichamite,,,
manectric-mega,held-item,manectite,,,
banette-mega,held-item,banettite,,,
