form,generation,game_index
bulbasaur,1,0
bulbasaur,2,0
bulbasaur,3,0
bulbasaur,4,0
bulbasaur,5,0
bulbasaur,6,0
bulbasaur,7,0
bulbasaur,8,0
ivysaur,1,0
ivysaur,2,0
ivysaur,3,0
ivysaur,4,0
ivysaur,5,0
ivysaur,6,0
ivysaur,7,0
ivysaur,8,0
venusaur,1,0
venusaur,2,0
venusaur,3,0
venusaur,4,0
venusaur,5,0
venusaur,6,0
venusaur,7,0
venusaur,8,0
charmander,1,0
charmander,2,0
charmander,3,0
charmander,4,0
charmander,5,0
charmander,6,0
charmander,7,0
charmander,8,0
charmeleon,1,0
charmeleon,2,0
charmeleon,3,0
charmeleon,4,0
charmeleon,5,0
charmeleon,6,0
charmeleon,7,0
charmeleon,8,0
charizard,1,0
charizard,2,0
charizard,3,0
charizard,4,0
charizard,5,0
charizard,6,0
charizard,7,0
charizard,8,0
squirtle,1,0
squirtle,2,0
squirtle,3,0
squirtle,4,0
squirtle,5,0
squirtle,6,0
squirtle,7,0
squirtle,8,0
wartortle,1,0
wartortle,2,0
wartortle,3,0
wartortle,4,0
wartortle,5,0
wartortle,6,0
wartortle,7,0
wartortle,8,0
blastoise,1,0
blastoise,2,0
blastoise,3,0
blastoise,4,0
blastoise,5,0
blastoise,6,0
blastoise,7,0
blastoise,8,0
caterpie,1,0
caterpie,2,0
caterpie,3,0
caterpie,4,0
caterpie,5,0
caterpie,6,0
caterpie,7,0
caterpie,8,0
metapod,1,0
metapod,2,0
metapod,3,0
metapod,4,0
metapod,5,0
metapod,6,0
metapod,7,0
metapod,8,0
butterfree,1,0
butterfree,2,0
butterfree,3,0
butterfree,4,0
butterfree,5,0
butterfree,6,0
butterfree,7,0
butterfree,8,0
weedle,1,0
weedle,2,0
weedle,3,0
weedle,4,0
weedle,5,0
weedle,6,0
weedle,7,0
kakuna,1,0
kakuna,2,0
kakuna,3,0
kakuna,4,0
kakuna,5,0
kakuna,6,0
kakuna,7,0
beedrill,1,0
beedrill,2,0
beedrill,3,0
beedrill,4,0
beedrill,5,0
beedrill,6,0
beedrill,7,0
pidgey,1,0
pidgey,2,0
pidgey,3,0
pidgey,4,0
pidgey,5,0
pidgey,6,0
pidgey,7,0
pidgeotto,1,0
pidgeotto,2,0
pidgeotto,3,0
pidgeotto,4,0
pidgeotto,5,0
pidgeotto,6,0
pidgeotto,7,0
pidgeot,1,0
pidgeot,2,0
pidgeot,3,0
pidgeot,4,0
pidgeot,5,0
pidgeot,6,0
pidgeot,7,0
rattata,1,0
rattata,2,0
rattata,3,0
rattata,4,0
rattata,5,0
rattata,6,0
rattata,7,0
raticate,1,0
raticate,2,0
raticate,3,0
raticate,4,0
raticate,5,0
raticate,6,0
raticate,7,0
spearow,1,0
spearow,2,0
spearow,3,0
spearow,4,0
spearow,5,0
spearow,6,0
spearow,7,0
fearow,1,0
fearow,2,0
fearow,3,0
fearow,4,0
fearow,5,0
fearow,6,0
fearow,7,0
ekans,1,0
ekans,2,0
ekans,3,0
ekans,4,0
ekans,5,0
ekans,6,0
ekans,7,0
arbok,1,0
arbok,2,0
arbok,3,0
arbok,4,0
arbok,5,0
arbok,6,0
arbok,7,0
pikachu,1,0
pikachu,2,0
pikachu,3,0
pikachu,4,0
pikachu,5,0
pikachu,6,0
pikachu,7,0
pikachu,8,0
raichu,1,0
raichu,2,0
raichu,3,0
raichu,4,0
raichu,5,0
raichu,6,0
raichu,7,0
raichu,8,0
sandshrew,1,0
sandshrew,2,0
sandshrew,3,0
sandshrew,4,0
sandshrew,5,0
sandshrew,6,0
sandshrew,7,0
sandshrew,8,0
sandslash,1,0
sandslash,2,0
sandslash,3,0
sandslash,4,0
sandslash,5,0
sandslash,6,0
sandslash,7,0
sandslash,8,0
nidoran-f,1,0
nidoran-f,2,0
nidoran-f,3,0
nidoran-f,4,0
nidoran-f,5,0
nidoran-f,6,0
nidoran-f,7,0
nidoran-f,8,0
nidorina,1,0
nidorina,2,0
nidorina,3,0
nidorina,4,0
nidorina,5,0
nidorina,6,0
nidorina,7,0
nidorina,8,0
nidoqueen,1,0
nidoqueen,2,0
nidoqueen,3,0
nidoqueen,4,0
nidoqueen,5,0
nidoqueen,6,0
nidoqueen,7,0
nidoqueen,8,0
nidoran-m,1,0
nidoran-m,2,0
nidoran-m,3,0
nidoran-m,4,0
nidoran-m,5,0
nidoran-m,6,0
nidoran-m,7,0
nidoran-m,8,0
nidorino,1,0
nidorino,2,0
nidorino,3,0
nidorino,4,0
nidorino,5,0
nidorino,6,0
nidorino,7,0
nidorino,8,0
nidoking,1,0
nidoking,2,0
nidoking,3,0
nidoking,4,0
nidoking,5,0
nidoking,6,0
nidoking,7,0
nidoking,8,0
clefairy,1,0
clefairy,2,0
clefairy,3,0
clefairy,4,0
clefairy,5,0
clefairy,6,0
clefairy,7,0
clefairy,8,0
clefable,1,0
clefable,2,0
clefable,3,0
clefable,4,0
clefable,5,0
clefable,6,0
clefable,7,0
clefable,8,0
vulpix,1,0
vulpix,2,0
vulpix,3,0
vulpix,4,0
vulpix,5,0
vulpix,6,0
vulpix,7,0
vulpix,8,0
ninetales,1,0
ninetales,2,0
ninetales,3,0
ninetales,4,0
ninetales,5,0
ninetales,6,0
ninetales,7,0
ninetales,8,0
jigglypuff,1,0
jigglypuff,2,0
jigglypuff,3,0
jigglypuff,4,0
jigglypuff,5,0
jigglypuff,6,0
jigglypuff,7,0
jigglypuff,8,0
wigglytuff,1,0
wigglytuff,2,0
wigglytuff,3,0
wigglytuff,4,0
wigglytuff,5,0
wigglytuff,6,0
wigglytuff,7,0
wigglytuff,8,0
zubat,1,0
zubat,2,0
zubat,3,0
zubat,4,0
zubat,5,0
zubat,6,0
zubat,7,0
zubat,8,0
golbat,1,0
golbat,2,0
golbat,3,0
golbat,4,0
golbat,5,0
golbat,6,0
golbat,7,0
golbat,8,0
oddish,1,0
oddish,2,0
oddish,3,0
oddish,4,0
oddish,5,0
oddish,6,0
oddish,7,0
oddish,8,0
gloom,1,0
gloom,2,0
gloom,3,0
gloom,4,0
gloom,5,0
gloom,6,0
gloom,7,0
gloom,8,0
vileplume,1,0
vileplume,2,0
vileplume,3,0
vileplume,4,0
vileplume,5,0
vileplume,6,0
vileplume,7,0
vileplume,8,0
paras,1,0
paras,2,0
paras,3,0
paras,4,0
paras,5,0
paras,6,0
paras,7,0
parasect,1,0
parasect,2,0
parasect,3,0
parasect,4,0
parasect,5,0
parasect,6,0
parasect,7,0
venonat,1,0
venonat,2,0
venonat,3,0
venonat,4,0
venonat,5,0
venonat,6,0
venonat,7,0
venomoth,1,0
venomoth,2,0
venomoth,3,0
venomoth,4,0
venomoth,5,0
venomoth,6,0
venomoth,7,0
diglett,1,0
diglett,2,0
diglett,3,0
diglett,4,0
diglett,5,0
diglett,6,0
diglett,7,0
diglett,8,0
dugtrio,1,0
dugtrio,2,0
dugtrio,3,0
dugtrio,4,0
dugtrio,5,0
dugtrio,6,0
dugtrio,7,0
dugtrio,8,0
meowth,1,0
meowth,2,0
meowth,3,0
meowth,4,0
meowth,5,0
meowth,6,0
meowth,7,0
meowth,8,0
persian,1,0
persian,2,0
persian,3,0
persian,4,0
persian,5,0
persian,6,0
persian,7,0
persian,8,0
psyduck,1,0
psyduck,2,0
psyduck,3,0
psyduck,4,0
psyduck,5,0
psyduck,6,0
psyduck,7,0
psyduck,8,0
golduck,1,0
golduck,2,0
golduck,3,0
golduck,4,0
golduck,5,0
golduck,6,0
golduck,7,0
golduck,8,0
mankey,1,0
mankey,2,0
mankey,3,0
mankey,4,0
mankey,5,0
mankey,6,0
mankey,7,0
primeape,1,0
primeape,2,0
primeape,3,0
primeape,4,0
primeape,5,0
primeape,6,0
primeape,7,0
growlithe,1,0
growlithe,2,0
growlithe,3,0
growlithe,4,0
growlithe,5,0
growlithe,6,0
growlithe,7,0
growlithe,8,0
arcanine,1,0
arcanine,2,0
arcanine,3,0
arcanine,4,0
arcanine,5,0
arcanine,6,0
arcanine,7,0
arcanine,8,0
poliwag,1,0
poliwag,2,0
poliwag,3,0
poliwag,4,0
poliwag,5,0
poliwag,6,0
poliwag,7,0
poliwag,8,0
poliwhirl,1,0
poliwhirl,2,0
poliwhirl,3,0
poliwhirl,4,0
poliwhirl,5,0
poliwhirl,6,0
poliwhirl,7,0
poliwhirl,8,0
poliwrath,1,0
poliwrath,2,0
poliwrath,3,0
poliwrath,4,0
poliwrath,5,0
poliwrath,6,0
poliwrath,7,0
poliwrath,8,0
abra,1,0
abra,2,0
abra,3,0
abra,4,0
abra,5,0
abra,6,0
abra,7,0
abra,8,0
kadabra,1,0
kadabra,2,0
kadabra,3,0
kadabra,4,0
kadabra,5,0
kadabra,6,0
kadabra,7,0
kadabra,8,0
alakazam,1,0
alakazam,2,0
alakazam,3,0
alakazam,4,0
alakazam,5,0
alakazam,6,0
alakazam,7,0
alakazam,8,0
machop,1,0
machop,2,0
machop,3,0
machop,4,0
machop,5,0
machop,6,0
machop,7,0
machop,8,0
machoke,1,0
machoke,2,0
machoke,3,0
machoke,4,0
machoke,5,0
machoke,6,0
machoke,7,0
machoke,8,0
machamp,1,0
machamp,2,0
machamp,3,0
machamp,4,0
machamp,5,0
machamp,6,0
machamp,7,0
machamp,8,0
bellsprout,1,0
bellsprout,2,0
bellsprout,3,0
bellsprout,4,0
bellsprout,5,0
bellsprout,6,0
bellsprout,7,0
weepinbell,1,0
weepinbell,2,0
weepinbell,3,0
weepinbell,4,0
